Transparency Report August 2024,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Exp Category Code,Date,Transaction Number,Supplier Name,Sum of Amount
Stoke City Council,4CAF,Children and Family Services,DK135,6DK1,45509,SOT1105309,1st Affinity Fostering,7476
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,6EG1,45505,SOT1105911,20 Talbot Street,22731
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,6EG1,45519,SOT1109780,20 Talbot Street,22731
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,6EG1,45533,SOT1115944,20 Talbot Street,22731
Stoke City Council,4CAF,Children and Family Services,CC109,6CC1,45532,SOT1115245,24x7 Staffordshire LTD,1350.75
Stoke City Council,4CAF,Children and Family Services,CC109,6CC1,45532,SOT1115259,24x7 Staffordshire LTD,1350.75
Stoke City Council,4CAF,Children and Family Services,CC109,6CC1,45532,SOT1115260,24x7 Staffordshire LTD,1710.95
Stoke City Council,4CAF,Children and Family Services,CC109,6CC1,45532,SOT1115261,24x7 Staffordshire LTD,1440.8
Stoke City Council,4CAF,Children and Family Services,EH104,6EH1,45532,SOT1115245,24x7 Staffordshire LTD,2230.55
Stoke City Council,4CAF,Children and Family Services,EH104,6EH1,45532,SOT1115259,24x7 Staffordshire LTD,1911.9
Stoke City Council,4CAF,Children and Family Services,EH104,6EH1,45532,SOT1115260,24x7 Staffordshire LTD,2421.74
Stoke City Council,4CAF,Children and Family Services,EH104,6EH1,45532,SOT1115261,24x7 Staffordshire LTD,2230.55
Stoke City Council,4CAF,Children and Family Services,AA700,6AA7,45513,SOT1107515,3D Recruit Ltd,5640.66
Stoke City Council,4CAF,Children and Family Services,AA700,6AA7,45513,SOT1107613,3D Recruit Ltd,6457.91
Stoke City Council,4CAF,Children and Family Services,AA700,6AA7,45518,SOT1109250,3D Recruit Ltd,5047.38
Stoke City Council,4CAF,Children and Family Services,AA700,6AA7,45518,SOT1109607,3D Recruit Ltd,5273.37
Stoke City Council,4CAF,Children and Family Services,AA700,6AA7,45527,SOT1114139,3D Recruit Ltd,4346.68
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWNC,6XW,45513,SOT1107678,3D Technical Design Ltd,503.72
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWNC,6XW,45516,SOT1107677,3D Technical Design Ltd,1629.18
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,6EG1,45505,SOT1105937,3L Care Limited,5625.94
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,6EG1,45519,SOT1109804,3L Care Limited,5625.94
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,6EG1,45533,SOT1115967,3L Care Limited,5625.94
Stoke City Council,4CAF,Children and Family Services,DK135,6DK1,45525,SOT1113909,A Triangle Care,38895.71
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,6DA1,45506,SOT1105752,A2 Motorparts,612.46
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,6DA1,45511,SOT1107391,A2 Motorparts,612.46
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,6DA1,45513,SOT1108669,A2 Motorparts,635.6
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,6DA1,45525,SOT1108634,A2 Motorparts,626
Stoke City Council,4CAF,Children and Family Services,DK135,6DK1,45506,SOT1105274,ABACUS FOSTERING LTD,3521.84
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45505,SOT1105893,Abbey Court Care Home,1700
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45505,SOT1105893,Abbey Court Care Home,1456
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45519,SOT1109762,Abbey Court Care Home,1700
