Transparency Report June 2023,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Expenditure Category Lvl 6,Date,Transaction Number,Supplier Name,Total
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45097.999444444446,SOT0947554,3D Recruit Ltd,4824.98
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45097.999444444446,SOT0947548,3D Recruit Ltd,5601.9
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45090.999444444446,SOT0945684,3D Recruit Ltd,5946.92
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45085.999444444446,SOT0943280,5ab Care,23106.06
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45082.999444444446,SOT0942283,A&R Guardian Services,33214.29
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45099.999444444446,SOT0948647,ABACUS FOSTERING LTD,6650.4
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45085.999444444446,SOT0943249,ABC Coaches (2002) LTD T/A ABC Supreme,1096
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45085.999444444446,SOT0943393,ABC Coaches (2002) LTD T/A ABC Supreme,1280
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45090.999444444446,SOT0945590,ABC Coaches (2002) LTD T/A ABC Supreme,720
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45092.999444444446,SOT0946029,ABC Coaches (2002) LTD T/A ABC Supreme,936
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45104.999444444446,SOT0950293,Acheron Care Ltd,5395.71
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45104.999444444446,SOT0952746,Acheron Care Ltd,5395.71
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45104.999444444446,SOT0950294,Acheron Care Ltd,24565.64
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45104.999444444446,SOT0952747,Acheron Care Ltd,24565.64
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45104.999444444446,SOT0950292,Acheron Care Ltd,27877.86
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45104.999444444446,SOT0952745,Acheron Care Ltd,27877.86
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45099.999444444446,SOT0948643,Acorn Fostering Services Ltd,9268
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45097.999444444446,SOT0947123,Acorn Residential Care Limited,31597.86
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45078.999444444446,SOT0940995,Action for Children Limited,125000
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45092.999444444446,SOT0945901,Active Resilience,18189.3
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45092.999444444446,SOT0945901,Active Resilience,123503.55
Stoke City Council,4CAF,Children and Family Services,EG171,Other establishments,45104.999444444446,SOT0945662,Adoption Focus (Family Society),57362
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45085.999444444446,SOT0943668,ADVANCE CARS LTD,3240
Stoke City Council,4CAF,Children and Family Services,EG218,Other establishments,45097.999444444446,SOT0947146,Advanced Child Care Assessment,3154.9
Stoke City Council,4CAF,Children and Family Services,EG227,Other establishments,45099.999444444446,SOT0948096,Advanced Child Care Assessment,2739.1
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45099.999444444446,SOT0948666,Affinity Fostering Services,22592
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45104.999444444446,SOT0949472,AJS Passenger Travel,3780
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45106.999444444446,SOT0952916,Alpha Academies Trust,161310
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45104.999444444446,SOT0952505,Alpha Learning Staffordshire Ltd,1280
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45104.999444444446,SOT0952512,Alpha Learning Staffordshire Ltd,1280
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45104.999444444446,SOT0952503,Alpha Learning Staffordshire Ltd,1600
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45081.999444444446,SOT0938126,Alpha Learning Staffordshire Ltd,590
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45081.999444444446,SOT0938133,Alpha Learning Staffordshire Ltd,590
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45085.999444444446,SOT0942720,Alpha Learning Staffordshire Ltd,1000
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45085.999444444446,SOT0943480,Alpha Learning Staffordshire Ltd,1800
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45083.999444444446,SOT0942711,Alpha Learning Staffordshire Ltd,600
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45083.999444444446,SOT0942714,Alpha Learning Staffordshire Ltd,600
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45083.999444444446,SOT0942712,Alpha Learning Staffordshire Ltd,600
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45083.999444444446,SOT0942717,Alpha Learning Staffordshire Ltd,600
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45083.999444444446,SOT0942718,Alpha Learning Staffordshire Ltd,600
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45083.999444444446,SOT0942713,Alpha Learning Staffordshire Ltd,800
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45083.999444444446,SOT0942715,Alpha Learning Staffordshire Ltd,800
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45083.999444444446,SOT0942716,Alpha Learning Staffordshire Ltd,800
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45083.999444444446,SOT0942719,Alpha Learning Staffordshire Ltd,800
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45097.999444444446,SOT0947150,Alpha Transport Service Ltd,1960.02
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45099.999444444446,SOT0948668,Amber Fostering Ltd,4532
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45078.999444444446,SOT0937125,Amber Fostering Ltd,4532
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45099.999444444446,SOT0948876,Amberleigh Care Ltd,25916
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45099.999444444446,SOT0945626,AMG Nursing and Care Services,1706.56
