Transparency Report February 2024,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Expenditure Category Lvl 6,Date,Transaction Number,Supplier Name,Sum of Amount
Stoke City Council,4STAR,Strategy & Resources,DE158,Services,45350,SOT1044324, Acuma Solutions Ltd,2950
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45350,SOT1045120,18 ST JOHN STREET CHAMBERS,650
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45323,SOT1035498,20 Talbot Street,13557.78
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45337,SOT1042174,20 Talbot Street,13557.78
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45351,SOT1046430,20 Talbot Street,13557.78
Stoke City Council,4SCHL,Schools,BA100,Repairs alterations mtce of bu,45331,SOT1039804,24-7 FM LTD,560.26
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45324,SOT1035640,24x7 Staffordshire LTD,1440.8
Stoke City Council,4CAF,Children and Family Services,EH104,Private contractors,45324,SOT1035640,24x7 Staffordshire LTD,2166.82
Stoke City Council,4CAF,Children and Family Services,EH104,Private contractors,45338,SOT1041997,24x7 Staffordshire LTD,2612.93
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45329,SOT1036186,2buy2.com Limited,514.6
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45327,SOT1035702,3D Recruit Ltd,5615.32
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45327,SOT1036156,3D Recruit Ltd,6074.28
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45343,SOT1043160,3D Recruit Ltd,6914.44
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWNC,Works,45324,SOT1035677,3D Technical Design Ltd,1189.12
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45323,SOT1035522,3L Care Limited,5625.94
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45337,SOT1042198,3L Care Limited,5625.94
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45351,SOT1046454,3L Care Limited,5625.94
Stoke City Council,4HDG,"Housing, Development & Growth",da102,Equipment  furniture and mater,45338,SOT1041985,A2 Motorparts,698.46
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45338,SOT1041640,ABACUS FOSTERING LTD,3268.37
Stoke City Council,4CAF,Children and Family Services,de113,Services,45324,SOT1035675,Abacus Psychology Limited,2062.5
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45323,SOT1035480,Abbey Court Care Home,3156
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45337,SOT1042156,Abbey Court Care Home,3156
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45351,SOT1046411,Abbey Court Care Home,3156
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45323,SOT1035480,Abbey Court Care Home,1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45337,SOT1042156,Abbey Court Care Home,1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45351,SOT1046411,Abbey Court Care Home,1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45323,SOT1035480,Abbey Court Care Home,-518.56
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45337,SOT1042156,Abbey Court Care Home,-518.56
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45351,SOT1046411,Abbey Court Care Home,-518.56
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45323,SOT1035480,Abbey Court Care Home,-1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45337,SOT1042156,Abbey Court Care Home,-1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45351,SOT1046411,Abbey Court Care Home,-1976
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45331,SOT1040169,ABC Coaches (2002) LTD T/A ABC Supreme,6914.67
Stoke City Council,4CAF,Children and Family Services,EG219,Other establishments,45345,SOT1044705,ABC Coaches (2002) LTD T/A ABC Supreme,825
Stoke City Council,4CAF,Children and Family Services,EG233,Other establishments,45350,SOT1045904,ABC Coaches (2002) LTD T/A ABC Supreme,566
Stoke City Council,4CITD,City Director,dc103,Clothes  uniform and laundry,45345,SOT1044459,ABC Coaches (2002) LTD T/A ABC Supreme,4026
Stoke City Council,4CAF,Children and Family Services,de113,Services,45331,SOT1039951,ABC Tutoring,540
Stoke City Council,4CAF,Children and Family Services,EG133,Other establishments,45350,SOT1043043,Above n Beyond Ltd.,2085.68
Stoke City Council,4CAF,Children and Family Services,de113,Services,45324,SOT1035729,Acacia Training Limited,17096.67
Stoke City Council,4CITD,City Director,dg100,Expenses,45338,SOT1041895,Acacia Training Limited,18226.55
Stoke City Council,4SCHL,Schools,AA713,Agency staff,45329,SOT1036502,Academics,680
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DE100,Services,45350,SOT1040897,ACCESS UK ,4875.74
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG429,Other establishments,45348,SOT1045395,Accomplish Group Ltd,3282.44
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG433,Other establishments,45348,SOT1045395,Accomplish Group Ltd,2393.16
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45323,SOT1035407,Accord Housing Association Ltd,2246.92
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45337,SOT1042079,Accord Housing Association Ltd,2246.92
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45351,SOT1046336,Accord Housing Association Ltd,2246.92
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45336,SOT1041661,Acheron Care Ltd,27877.86
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45336,SOT1041662,Acheron Care Ltd,24222.78
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45336,SOT1041663,Acheron Care Ltd,27877.86
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45336,SOT1041664,Acheron Care Ltd,41827.86
Stoke City Council,4CAF,Children and Family Services,de113,Services,45338,SOT1042381,Acorn Care & Education Ltd,4088.92
Stoke City Council,4CAF,Children and Family Services,de113,Services,45338,SOT1042383,Acorn Care & Education Ltd,4088.92
Stoke City Council,4CAF,Children and Family Services,de113,Services,45338,SOT1042384,Acorn Care & Education Ltd,4088.92
Stoke City Council,4CAF,Children and Family Services,de113,Services,45338,SOT1042385,Acorn Care & Education Ltd,4088.92
Stoke City Council,4CAF,Children and Family Services,de113,Services,45338,SOT1042386,Acorn Care & Education Ltd,4088.92
Stoke City Council,4CAF,Children and Family Services,de113,Services,45338,SOT1042387,Acorn Care & Education Ltd,4088.92
Stoke City Council,4CAF,Children and Family Services,de113,Services,45338,SOT1042388,Acorn Care & Education Ltd,4088.92
Stoke City Council,4CAF,Children and Family Services,de113,Services,45338,SOT1042389,Acorn Care & Education Ltd,4088.92
