Transparency Report May 2023,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Expenditure Category Lvl 6,Date,Transaction Number,Supplier Name,Total
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45050.999444444446,SOT0928951,3D Recruit Ltd,5199.16
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45076.999444444446,SOT0938096,3D Recruit Ltd,5147.59
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45062.999444444446,SOT0934053,3D Recruit Ltd,6536.83
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45071.999444444446,SOT0936357,3D Recruit Ltd,5215.81
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45071.999444444446,SOT0936834,3D Recruit Ltd,6100.06
Stoke City Council,4CAF,Children and Family Services,DG120,Expenses,45062.999444444446,SOT0929696,A & E Legal Training,599
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45071.999444444446,SOT0937109,ABACUS FOSTERING LTD,6650.4
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45055.999444444446,SOT0923091,Abacus Psychology Limited,4031.25
Stoke City Council,4CAF,Children and Family Services,EA158,Independent units within CC,45062.999444444446,SOT0933946,Abbey Hill School & College,-8734.38
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45076.999444444446,SOT0940441,ABC Coaches (2002) LTD T/A ABC Supreme,624
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45069.999444444446,SOT0936235,ABC Coaches (2002) LTD T/A ABC Supreme,1442
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45062.999444444446,SOT0934050,ABC Coaches (2002) LTD T/A ABC Supreme,640
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45055.999444444446,SOT0931066,ABC Coaches (2002) LTD T/A ABC Supreme,520
Stoke City Council,4CAF,Children and Family Services,AB300,Training,45055.999444444446,SOT0923012,Abi Billinghurst and Associates t/a Abianda,3190
Stoke City Council,4CAF,Children and Family Services,ea147,Independent units within CC,45069.999444444446,SOT0932026,Above n Beyond Ltd.,1675.54
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45064.999444444446,SOT0934697,Acacia Training Limited,37561.33
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45064.999444444446,SOT0934691,Acheron Care Ltd,23441.4
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45064.999444444446,SOT0934692,Acheron Care Ltd,26978.4
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45071.999444444446,SOT0937105,Acorn Fostering Services Ltd,9268
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45060.999444444446,SOT0932100,Acorn Residential Care Limited,30578.57
Stoke City Council,4CAF,Children and Family Services,EG218,Other establishments,45062.999444444446,SOT0932496,Active Care Solutions Limited,798.24
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45071.999444444446,SOT0937199,Active Resilience,20466.28
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45071.999444444446,SOT0937199,Active Resilience,139496.69
Stoke City Council,4CAF,Children and Family Services,eg171,Other establishments,45062.999444444446,SOT0929174,Adoption Matters,57362
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45060.999444444446,SOT0931064,ADVANCE CARS LTD,1800
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45064.999444444446,SOT0933681,Affinity Design and Management Ltd,1250
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45071.999444444446,SOT0937123,Affinity Fostering Services,22592
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45057.999444444446,SOT0931932,AJS Passenger Travel,2100
Stoke City Council,4CAF,Children and Family Services,AB300,Training,45062.999444444446,SOT0933360,Allison Baby UK Ltd,4857.5
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924459,Alpha Learning Staffordshire Ltd,-2250
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924923,Alpha Learning Staffordshire Ltd,-2250
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924434,Alpha Learning Staffordshire Ltd,-900
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924439,Alpha Learning Staffordshire Ltd,-900
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924406,Alpha Learning Staffordshire Ltd,-900
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924446,Alpha Learning Staffordshire Ltd,-900
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924308,Alpha Learning Staffordshire Ltd,-900
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924300,Alpha Learning Staffordshire Ltd,-900
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924413,Alpha Learning Staffordshire Ltd,-900
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924423,Alpha Learning Staffordshire Ltd,-900
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924411,Alpha Learning Staffordshire Ltd,-900
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924432,Alpha Learning Staffordshire Ltd,-900
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924444,Alpha Learning Staffordshire Ltd,-720
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924415,Alpha Learning Staffordshire Ltd,-720
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924426,Alpha Learning Staffordshire Ltd,-720
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924429,Alpha Learning Staffordshire Ltd,-540
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924580,Alpha Learning Staffordshire Ltd,540
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924583,Alpha Learning Staffordshire Ltd,540
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924588,Alpha Learning Staffordshire Ltd,540
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924600,Alpha Learning Staffordshire Ltd,540
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924604,Alpha Learning Staffordshire Ltd,540
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924570,Alpha Learning Staffordshire Ltd,540
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924575,Alpha Learning Staffordshire Ltd,540
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924578,Alpha Learning Staffordshire Ltd,540
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924585,Alpha Learning Staffordshire Ltd,720
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924609,Alpha Learning Staffordshire Ltd,720
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924576,Alpha Learning Staffordshire Ltd,720
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924864,Alpha Learning Staffordshire Ltd,720
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924567,Alpha Learning Staffordshire Ltd,810
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924590,Alpha Learning Staffordshire Ltd,810
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924597,Alpha Learning Staffordshire Ltd,810
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924573,Alpha Learning Staffordshire Ltd,900
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924579,Alpha Learning Staffordshire Ltd,900
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924591,Alpha Learning Staffordshire Ltd,1080
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924592,Alpha Learning Staffordshire Ltd,1350
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45057.999444444446,SOT0924865,Alpha Learning Staffordshire Ltd,2070
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45057.999444444446,SOT0931934,Alpha Transport Service Ltd,1088.9
Stoke City Council,4CAF,Children and Family Services,DA100,Equipment  furniture and mater,45055.999444444446,SOT0924095,Amanda For Blinds,740.83
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45064.999444444446,SOT0934677,Amberleigh Care Ltd,25080
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45050.999444444446,SOT0924229,AMG Nursing and Care Services,1032.28
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45076.999444444446,SOT0936308,AMG Nursing and Care Services,561.28
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45076.999444444446,SOT0938105,AMG Nursing and Care Services,762.62
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45076.999444444446,SOT0938101,AMG Nursing and Care Services,782.96
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45076.999444444446,SOT0938081,AMG Nursing and Care Services,785.72
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45076.999444444446,SOT0938078,AMG Nursing and Care Services,798.7
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45076.999444444446,SOT0936311,AMG Nursing and Care Services,819.38
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45076.999444444446,SOT0938079,AMG Nursing and Care Services,928.94
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45076.999444444446,SOT0938100,AMG Nursing and Care Services,1023.03
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45076.999444444446,SOT0938103,AMG Nursing and Care Services,1052.4
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45076.999444444446,SOT0938102,AMG Nursing and Care Services,1095.76
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45076.999444444446,SOT0938080,AMG Nursing and Care Services,1209
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45076.999444444446,SOT0936309,AMG Nursing and Care Services,1271.16
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45076.999444444446,SOT0936310,AMG Nursing and Care Services,1340.56
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45076.999444444446,SOT0938106,AMG Nursing and Care Services,1376.4
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45071.999444444446,SOT0936359,AMG Nursing and Care Services,1824.09
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45076.999444444446,SOT0938252,AMR Property Services Ltd,1371.64
Stoke City Council,4CAF,Children and Family Services,ea147,Independent units within CC,45076.999444444446,SOT0936692,ANEW Young People Services Limited,2138.4
Stoke City Council,4CAF,Children and Family Services,ea147,Independent units within CC,45069.999444444446,SOT0931999,ANEW Young People Services Limited,1790.7
Stoke City Council,4CAF,Children and Family Services,ea147,Independent units within CC,45069.999444444446,SOT0932000,ANEW Young People Services Limited,2498.7
Stoke City Council,4CAF,Children and Family Services,ea147,Independent units within CC,45069.999444444446,SOT0932023,ANEW Young People Services Limited,4928.57
Stoke City Council,4CAF,Children and Family Services,ea147,Independent units within CC,45069.999444444446,SOT0932002,ANEW Young People Services Limited,5642.86
Stoke City Council,4CAF,Children and Family Services,ea147,Independent units within CC,45069.999444444446,SOT0932001,ANEW Young People Services Limited,7990.28
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45055.999444444446,SOT0929603,Ansa Transport,2001
Stoke City Council,4CAF,Children and Family Services,dh102,Grants and subscriptions,45064.999444444446,SOT0934476,Apse (Association for Public Service Excellence),4980
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45057.999444444446,SOT0932035,Ash House Care Ltd,1682
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45060.999444444446,SOT0932095,Ash House Care Ltd,36621.3
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45060.999444444446,SOT0932084,Ashwood Children Care Homes,23571.43
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45064.999444444446,SOT0934678,AspireOne Care Ltd,16213.8
