,Transparency Report November 2023,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Expenditure Category Lvl 6,Date,Transaction Number,Supplier Name,Sum of Amount
Stoke City Council,4CAF,Children and Family Services,de113,Services,45233,SOT1000263, MACCLESFIELD TUTORIAL COLLEGE,1009
Stoke City Council,4CAF,Children and Family Services,de113,Services,45254,SOT1011272, MACCLESFIELD TUTORIAL COLLEGE,1511.5
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45245,SOT1003963,18 ST JOHN STREET CHAMBERS,750
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003183,20 Talbot Street,13557.78
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011091,20 Talbot Street,13557.78
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45254,SOT0999224,20 Talbot Street,13557.78
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45254,SOT1003183,20 Talbot Street,13557.78
Stoke City Council,4CAF,Children and Family Services,cd104,Public transport,45245,SOT1004574,24x7 Staffordshire LTD,2530.74
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45233,SOT1001550,3D Recruit Ltd,4449.82
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45247,SOT1007767,3D Recruit Ltd,7411.95
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45247,SOT1007768,3D Recruit Ltd,4427.17
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45250,SOT1009105,3D Recruit Ltd,3913.05
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45252,SOT1010104,3D Recruit Ltd,6363.53
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45259,SOT1012463,3D Recruit Ltd,8009.06
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45240,SOT1003566,3D Recruit Ltd,7889.92
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45240,SOT1003570,3D Recruit Ltd,6355.42
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45240,SOT1003573,3D Recruit Ltd,4245
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45240,SOT1003574,3D Recruit Ltd,6069.04
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",qxwnc,Works,45233,SOT0999553,3D Technical Design Ltd,22532.99
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",qxwnc,Works,45233,SOT1001789,3D Technical Design Ltd,18973.65
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",qxwnc,Works,45257,SOT1010019,3D Technical Design Ltd,4228.54
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",qxwne,External Fees,45233,SOT0999512,3D Technical Design Ltd,6593.81
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",qxwne,External Fees,45233,SOT1001786,3D Technical Design Ltd,15819.27
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",qxwne,External Fees,45233,SOT1001787,3D Technical Design Ltd,-6879.12
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003207,3L Care Limited,5625.94
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011116,3L Care Limited,5625.94
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45259,SOT1003964,3PB Management Services Ltd,1100
Stoke City Council,4PUBH,Public Health,DA100,Equipment  furniture and mater,45238,SOT1001395,A & J Hulme t/a Acresgreen Soil,1200
Stoke City Council,4PUBH,Public Health,DA100,Equipment  furniture and mater,45259,SOT1010880,A & J Hulme t/a Acresgreen Soil,1250
Stoke City Council,4SCHL,Schools,DG134,Expenses,45245,SOT1002429,A 7 Media,2167.2
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002301,ABACUS FOSTERING LTD,6171.46
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1012312,ABACUS FOSTERING LTD,3264
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003166,Abbey Court Care Home,1456
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011073,Abbey Court Care Home,1456
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003166,Abbey Court Care Home,1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011073,Abbey Court Care Home,1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45239,SOT1003166,Abbey Court Care Home,-518.56
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45253,SOT1011073,Abbey Court Care Home,-518.56
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45239,SOT1003166,Abbey Court Care Home,-1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45253,SOT1011073,Abbey Court Care Home,-1976
Stoke City Council,4CAFSC,Children & Family services CAP,QXCGR,Grant Payments,45231,SOT1000301,Abbey Hill School & College,115859.62
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45233,SOT1001825,ABC Coaches (2002) LTD T/A ABC Supreme,960
Stoke City Council,4CAF,Children and Family Services,de113,Services,45240,SOT1003448,ABC Tutoring,720
Stoke City Council,4STAR,Strategy & Resources,de113,Services,45240,SOT1003326,REDACTED - Personal Data,1227.98
Stoke City Council,4HDG,"Housing, Development & Growth",DA130,Equipment  furniture and mater,45231,SOT1000234,Abfallbehalter & Container Weber UK Limited,16251
Stoke City Council,4CAF,Children and Family Services,EG133,Other establishments,45259,SOT1012185,Above n Beyond Ltd.,3406.93
Stoke City Council,4STARC,Strategy & Resources Capital,QXPSP,Intangible Assets,45257,SOT1003313,Absoft Limited,72033.85
Stoke City Council,4CAF,Children and Family Services,de113,Services,45240,SOT1003270,Acacia Training Limited,3833.33
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DE100,Services,45257,SOT1003956,ACCESS UK ,4875.74
Stoke City Council,4STAR,Strategy & Resources,de158,Services,45254,SOT1011379,ACCESS UK ,2225
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG115,Other establishments,45236,SOT1002114,Accomplish Group Ltd,5675.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003094,Accord Housing Association Ltd,2246.92
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1010998,Accord Housing Association Ltd,2246.92
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45254,SOT1011219,Ace Private Hire,1513
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003886,Acheron Care Ltd,27877.86
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003887,Acheron Care Ltd,24222.78
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003888,Acheron Care Ltd,27877.86
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003889,Acheron Care Ltd,27877.86
Stoke City Council,4HLCYP,CYP Holding Accounts,DH101,Grants and subscriptions,45240,SOT1003599,Acorn Care & Education T/A HILLCREST GLEBEDALE SCH,514.06
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002289,Acorn Fostering Services Ltd,5888
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003884,Acorn Residential Care Limited,33493.73
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45252,SOT1010011,Action for Children Limited,125000
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45231,SOT0999713,Active Resilience,25350.18
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45233,SOT1001757,Active Resilience,28130.6
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45257,SOT1011811,Active Resilience,21006.9
Stoke City Council,4CAF,Children and Family Services,de113,Services,45233,SOT1001756,Active Resilience,164039.6
Stoke City Council,4CAF,Children and Family Services,de113,Services,45257,SOT1011810,Active Resilience,124136.15
Stoke City Council,4HLCYP,CYP Holding Accounts,DH101,Grants and subscriptions,45240,SOT1003592,Active Resilience,925.31
Stoke City Council,4PUBH,Public Health,AA700,Agency staff,45247,SOT1003421,Adecco,2166.6
Stoke City Council,4PUBH,Public Health,AA700,Agency staff,45247,SOT1008149,Adecco,2260.8
Stoke City Council,4PUBH,Public Health,AA700,Agency staff,45247,SOT1008151,Adecco,3108.6
Stoke City Council,4PUBH,Public Health,AA700,Agency staff,45247,SOT1008156,Adecco,2260.8
Stoke City Council,4PUBH,Public Health,AA700,Agency staff,45252,SOT1010761,Adecco,1695.6
Stoke City Council,4PUBH,Public Health,AA700,Agency staff,45252,SOT1010794,Adecco,1507.2
Stoke City Council,4CAF,Children and Family Services,EG171,Other establishments,45247,SOT1008508,Adoption Focus (Family Society),57362
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001406,Advanced Child Care Assessment,2168.8
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001893,Advanced Child Care Assessment,2211.4
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45254,SOT1011337,Advanced Child Care Assessment,1599.25
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45259,SOT1012148,Advanced Child Care Assessment,665
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45259,SOT1013081,Advanced Child Care Assessment,2128.8
Stoke City Council,4STAR,Strategy & Resources,DE147,Services,45238,SOT1002893,Advanced Visualisation Technologies Limited,10535.8
Stoke City Council,4STAR,Strategy & Resources,DE147,Services,45257,SOT1011226,Advanced Visualisation Technologies Limited,14586.24
