Transparency Report July 2023,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Expenditure Category Lvl 6,Date,Transaction Number,Supplier Name,Total
Stoke City Council,4STAR,Strategy & Resources,df126,Communications and computing,45125.999444444446,SOT0949341, Acuma Solutions Ltd,38847.14
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45118.999444444446,SOT0956761,18 ST JOHN STREET CHAMBERS,990
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45125.999444444446,SOT0957670,18 ST JOHN STREET CHAMBERS,1250
Stoke City Council,4SCHL,Schools,DH102,Grants and subscriptions,45113.999444444446,SOT0955534,2 Simple Software Ltd,950
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45126.999444444446,SOT0959953,20 Talbot Street,13557.78
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45112.999444444446,SOT0955422,20 Talbot Street,13557.78
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45134.999444444446,SOT0959276,3D Recruit Ltd,4709.24
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45134.999444444446,SOT0964125,3D Recruit Ltd,5675.21
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45125.999444444446,SOT0959274,3D Recruit Ltd,3913.04
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45125.999444444446,SOT0959801,3D Recruit Ltd,7112.55
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45113.999444444446,SOT0956007,3D Recruit Ltd,5172.22
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45113.999444444446,SOT0956006,3D Recruit Ltd,6603.24
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45113.999444444446,SOT0956008,3D Recruit Ltd,7099.18
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45113.999444444446,SOT0956010,3D Recruit Ltd,7841.84
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45113.999444444446,SOT0956011,3D Recruit Ltd,7878.67
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45113.999444444446,SOT0956009,3D Recruit Ltd,8600.76
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45126.999444444446,SOT0959976,3L Care Limited,5409.56
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45112.999444444446,SOT0955446,3L Care Limited,5409.56
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45125.999444444446,SOT0957671,3PB Management Services Ltd,750
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45126.999444444446,SOT0960207,5ab Care,78303.35
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,BA100,Repairs alterations mtce of bu,45134.999444444446,SOT0955260,A J Philpott & Sons Ltd                           ,1890
Stoke City Council,4STAR,Strategy & Resources,de113,Services,45125.999444444446,SOT0959045,A Kardosova,2362.5
Stoke City Council,4SCHL,Schools,DD100,Printing  stationery and gener,45120.999444444446,SOT0958014,A1 Bouncy Castle Hire,650
Stoke City Council,4PLACEC,Place Growth & Prosperity CAP,QXWBE,External Fees,45132.999444444446,SOT0960857,ABA Consulting,1700
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45123.999444444446,SOT0958807,ABACUS FOSTERING LTD,6650.4
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45134.999444444446,SOT0964470,ABACUS FOSTERING LTD,6650.4
Stoke City Council,4CAF,Children and Family Services,de113,Services,45111.999444444446,SOT0945637,Abacus Psychology Limited,1500
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45126.999444444446,SOT0959935,Abbey Court Care Home,1400
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45112.999444444446,SOT0955404,Abbey Court Care Home,1400
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45126.999444444446,SOT0959935,Abbey Court Care Home,1900
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45112.999444444446,SOT0955404,Abbey Court Care Home,1900
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45126.999444444446,SOT0959935,Abbey Court Care Home,-518.56
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45112.999444444446,SOT0955404,Abbey Court Care Home,-518.56
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45126.999444444446,SOT0959935,Abbey Court Care Home,-1900
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45112.999444444446,SOT0955404,Abbey Court Care Home,-1900
Stoke City Council,4CAF,Children and Family Services,EG100,Other establishments,45125.999444444446,SOT0959158,Abbey Hulton Primary Academy,1610
Stoke City Council,4CAF,Children and Family Services,EG100,Other establishments,45137.999444444446,SOT0964841,Abbey Hulton Primary Academy,650
Stoke City Council,4CAF,Children and Family Services,EG100,Other establishments,45137.999444444446,SOT0964842,Abbey Hulton Primary Academy,1650
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45134.999444444446,SOT0964021,ABC Coaches (2002) LTD T/A ABC Supreme,1248
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45125.999444444446,SOT0959580,ABC Coaches (2002) LTD T/A ABC Supreme,800
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45120.999444444446,SOT0958160,ABC Coaches (2002) LTD T/A ABC Supreme,1040
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45113.999444444446,SOT0956097,ABC Coaches (2002) LTD T/A ABC Supreme,1280
Stoke City Council,4SCHL,Schools,AA700,Agency staff,45113.999444444446,SOT0955525,ABC Teachers Limited,779.96
Stoke City Council,4SCHL,Schools,AA713,Agency staff,45118.999444444446,SOT0956108,ABC Teachers Limited,675
Stoke City Council,4SCHL,Schools,AA713,Agency staff,45125.999444444446,SOT0959049,ABC Teachers Limited,615
Stoke City Council,4SCHL,Schools,AB600,Employee-related schemes,45132.999444444446,SOT0960073,Abel Occupational Health resolutions,650
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DG117,Expenses,45123.999444444446,SOT0958613,ABF The Soldiers Charity,600
Stoke City Council,4HDG,"Housing, Development & Growth",DA130,Equipment  furniture and mater,45116.999444444446,SOT0956443,Abfallbehalter & Container Weber UK Limited,14445
Stoke City Council,4HDG,"Housing, Development & Growth",DA130,Equipment  furniture and mater,45116.999444444446,SOT0949129,Abfallbehalter & Container Weber UK Limited,15600
Stoke City Council,4HDG,"Housing, Development & Growth",DA130,Equipment  furniture and mater,45116.999444444446,SOT0949131,Abfallbehalter & Container Weber UK Limited,15600
Stoke City Council,4CAF,Children and Family Services,EG133,Other establishments,45111.999444444446,SOT0954848,Above n Beyond Ltd.,1992.23
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45127.999444444446,SOT0960785,AC Transport Management & Training Ltd,2898.67
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DE100,Services,45134.999444444446,SOT0964345,ACCESS UK ,4843.55
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DE100,Services,45130.999444444446,SOT0960992,ACCESS UK ,4822.09
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG104,Other establishments,45126.999444444446,SOT0959997,Accomplish Group Ltd,3762.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG104,Other establishments,45112.999444444446,SOT0955465,Accomplish Group Ltd,3762.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG115,Other establishments,45123.999444444446,SOT0958886,Accomplish Group Ltd,5675.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45126.999444444446,SOT0959859,Accord Housing Association Ltd,2160.5
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45112.999444444446,SOT0955326,Accord Housing Association Ltd,2160.5
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45118.999444444446,SOT0957600,Acheron Care Ltd,13489.29
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45118.999444444446,SOT0957598,Acheron Care Ltd,23773.2
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45118.999444444446,SOT0957599,Acheron Care Ltd,26978.57
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45118.999444444446,SOT0957597,Acheron Care Ltd,26978.57
Stoke City Council,4CAF,Children and Family Services,de113,Services,45134.999444444446,SOT0964377,Acorn Care & Education Ltd,6528
Stoke City Council,4CAF,Children and Family Services,de113,Services,45134.999444444446,SOT0964376,Acorn Care & Education Ltd,13586.14
Stoke City Council,4CAF,Children and Family Services,de113,Services,45134.999444444446,SOT0964375,Acorn Care & Education Ltd,29053.31
Stoke City Council,4CAF,Children and Family Services,de113,Services,45137.999444444446,SOT0964693,Acorn Care & Education Ltd,-39373.53
Stoke City Council,4CAF,Children and Family Services,de113,Services,45137.999444444446,SOT0964694,Acorn Care & Education Ltd,27172.28
Stoke City Council,4CAF,Children and Family Services,de113,Services,45137.999444444446,SOT0964684,Acorn Care & Education Ltd,59660.1
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45123.999444444446,SOT0958798,Acorn Fostering Services Ltd,9268
