Transparency Report January 2024,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Expenditure Category Lvl 6,Date,Transaction Number,Supplier Name,Sum of Amount
Stoke City Council,4SBS,Systems Balance Sheet,YD122,Control Accounts,45316,SOT1033629,Lloyds Bank plc - Card Services,1409757.3
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45306,SOT1029027,18 ST JOHN STREET CHAMBERS,850
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45317,SOT1034161,1st Affinity Fostering,13440
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45295,SOT1024316,20 Talbot Street,13557.78
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45309,SOT1031009,20 Talbot Street,13557.78
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45303,SOT1028469,24x7 Staffordshire LTD,1710.95
Stoke City Council,4CAF,Children and Family Services,EH104,Private contractors,45303,SOT1028469,24x7 Staffordshire LTD,2485.47
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45308,SOT1030640,2buy2.com Limited,639.14
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45301,SOT1025128,3D Recruit Ltd,5230.12
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45301,SOT1026359,3D Recruit Ltd,5146.01
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45308,SOT1030192,3D Recruit Ltd,5763.29
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45308,SOT1030193,3D Recruit Ltd,5278.08
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45301,SOT1026322,3D Recruit Ltd,3986.32
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45301,SOT1026323,3D Recruit Ltd,4947.74
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45301,SOT1026324,3D Recruit Ltd,1888.71
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45301,SOT1026325,3D Recruit Ltd,4899.99
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45301,SOT1026326,3D Recruit Ltd,3011.47
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45301,SOT1026327,3D Recruit Ltd,4943.24
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45301,SOT1026328,3D Recruit Ltd,4999.49
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45301,SOT1026329,3D Recruit Ltd,2265.86
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45301,SOT1026330,3D Recruit Ltd,1893.21
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45301,SOT1026341,3D Recruit Ltd,5600.55
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45301,SOT1026342,3D Recruit Ltd,5192.92
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45301,SOT1026343,3D Recruit Ltd,4902.69
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45322,SOT1034780,3D Recruit Ltd,3735.63
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45322,SOT1034781,3D Recruit Ltd,4244.67
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45322,SOT1034782,3D Recruit Ltd,3594.2
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45322,SOT1034783,3D Recruit Ltd,2726.19
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45322,SOT1034784,3D Recruit Ltd,4169.08
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWNC,Works,45315,SOT1033464,3D Technical Design Ltd,982.68
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWNC,Works,45315,SOT1033474,3D Technical Design Ltd,2175.14
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45295,SOT1024339,3L Care Limited,5625.94
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45309,SOT1031032,3L Care Limited,5625.94
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45317,SOT1033612,3PB Management Services Ltd,850
Stoke City Council,4CAF,Children and Family Services,da100,Equipment  furniture and mater,45294,SOT1021866,4 Imprint Direct Limited,624
