Transparency Report March 2024,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Expenditure Category Lvl 6,Date,Transaction Number,Supplier Name,Sum of Amount
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45357,SOT1050475,18 ST JOHN STREET CHAMBERS,1010
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45366,SOT1050479,18 ST JOHN STREET CHAMBERS,750
Stoke City Council,4HDG,"Housing, Development & Growth",dh101,Grants and subscriptions,45357,SOT1050350,1JR LIMITED,1300
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45365,SOT1053546,20 Talbot Street,13557.78
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45376,SOT1058151,20 Talbot Street,9018.52
Stoke City Council,4CAF,Children and Family Services,EH104,Private contractors,45357,SOT1050825,24x7 Staffordshire LTD,2421.74
Stoke City Council,4CAF,Children and Family Services,EH104,Private contractors,45378,SOT1059533,24x7 Staffordshire LTD,1593.25
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45357,SOT1050825,24x7 Staffordshire LTD,1530.85
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45378,SOT1059533,24x7 Staffordshire LTD,1440.8
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45371,SOT1055803,3D Recruit Ltd,4836.59
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45359,SOT1051277,3D Recruit Ltd,4747.92
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45371,SOT1056146,3D Recruit Ltd,3553.83
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45371,SOT1056147,3D Recruit Ltd,3542.13
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45371,SOT1053832,3D Recruit Ltd,3375.57
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45371,SOT1056145,3D Recruit Ltd,3374.67
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45371,SOT1056144,3D Recruit Ltd,3367.92
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45352,SOT1046588,3D Recruit Ltd,2623.79
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45352,SOT1046587,3D Recruit Ltd,2599.58
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWNC,Works,45359,SOT1051145,3D Technical Design Ltd,1773.13
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWNC,Works,45377,SOT1055242,3D Technical Design Ltd,5200.48
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWNC,Works,45377,SOT1055248,3D Technical Design Ltd,3536.89
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45365,SOT1053663,3L Care Limited,5625.94
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45376,SOT1058174,3L Care Limited,5625.94
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45357,SOT1050477,3PB Management Services Ltd,7250
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45371,SOT1051572,4 Paper Buildings Client Account,2083.33
Stoke City Council,4PUBH,Public Health,DA100,Equipment  furniture and mater,45377,SOT1056706,A & J Hulme t/a Acresgreen Soil,2000
Stoke City Council,4CITD,City Director,DK184,Miscellaneous expenses,45362,SOT1051759,A D E Regeneration Ltd,3500
Stoke City Council,4STAR,Strategy & Resources,BA100,Repairs alterations mtce of bu,45352,SOT1045625,A M Scaffolding Services Ltd                      ,2301.75
Stoke City Council,4STAR,Strategy & Resources,BA100,Repairs alterations mtce of bu,45352,SOT1045626,A M Scaffolding Services Ltd                      ,2301.75
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45364,SOT1052221,Abacus Psychology Limited,4400
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45365,SOT1053540,Abbey Court Care Home,3156
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45376,SOT1058133,Abbey Court Care Home,3156
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45365,SOT1053540,Abbey Court Care Home,1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45376,SOT1058133,Abbey Court Care Home,1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45365,SOT1053540,Abbey Court Care Home,-518.56
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45376,SOT1058133,Abbey Court Care Home,-518.56
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45365,SOT1053540,Abbey Court Care Home,-1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45376,SOT1058133,Abbey Court Care Home,-1976
Stoke City Council,4CAF,Children and Family Services,CC109,Contract hire&operating leases,45376,SOT1057846,ABC Coaches (2002) LTD T/A ABC Supreme,7027
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45376,SOT1057765,ABC Coaches (2002) LTD T/A ABC Supreme,673
