Organisation Name,Organisation Code,Unique Ref No,Effective date,Directorate,Supplier Name,Payment Date,Net amount,Purpose of Spend,Procurement Classification (Higher level),Procurement Classification (Lower level),CAPITAL / REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1912,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,"1,053.00",6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1913,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,567.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1914,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,567.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1915,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,702.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1916,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,504.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1917,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,585.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1918,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,504.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1919,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,567.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1920,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,567.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1921,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,315.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1922,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,504.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1923,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,297.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1924,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,567.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1925,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,283.50,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1926,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,603.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1927,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,378.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1928,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,483.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1929,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,522.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1930,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,594.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1931,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,274.50,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1932,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,657.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1933,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,495.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1934,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,283.50,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1935,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,567.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1936,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,567.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1937,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,504.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1938,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,576.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1939,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,504.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1940,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,504.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1941,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,283.50,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1942,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,283.50,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1943,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,567.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1944,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,288.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1945,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,630.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1946,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,567.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1947,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,256.50,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1948,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,252.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1949,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,675.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1950,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,"1,134.00",6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1951,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,283.50,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1952,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,441.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1953,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,05/12/2023,378.00,6541-Domiciliary Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1954,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,351.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1955,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,445.50,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1956,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,"-1,458.00",6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1957,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,486.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1958,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,324.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1959,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,823.50,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1960,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,909.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1961,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,"1,134.00",6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1962,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,"1,782.00",6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1963,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,414.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1964,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,"1,737.00",6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1965,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,756.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1966,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,"1,053.00",6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1967,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,"1,093.50",6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1968,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,252.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1969,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,931.50,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1970,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,"1,575.00",6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1971,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,891.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1972,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,"2,025.00",6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1973,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,630.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1974,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,567.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1975,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,283.50,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1976,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,540.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1977,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,283.50,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1978,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,"2,187.00",6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1979,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,441.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1980,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,261.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1981,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,540.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1982,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,324.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1983,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,616.50,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1984,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,648.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1985,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,292.50,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1986,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,"1,296.00",6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1987,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,"2,592.00",6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1988,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,270.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1989,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,"1,701.00",6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1990,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,427.50,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1991,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,603.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1992,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,423.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1993,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,"1,053.00",6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1994,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,463.50,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1995,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,585.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1996,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,364.50,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1997,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,625.50,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1998,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,369.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-1999,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,396.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-2000,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,382.50,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-2001,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,378.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-2002,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,423.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-2003,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,504.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-2004,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,"1,584.00",6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-2005,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,"2,268.00",6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-2006,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,14/12/2023,567.00,6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC157-2007,31.12.2023,ADULT SOCIAL CARE,CARING CARE LIMITED,13/12/2023,"2,268.00",6554-Professional Services-Priv Contractor & Other Agencies,THIRD PARTY PAYMENTS,PRIVATE CONTRACTOR,REVENUE
