Body,Division of Service,Purpose of Expenditure,Merchant Category,Department,Payment Date,Transaction Code,Net Amount,Supplier Name
City of London,Visitor Services and City Information Centre,Supplies  and  Services,Advertising/Miscellaneous expenses,Innovation & Growth,45293,24906413363190451540264,1281.6,Hoo*hootsuite Inc
City of London,CO&FO Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45293,74208474001000019440826,960.1600000000001,Parim Monthly Charge
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Barbican Centre,45293,RT2587347,10620,Miller Hare Ltd
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Barbican Centre,45293,RT2587347,9940,Miller Hare Ltd
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Barbican Centre,45293,RT2587347,9520,Miller Hare Ltd
City of London,Audience's Division,Transport,Contract Hire and Operating Leases,Barbican Centre,45293,RT2603898,2115.52,Addison Lee Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45293,RT2604738,1645.25,Delva Patman Redler LLP 
City of London,Barbican Own Events,Supplies  and  Services,Expenses,Barbican Centre,45293,RT2606071,28650,Citadines Apart'Hotel 
City of London,Barbican Own Events,Supplies  and  Services,Expenses,Barbican Centre,45293,RT2606071,2700,Citadines Apart'Hotel 
City of London,Local Policing,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45293,RT2608716,2745.61,Municipal Security Ltd
City of London,Audience's Division,Transport,Contract Hire and Operating Leases,Barbican Centre,45293,RT2612609,3474.05,Addison Lee Limited
City of London,Commissioning,Premises,Rents,DCCS Adult Services,45293,RT2613321,50000,Healthlink Investments Limited 
City of London,National Lead Force,Supplies  and  Services,Fees  and  Services,City of London Police,45293,RT2617393,8809.58,Mayor's Office for Policing and Crime 
City of London,CL and BHE(City Fund) Estate,Supplies  and  Services,Fees  and  Services,City Surveyors,45293,RT2617670,750,BNP Paribas Real Estate Advisory & Property Management UK Ltd 
City of London,CL and BHE(City Fund) Estate,Supplies  and  Services,Fees  and  Services,City Surveyors,45293,RT2617670,750,BNP Paribas Real Estate Advisory & Property Management UK Ltd 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45293,RT2617738,11000,Gerald Eve LLP 
City of London,Barbican and Community Libraries,Supplies  and  Services,Communications  and  Computing,DCCS Libraries,45293,RT2617861,1443.04,CitySprint (UK) Ltd
City of London,Walbrook Wharf,Premises,Repairs and Maintenance,City Surveyors,45293,RT2618308,7784.5,CBRE Managed Services Limited 
City of London,Walbrook Wharf,Premises,Repairs and Maintenance,City Surveyors,45293,RT2618308,5423.01,CBRE Managed Services Limited 
City of London,London Metropolitan Archives,Premises,Repairs and Maintenance,City Surveyors,45293,RT2618308,4927.2,CBRE Managed Services Limited 
City of London,London Metropolitan Archives,Premises,Repairs and Maintenance,City Surveyors,45293,RT2618308,3646.57,CBRE Managed Services Limited 
City of London,Mayors And City Of London Court,Premises,Repairs and Maintenance,City Surveyors,45293,RT2618308,1452.29,CBRE Managed Services Limited 
City of London,Mayors And City Of London Court,Premises,Repairs and Maintenance,City Surveyors,45293,RT2618308,194.96,CBRE Managed Services Limited 
City of London,Housing HRA Direct,Premises,Repairs and Maintenance,DCCS Barbican Estate,45293,RT2618442,1725,Butler & Young Associates
City of London,National Lead Force,Supplies  and  Services,Fees  and  Services,City of London Police,45293,RT2618586,1947.02,Mayor's Office for Policing and Crime 
City of London,Barbican Own Events,Supplies  and  Services,Fees  and  Services,Barbican Centre,45293,RT2618593,1250,The Hale Arts ltd
City of London,Barbican Own Events,Supplies  and  Services,Fees  and  Services,Barbican Centre,45293,RT2618593,400,The Hale Arts ltd
City of London,Southwark Estate,Premises,Cleaning and Domestic Supplies,DCCS Housing,45293,RT2619204,553.28,London Borough of Southwark 
City of London,William Blake Estate,Premises,Cleaning and Domestic Supplies,DCCS Housing,45293,RT2619204,442.62,London Borough of Southwark 
City of London,Southwark Estate,Premises,Cleaning and Domestic Supplies,DCCS Housing,45293,RT2619204,110.66,London Borough of Southwark 
City of London,Avondale Square Estate,Employees,Direct Employee Expenses,DCCS Housing,45293,RT2619438,440.85,Community Resourcing Limited
City of London,Avondale Square Estate,Employees,Direct Employee Expenses,DCCS Housing,45293,RT2619438,386.9,Community Resourcing Limited
City of London,Middlesex Street Estate,Employees,Direct Employee Expenses,DCCS Housing,45293,RT2619482,524.37,London Works Agency Ltd
City of London,Barbican and Community Libraries,Supplies  and  Services,Books,DCCS Libraries,45293,RT2619657,583.18,Askews & Holts Library Services Ltd
City of London,Corporate Services,Supplies  and  Services,Fees  and  Services,City of London Police,45293,RT2619806,1120,Harrow Green Limited
City of London,Audience's Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45293,RT2621220,8994,Allied Publicity Services (Manchester) Limited 
City of London,Audience's Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45293,RT2621220,2014.18,Allied Publicity Services (Manchester) Limited 
