Body,Division of Service,Purpose of Expenditure,Merchant Category,Department,Payment Date,Transaction Code,Net Amount,Supplier Name
City of London,CO&FO Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45323,74609054031000013700224,501.41,Twilio.Com
City of London,Homelessness,Supplies  and  Services,Advertising/Miscellaneous expenses,DCCS Fam & Young People,45323,74830504031298149562022,752.6800000000001,Travelodge Gb0000
City of London,Homelessness,Supplies  and  Services,Advertising/Miscellaneous expenses,DCCS Fam & Young People,45323,74830504031298149562691,799.92,Travelodge Gb0000
City of London,CO&FO Division,Supplies  and  Services,Fees  and  Services,Guildhall School,45324,74163614033589082970590,813.99,Hmrc Tps
City of London,CO&FO Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45324,74208474032000023387834,977.77,Parim Monthly Charge
City of London,Barbican Own Events,Supplies  and  Services,Expenses,Barbican Centre,45324,74463654031560322469128,791.67,Montcalm East
City of London,Child Social Care,Employees,Indirect Employee Expenses,DCCS Fam & Young People,45324,74463654032510337462294,530,Participant UK Ltd
City of London,COL Business Improvement Districts,Supplies  and  Services,Advertising/Miscellaneous expenses,Built Environment,45324,74463654032580321104434,866.67,The Ned
City of London,Audience's Division,Supplies  and  Services,"Equipment, Furniture  and  Materials",Barbican Centre,45324,74987504032001703718067,586,Auriseo
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City of London Police,45324,RT2418406,1450,Pentest People Limited
City of London,Sydenham Hill Estate,Premises,Grounds Maintenance Costs,DCCS Housing,45324,RT2501047,627.28,HSS Hire Service Group Limited
City of London,Sydenham Hill Estate,Premises,Grounds Maintenance Costs,DCCS Housing,45324,RT2508237,627.28,HSS Hire Service Group Limited
City of London,Corporate Services,Supplies  and  Services,Fees  and  Services,City of London Police,45324,RT2559600,1200,Purple Pitch Communications Limited
City of London,Supervision and Management,Employees,Indirect Employee Expenses,Chief People Officer,45324,RT2586803,581.88,Peoplescout Limited 
City of London,Supervision and Management,Employees,Indirect Employee Expenses,Chief People Officer,45324,RT2586803,400,Peoplescout Limited 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,DCCS Housing,45324,RT2589976,2871.03,McLoughlin Decorating Limited 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,DCCS Housing,45324,RT2593174,4050,The Woodley Coles LLP
City of London,CL and BHE(City Fund) Estate,Supplies  and  Services,Fees  and  Services,City Surveyors,45324,RT2595920,5542.81,Veolia ES (UK) Limited 
City of London,CL and BHE(City Fund) Estate,Supplies  and  Services,Fees  and  Services,City Surveyors,45324,RT2595920,385.86,Veolia ES (UK) Limited 
City of London,CL and BHE(City Fund) Estate,Supplies  and  Services,Fees  and  Services,City Surveyors,45324,RT2595920,296.87,Veolia ES (UK) Limited 
City of London,CL and BHE(City Fund) Estate,Supplies  and  Services,Fees  and  Services,City Surveyors,45324,RT2595920,231.41,Veolia ES (UK) Limited 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,DCCS Housing,45324,RT2597395,8587.56,McLoughlin Decorating Limited 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City of London Police,45324,RT2598093,13023.49,Cartwright Vehicle Conversions Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City of London Police,45324,RT2598093,13023,Cartwright Vehicle Conversions Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Barbican Centre,45324,RT2603023,5678.5,Museum of London Archaeology Service
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City of London Police,45324,RT2603709,-1941.12,Cartwright Vehicle Conversions Limited
City of London,London Metropolitan Archives,Premises,Repairs and Maintenance,City Surveyors,45324,RT2616340,8700,Wates Property Services Limited 
City of London,London Metropolitan Archives,Premises,Repairs and Maintenance,City Surveyors,45324,RT2616340,2931,Wates Property Services Limited 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Chamberlains,45324,RT2616542,37170,Museum of London Archaeology Service
City of London,Corporate Services,Transport,Direct Transport Costs,City of London Police,45324,RT2616827,1785.05,Cedars Assist Ltd
City of London,Corporate Services,Transport,Direct Transport Costs,City of London Police,45324,RT2616830,791.26,Cedars Assist Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Water Services,City Surveyors,45324,RT2617937,709.09,Anglian Water Business (National) Limited 
City of London,Corporate Services,Transport,Direct Transport Costs,City of London Police,45324,RT2618674,3604.5,Cedars Assist Ltd
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,DCCS Housing,45324,RT2619456,4050,The Woodley Coles LLP
City of London,Specialist Operations,Supplies  and  Services,Fees  and  Services,City of London Police,45324,RT2621723,555.36,Language Line Ltd 
City of London,Specialist Operations,Supplies  and  Services,Fees  and  Services,City of London Police,45324,RT2621736,2535,Language Line Ltd 
City of London,CO&FO Division,Supplies  and  Services,"Equipment, Furniture  and  Materials",Barbican Centre,45324,RT2623209,565.92,COCO Chocolatier Limited
City of London,Corporate Services,Transport,Direct Transport Costs,City of London Police,45324,RT2624033,2337.46,Cedars Assist Ltd
City of London,Central Income & Expenditure,Supplies  and  Services,Fees  and  Services,Chamberlains,45324,RT2624163,800.25,Hymans Robertson LLP
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Built Environment,45324,RT2626324,2977.02,British Telecommunications Plc
City of London,Service Charge Account,Premises,Cleaning and Domestic Supplies,DCCS Barbican Estate,45324,RT2626661,579.34,Van Vynck Environmental Services Ltd
