Body,Division of Service,Purpose of Expenditure,Merchant Category,Department,Payment Date,Transaction Code,Net Amount,Supplier Name
City of London,Supervision and Management,Supplies  and  Services,Expenses,DCCS Housing,45048,74045443119920005953667,631.22,Www.Royalcollection.Or
City of London,CO&FO Division,Premises,Cleaning and Domestic Supplies,Barbican Centre,45048,74085323119060510085104,511.7099999999999,Alliance Disposables
City of London,CO&FO Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45048,74208473121000022790164,807.37,Parim Monthly Charge
City of London,Innovation & Growth,Supplies  and  Services,Expenses,Innovation & Growth,45048,74570003120812026220766,594.41,Hotel At Six Ab
City of London,Innovation & Growth,Supplies  and  Services,Fees  and  Services,Innovation & Growth,45048,74570003120812026220766,16.35,Foreign Exchange Fee
City of London,Corporate Services,Third Party Payments,Other Agencies,City of London Police,45048,74830503118014156769485,786.67,Vale Of Glamorgan Hote
City of London,Child Social Care,Supplies  and  Services,Expenses,DCCS Fam & Young People,45048,74830503118298160854348,937.52,Travelodge Gb0000
City of London,City Records Services,Transport,Direct Transport Costs,Town Clerks,45048,74830503120295316759385,591.03,Aa B2b
City of London,Barbican Own Events,Supplies  and  Services,"Printing, Stationery  and  General Office Exps",Barbican Centre,45048,74987503118000337510733,955.26,Contrado
City of London,Cost Of Collection,Supplies  and  Services,Fees  and  Services,Comp & City Solicitor,45049,74163613122507109966031,1500,Rolls Building
City of London,Asylum Seekers Services,Third Party Payments,Other Agencies,DCCS Housing,45049,74163613123507160120279,512.5,Www.Argos.Co.Uk
City of London,Corporate Services,Third Party Payments,Other Agencies,City of London Police,45049,74163613123507283781924,612,Club Quarters St Pauls
City of London,Specialist Operations,Third Party Payments,Other Agencies,City of London Police,45049,74163613123507306017637,827.02,Holiday Inn
City of London,Local Policing,Supplies  and  Services,Expenses,City of London Police,45049,74463653122511237919493,916.67,Sunborn London
City of London,Middlesex Street Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,1844.24,Amalgamated Ltd
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,248.47,Amalgamated Ltd
City of London,Holloway Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,248.47,Amalgamated Ltd
City of London,York Way Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,248.47,Amalgamated Ltd
City of London,Middlesex Street Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,234,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,141.79,Amalgamated Ltd
City of London,Middlesex Street Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,138.84,Amalgamated Ltd
City of London,Community Librairies,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,128.73,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,112.15,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,112.15,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,95.66,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,82.62,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,77.94,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,38.84,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,19.91,Amalgamated Ltd
City of London,William Blake Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,10.86,Amalgamated Ltd
City of London,Other Housing Services,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,7.8,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,7.24,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,5.43,Amalgamated Ltd
City of London,Other Housing Services,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,4.68,Amalgamated Ltd
City of London,Other Housing Services,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2506313,3.12,Amalgamated Ltd
City of London,Specialist Operations,Transport,Contract Hire and Operating Leases,City of London Police,45049,RT2510270,414.05,Enterprise Rent A Car UK Limited
City of London,Specialist Operations,Transport,Contract Hire and Operating Leases,City of London Police,45049,RT2510270,670.95,Enterprise Rent A Car UK Limited
City of London,Middlesex Street Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,1413.16,Amalgamated Ltd
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,305,Amalgamated Ltd
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,299.32,Amalgamated Ltd
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,286.34,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,271.52,Amalgamated Ltd
City of London,York Way Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,201.88,Amalgamated Ltd
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,201.88,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,113.82,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,112.15,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,112.15,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,112.15,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,94.88,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,92.04,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,82.62,Amalgamated Ltd
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,77.12,Amalgamated Ltd
City of London,Sydenham Hill Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,68.8,Amalgamated Ltd
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,67.02,Amalgamated Ltd
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,40.44,Amalgamated Ltd
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,24.4,Amalgamated Ltd
City of London,Dron House,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,18.1,Amalgamated Ltd
City of London,William Blake Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,10.86,Amalgamated Ltd
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,8.12,Amalgamated Ltd
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,5.43,Amalgamated Ltd
City of London,Commissioning,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520435,1.81,Amalgamated Ltd
City of London,Middlesex Street Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,1518.11,Amalgamated Ltd
City of London,Commissioning,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,333.99,Amalgamated Ltd
City of London,Middlesex Street Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,234,Amalgamated Ltd
City of London,Holloway Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,219.82,Amalgamated Ltd
City of London,York Way Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,201.88,Amalgamated Ltd
City of London,Middlesex Street Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,138.84,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,112.15,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,112.15,Amalgamated Ltd
City of London,Community Librairies,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,103.39,Amalgamated Ltd
City of London,Commissioning,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,79.46,Amalgamated Ltd
City of London,Windsor House,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,69.61,Amalgamated Ltd
City of London,York Way Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,68.26,Amalgamated Ltd
City of London,Dron House,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,50.7,Amalgamated Ltd
City of London,Isledon House Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,46.74,Amalgamated Ltd
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,23.04,Amalgamated Ltd
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,14.01,Amalgamated Ltd
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,12.2,Amalgamated Ltd
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,11.17,Amalgamated Ltd
City of London,Other Housing Services,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,7.8,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,7.24,Amalgamated Ltd
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,7.24,Amalgamated Ltd
City of London,Other Housing Services,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,4.68,Amalgamated Ltd
City of London,York Way Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520442,1.56,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520460,359.66,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520460,346.62,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520460,57.66,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520460,46.68,Amalgamated Ltd
City of London,William Blake Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520460,42.9,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520460,29.64,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520460,26.52,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520460,26.49,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520460,19.91,Amalgamated Ltd
City of London,Dron House,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520460,18.1,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520460,17.94,Amalgamated Ltd
City of London,William Blake Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520460,14.51,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520460,10.92,Amalgamated Ltd
City of London,William Blake Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520460,10.86,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520460,8.05,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520460,7.24,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520460,5.43,Amalgamated Ltd
City of London,Windsor House,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,333.61,Amalgamated Ltd
City of London,Middlesex Street Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,234,Amalgamated Ltd
City of London,Middlesex Street Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,138.84,Amalgamated Ltd
City of London,Isledon House Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,124.39,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,95.59,Amalgamated Ltd
City of London,William Blake Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,92.16,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,88.57,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,84.88,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,84.18,Amalgamated Ltd
City of London,Other Housing Services,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,80.77,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,77.94,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,76.06,Amalgamated Ltd
City of London,Dron House,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,50.7,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,50.3,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,33.73,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,28.96,Amalgamated Ltd
City of London,William Blake Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,28.08,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,27.59,Amalgamated Ltd
City of London,Middlesex Street Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,27.3,Amalgamated Ltd
City of London,Community Librairies,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,25.74,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,25.46,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,24.59,Amalgamated Ltd
City of London,William Blake Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,14.82,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,14.48,Amalgamated Ltd
City of London,William Blake Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,10.92,Amalgamated Ltd
City of London,Sydenham Hill Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,9.58,Amalgamated Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,8.05,Amalgamated Ltd
City of London,Other Housing Services,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,7.8,Amalgamated Ltd
City of London,William Blake Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,7.24,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,7.24,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,7.24,Amalgamated Ltd
City of London,York Way Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,7.24,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,5.43,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,5.43,Amalgamated Ltd
City of London,Other Housing Services,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,4.68,Amalgamated Ltd
City of London,William Blake Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,4.68,Amalgamated Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45049,RT2520466,3.62,Amalgamated Ltd
