Body,Division of Service,Purpose of Expenditure,Merchant Category,Department,Payment Date,Transaction Code,Net Amount,Supplier Name
City of London,National Lead Force,Supplies  and  Services,Grants  and  Subscriptions,City of London Police,45078,24510763152108305186754,574.8,Vmo*vimeo Business Pro
City of London,Barbican Own Events,Supplies  and  Services,"Printing, Stationery  and  General Office Exps",Barbican Centre,45078,24692163151108139719634,2799.19,In *outside World Design
City of London,Barbican Own Events,Supplies  and  Services,"Printing, Stationery  and  General Office Exps",Barbican Centre,45078,24692163151108139719634,76.98,Foreign Exchange Fee
City of London,London Metropolitan Archives,Supplies  and  Services,"Equipment, Furniture  and  Materials",Town Clerks,45078,74007053152920026158156,593.65,Www.Avpartmaster.Net
City of London,CO&FO Division,Supplies  and  Services,"Equipment, Furniture  and  Materials",Barbican Centre,45078,74163613152515981764039,548.72,Www.Nisbets.Com
City of London,Innovation & Growth,Supplies  and  Services,Expenses,Innovation & Growth,45078,74987503151000301836757,33.09,Foreign Exchange Fee
City of London,Innovation & Growth,Supplies  and  Services,Expenses,Innovation & Growth,45078,74987503151000301836757,1203.14,Ascential Events Euro
City of London,Audience's Division,Supplies  and  Services,Grants  and  Subscriptions,Barbican Centre,45078,74987503151000420976559,518.4,Dropbox
City of London,Innovation & Growth,Supplies  and  Services,Expenses,Innovation & Growth,45078,RT2563335,13281,Identity Holdings Limited
City of London,Audience's Division,Supplies  and  Services,Grants  and  Subscriptions,Barbican Centre,45079,74085323153058510025762,1232,Http://Pmse.Ofcom.Org.
City of London,CO&FO Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45079,74208473152000016192742,863.51,Parim Monthly Charge
City of London,Animal Health Services,Employees,Indirect Employee Expenses,Built Environment,45079,74830503152295355092889,1000,Drivetech (UK) Ltd
City of London,Corporate Services,Supplies  and  Services,"Printing, Stationery  and  General Office Exps",City of London Police,45079,74875303152000010429869,576.99,Helloprint United Kingdom
City of London,Corporate Services,Supplies  and  Services,"Printing, Stationery  and  General Office Exps",City of London Police,45079,74875303152000010429869,6.99,Helloprint United Kingdom
City of London,Buildings Division,Premises,Cleaning and Domestic Supplies,City Surveyors,45079,RT2518018,1790.92,Beaver House Services Ltd
City of London,Buildings Division,Premises,Cleaning and Domestic Supplies,City Surveyors,45079,RT2518018,25,Beaver House Services Ltd
City of London,Corporate Services,Employees,Indirect Employee Expenses,City of London Police,45079,RT2542004,4400,Lazarus Training Ltd
City of London,Port and Launches,Supplies  and  Services,Fees  and  Services,Built Environment,45079,RT2553403,20461.04,Kent County Council
City of London,Port and Launches,Supplies  and  Services,Fees  and  Services,Built Environment,45079,RT2553403,3617.9,Kent County Council
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City of London Police,45079,RT2554227,65,Sonic Communications International Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City of London Police,45079,RT2554227,2390,Sonic Communications International Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City of London Police,45079,RT2554227,50,Sonic Communications International Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City of London Police,45079,RT2554227,390,Sonic Communications International Limited
City of London,Corporate Services,Supplies  and  Services,Catering,City of London Police,45079,RT2556739,2.52,Banner Group Limited
City of London,Corporate Services,Supplies  and  Services,Catering,City of London Police,45079,RT2556739,17.24,Banner Group Limited
City of London,Corporate Services,Supplies  and  Services,Catering,City of London Police,45079,RT2556739,2.6,Banner Group Limited
City of London,Corporate Services,Supplies  and  Services,Catering,City of London Police,45079,RT2556739,18.58,Banner Group Limited
City of London,Corporate Services,Supplies  and  Services,Catering,City of London Police,45079,RT2556739,458.7,Banner Group Limited
City of London,Corporate Services,Supplies  and  Services,Catering,City of London Police,45079,RT2556739,17.26,Banner Group Limited
City of London,Corporate Services,Supplies  and  Services,Catering,City of London Police,45079,RT2556739,8.75,Banner Group Limited
City of London,Adult Social Care,Third Party Payments,Other Establishments,DCCS Adult Services,45079,RT2557909,94314,Transport Trading Limited 
City of London,Barbican and Community Libraries,Supplies  and  Services,Books,DCCS Libraries,45079,RT2559777,806.25,Askews & Holts Library Services Ltd
City of London,Central Balance Sheet,Current Asset,Debtor,Chamberlains,45079,RT2560037,1731.34,REDACTED PERSONAL DATA
City of London,CO&FO Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45079,RT2560235,1411.44,Verizon UK Ltd 
City of London,CO&FO Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45079,RT2560235,982.96,Verizon UK Ltd 
City of London,CO&FO Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45079,RT2560238,1411.44,Verizon UK Ltd 
City of London,CO&FO Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45079,RT2560238,-615.82,Verizon UK Ltd 
City of London,Programming Division,Supplies  and  Services,Fees  and  Services,Barbican Centre,45079,RT2560371,1500,Linden Walcott-Burton
