Body,Division of Service,Purpose of Expenditure,Merchant Category,Department,Payment Date,Transaction Code,Net Amount,Supplier Name
City of London,Asylum Seekers Services,Supplies  and  Services,Expenses,DCCS Fam & Young People,45231,RT2529525,350,REDACTED PERSONAL DATA
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45231,RT2532425,8667.5,Frankham Consulting Group Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45231,RT2532425,4332.5,Frankham Consulting Group Limited
City of London,Isledon House Estate,Premises,Rates,DCCS Housing,45231,RT2545227,206,London Borough of Islington
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2545403,349,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2545407,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2545409,128,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2545413,128,London Borough of Lewisham
City of London,Housing HRA Direct,Premises,Rates,DCCS Housing,45231,RT2545416,824,London Borough of Lambeth
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2545419,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2545422,300,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2545427,349,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2545432,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2545439,349,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2545442,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2545444,361,London Borough of Lewisham
City of London,William Blake Estate,Premises,Rates,DCCS Housing,45231,RT2545456,157,London Borough of Lambeth
City of London,Southwark Estate,Premises,Rates,DCCS Housing,45231,RT2545524,399,London Borough of Southwark 
City of London,Southwark Estate,Premises,Water Services,DCCS Housing,45231,RT2545528,60,London Borough of Southwark 
City of London,Southwark Estate,Premises,Rates,DCCS Housing,45231,RT2545535,127,London Borough of Southwark 
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546397,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546398,361,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546400,361,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546402,361,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546405,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546411,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546415,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546419,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546425,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546428,449,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546429,421,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546432,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546436,233,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546437,421,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546441,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546442,407,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546443,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546444,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546445,449,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546450,449,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546458,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546460,349,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546462,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546466,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546468,449,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546470,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546476,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546479,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546482,361,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45231,RT2546486,434,London Borough of Lewisham
City of London,Port and Launches,Premises,Rates,Markets & Consumer Ptn,45231,RT2548627,339,Royal Borough of Greenwich 
