Body,Division of Service,Purpose of Expenditure,Merchant Category,Department,Payment Date,Transaction Code,Net Amount,Supplier Name
City of London,National Lead Force,Transport,Public Transport,City of London Police,45019,24590863092313744727127,525.08,Vir Atl 9322326717449
City of London,National Lead Force,Supplies  and  Services,Fees  and  Services,City of London Police,45019,24590863092313744727127,14.44,Foreign Exchange Fee
City of London,Animal Health Services,Supplies  and  Services,Expenses,Built Environment,45019,24755423091170913655744,719.64,Hilton Hotel Austin
City of London,Supporting People,Premises,Water Services,DCCS Housing,45019,74007003091910047071008,554.53,Thames Water
City of London,CO&FO Division,Supplies  and  Services,Catering,Barbican Centre,45019,74085323091060510092789,558.73,Alliance Disposables
City of London,CO&FO Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45019,74208473091000013546514,561.13,Parim Monthly Charge
City of London,CO&FO Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45019,74208473091000013596295,1070.87,Parim Monthly Charge
City of London,Programming Division,Supplies  and  Services,Expenses,Barbican Centre,45019,74279923090102747296017,1050,Amazon.Co.Uk*uf73g6c05
City of London,Audience's Division,Supplies  and  Services,"Equipment, Furniture  and  Materials",Barbican Centre,45019,74838563091910022073019,551.27,Print Group
City of London,Programming Division,Transport,Public Transport,Barbican Centre,45020,74045443094920015448970,2199.76,Singaporeair6182442688917
City of London,Police Authority Board,Employees,Indirect Employee Expenses,Town Clerks,45020,74163613094498547139817,1450,Ucl.Ac.Uk
City of London,CO&FO Division,"Customer,Client Receipts","Fees and Charges for Services,use of Facilities and Lettings",Barbican Centre,45021,74085323095060510078875,798.27,Alliance Disposables
City of London,Barbican Own Events,Transport,Contract Hire and Operating Leases,Barbican Centre,45021,74165883094313254189987,725.38,-Fedex-*391472636
City of London,Audience's Division,Supplies  and  Services,"Equipment, Furniture  and  Materials",Barbican Centre,45021,74463653094620945582875,2380,Ikea Ltd Shop Online
City of London,Adult Social Care,Third Party Payments,Other Agencies,DCCS Fam & Young People,45021,74830503094298186477122,585.3599999999999,Travelodge Gb0000
City of London,Corporate Services,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45021,74838563095920035006282,790.5,Ultimat Defence Ltd
City of London,Service Charge Account,Premises,Energy costs,DCCS Barbican Estate,45021,RT2492410,3990.91,Total Gas & Power Ltd
City of London,Local Policing,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45021,RT2502903,270,ECC Electronic Engineering 
City of London,Local Policing,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45021,RT2502903,2430,ECC Electronic Engineering 
City of London,Local Policing,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45021,RT2502903,100,ECC Electronic Engineering 
City of London,Capital Repayments,Premises,Repairs and Maintenance,Barbican Centre,45021,RT2507972,1225.31,Skanska Construction UK Ltd
City of London,Local Policing,Employees,Indirect Employee Expenses,City of London Police,45021,RT2511186,1100,Police and Crime Commissioner for Hertfordshire
City of London,Corporate Services,Supplies  and  Services,Fees  and  Services,City of London Police,45021,RT2515451,669.5,Churches Fire Security Ltd
City of London,Audience's Division,Employees,Direct Employee Expenses,Barbican Centre,45021,RT2516577,501.11,ProspectUs Ltd
City of London,Central Criminal Court (CF),Premises,Repairs and Maintenance,City Surveyors,45021,RT2518778,3998,Amtech Group Limited
City of London,Audience's Division,Supplies  and  Services,Advertising/Miscellaneous expenses,Barbican Centre,45021,RT2520585,1401.39,Havas Entertainment Limited 
City of London,Audience's Division,Supplies  and  Services,Advertising/Miscellaneous expenses,Barbican Centre,45021,RT2520585,100.1,Havas Entertainment Limited 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45021,RT2524622,5190,Watts Group Limited 
City of London,Corporate Services,Supplies  and  Services,Fees  and  Services,City of London Police,45021,RT2526530,1276.8,Harrow Green Limited
City of London,Local Policing,Employees,Indirect Employee Expenses,City of London Police,45021,RT2531105,-170,Safer Business Network CIC
City of London,Local Policing,Employees,Indirect Employee Expenses,City of London Police,45021,RT2531105,1020,Safer Business Network CIC
City of London,National Lead Force,Employees,Indirect Employee Expenses,City of London Police,45021,RT2536836,6929.3,College of Policing Ltd
City of London,Structural Mtce/Inspections,Supplies  and  Services,Fees  and  Services,Built Environment,45021,RT2537208,44836.28,Arcadis Consulting (UK) Limited 
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2538083,20000,Wates Property Services Limited 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45021,RT2538816,22000,Bloom Procurement Services Ltd 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Built Environment,45021,RT2539224,15305,DW Windsor Ltd
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Built Environment,45021,RT2539224,13880,DW Windsor Ltd
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Built Environment,45021,RT2539224,0.2,DW Windsor Ltd
City of London,Buildings Division,Premises,Repairs and Maintenance,City Surveyors,45021,RT2539360,924,Square Mile Fire Protection Ltd 
City of London,Buildings Division,Premises,Repairs and Maintenance,City Surveyors,45021,RT2539360,340.28,Square Mile Fire Protection Ltd 
City of London,Corporate Services,Supplies  and  Services,Fees  and  Services,City of London Police,45021,RT2540278,597.93,Churches Fire Security Ltd
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Built Environment,45021,RT2540656,7696.99,Verizon UK Ltd 
City of London,Animal Health Services,Supplies  and  Services,"Equipment, Furniture  and  Materials",Markets & Consumer Ptn,45021,RT2540743,1059,Integrated Security Systems Ltd 
City of London,Animal Health Services,Supplies  and  Services,"Equipment, Furniture  and  Materials",Markets & Consumer Ptn,45021,RT2540743,300,Integrated Security Systems Ltd 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Comp & City Solicitor,45021,RT2540829,1320,Pinsent Masons LLP
City of London,Local Policing,Supplies  and  Services,"Printing, Stationery  and  General Office Exps",City of London Police,45021,RT2540880,539.99,"Amazon EU SARL, UK Branch"
City of London,Local Policing,Supplies  and  Services,"Printing, Stationery  and  General Office Exps",City of London Police,45021,RT2540880,16.66,"Amazon EU SARL, UK Branch"
City of London,Homelessness,Third Party Payments,Other Agencies,DCCS Fam & Young People,45021,RT2541405,6936.16,Theori Housing Management Services Ltd
City of London,Adult Social Care,Third Party Payments,Other Agencies,DCCS Fam & Young People,45021,RT2541405,1344,Theori Housing Management Services Ltd
City of London,Buildings Division,Premises,Repairs and Maintenance,Barbican Centre,45021,RT2541647,5705.08,Skanska Construction UK Ltd
City of London,Buildings Division,Premises,Repairs and Maintenance,Barbican Centre,45021,RT2541651,5102.9,Skanska Construction UK Ltd
City of London,Capital Repayments,Premises,Repairs and Maintenance,Barbican Centre,45021,RT2541653,1013.56,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541655,4061.64,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541655,2978.58,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541655,1444.38,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541655,632.6,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541656,4648.08,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541656,4133.24,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541656,429.38,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541658,6429.23,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541658,4061.64,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541658,1967.38,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541658,1253.07,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541658,1069.71,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541658,570.15,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541658,518.39,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541658,432.7,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541658,347.35,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541658,331.23,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541658,254.24,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541658,241.09,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541658,221.49,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541658,178.71,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541658,165.02,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541658,130.32,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2541658,119.46,Skanska Construction UK Ltd
City of London,National Lead Force,Supplies  and  Services,Fees  and  Services,City of London Police,45021,RT2541855,600,Pitched Applications Limited
City of London,Corporate Services,Supplies  and  Services,Communications  and  Computing,Chief Operating Officer,45021,RT2541861,3042.32,Phoenix Software Ltd
City of London,CO&FO Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45021,RT2541878,1064.05,Computacenter UK Ltd
City of London,CO&FO Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45021,RT2541880,1582.83,Computacenter UK Ltd
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,1633.15,Wates Property Services Limited 
City of London,Holloway Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,793.5,Wates Property Services Limited 
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,714.31,Wates Property Services Limited 
City of London,Middlesex Street Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,698.98,Wates Property Services Limited 
City of London,York Way Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,599.5,Wates Property Services Limited 
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,463.61,Wates Property Services Limited 
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,396.04,Wates Property Services Limited 
City of London,Holloway Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,281.75,Wates Property Services Limited 
City of London,Sydenham Hill Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,271.72,Wates Property Services Limited 
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,267.17,Wates Property Services Limited 
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,229.09,Wates Property Services Limited 
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,175.32,Wates Property Services Limited 
City of London,Other Housing Services,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,154.32,Wates Property Services Limited 
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,153.05,Wates Property Services Limited 
City of London,York Way Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,140.53,Wates Property Services Limited 
City of London,Middlesex Street Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,140.53,Wates Property Services Limited 
City of London,William Blake Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,103.93,Wates Property Services Limited 
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,87.66,Wates Property Services Limited 
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,87.66,Wates Property Services Limited 
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,87.66,Wates Property Services Limited 
City of London,William Blake Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,82.14,Wates Property Services Limited 
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,78.62,Wates Property Services Limited 
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,71.33,Wates Property Services Limited 
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,71.33,Wates Property Services Limited 
City of London,William Blake Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,71.33,Wates Property Services Limited 
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,50,Wates Property Services Limited 
City of London,Windsor House,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,50,Wates Property Services Limited 
City of London,York Way Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,50,Wates Property Services Limited 
City of London,Sydenham Hill Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,50,Wates Property Services Limited 
