Body,Division of Service,Purpose of Expenditure,Merchant Category,Department,Payment Date,Transaction Code,Net Amount,Supplier Name
City of London,CO&FO Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45352,74609054060000019817257,500.12,Twilio.Com
City of London,Homelessness,Supplies  and  Services,Advertising/Miscellaneous expenses,DCCS Fam & Young People,45352,74830504060298187315535,851.5699999999999,Travelodge Gb0000
City of London,Isledon House Estate,Premises,Rates,DCCS Housing,45352,RT2545227,206,London Borough of Islington
City of London,Asylum Seekers Services,Supplies  and  Services,Expenses,DCCS Fam & Young People,45352,RT2575941,500,REDACTED PERSONAL DATA
City of London,Asylum Seekers Services,Supplies  and  Services,Expenses,Chamberlains,45352,RT2583596,500,REDACTED PERSONAL DATA
City of London,Asylum Seekers Services,Supplies  and  Services,Expenses,Chamberlains,45352,RT2583598,500,REDACTED PERSONAL DATA
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45352,RT2586017,7948,Avian Environmental Consultants Ltd
City of London,Walbrook Wharf,Premises,Repairs and Maintenance,City Surveyors,45352,RT2586017,3692,Avian Environmental Consultants Ltd
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45352,RT2586017,680,Avian Environmental Consultants Ltd
City of London,Older People,Third Party Payments,Other Agencies,DCCS Adult Services,45352,RT2594058,200,Newbloom Ltd
City of London,Avondale Square Estate,Premises,Cleaning and Domestic Supplies,DCCS Housing,45352,RT2603956,245,New Concept General Cleaning Company Limited
City of London,Avondale Square Estate,Premises,Cleaning and Domestic Supplies,DCCS Housing,45352,RT2603956,180,New Concept General Cleaning Company Limited
City of London,Avondale Square Estate,Premises,Cleaning and Domestic Supplies,DCCS Housing,45352,RT2603956,60,New Concept General Cleaning Company Limited
City of London,Avondale Square Estate,Premises,Cleaning and Domestic Supplies,DCCS Housing,45352,RT2603956,40,New Concept General Cleaning Company Limited
City of London,Avondale Square Estate,Premises,Cleaning and Domestic Supplies,DCCS Housing,45352,RT2603956,35,New Concept General Cleaning Company Limited
City of London,Avondale Square Estate,Premises,Cleaning and Domestic Supplies,DCCS Housing,45352,RT2603956,35,New Concept General Cleaning Company Limited
City of London,Avondale Square Estate,Premises,Cleaning and Domestic Supplies,DCCS Housing,45352,RT2603956,30,New Concept General Cleaning Company Limited
City of London,Avondale Square Estate,Premises,Cleaning and Domestic Supplies,DCCS Housing,45352,RT2603956,30,New Concept General Cleaning Company Limited
City of London,Avondale Square Estate,Premises,Cleaning and Domestic Supplies,DCCS Housing,45352,RT2603956,30,New Concept General Cleaning Company Limited
City of London,Avondale Square Estate,Premises,Cleaning and Domestic Supplies,DCCS Housing,45352,RT2603956,15,New Concept General Cleaning Company Limited
City of London,Avondale Square Estate,Premises,Cleaning and Domestic Supplies,DCCS Housing,45352,RT2603956,15,New Concept General Cleaning Company Limited
