Body,Division of Service,Purpose of Expenditure,Merchant Category,Department,Payment Date,Transaction Code,Net Amount,Supplier Name
City of London,Innovation & Growth,Supplies  and  Services,Fees  and  Services,Innovation & Growth,45139,74143613213002881290094,-14.73,Foreign Exchange Fee
City of London,Innovation & Growth,Transport,Public Transport,Innovation & Growth,45139,74143613213002881290094,-535.65,Bkg*hotel At Booking.C
City of London,Specialist Operations,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45139,74950503212104900645112,1853.55,Apple Store R245
City of London,Specialist Operations,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45139,74950503212104900645138,1692.55,Apple Store R245
City of London,CO&FO Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45140,74208473213000011622518,937.75,Parim Monthly Charge
City of London,National Lead Force,Third Party Payments,Other Agencies,City of London Police,45140,74463653213562140104285,500,Leonardo Royal Birmingham
City of London,Adult Social Care,Third Party Payments,Other Agencies,DCCS Fam & Young People,45140,74830503213298188907882,1064.0700000000002,Travelodge Gb0000
City of London,Middlesex Street Estate,Supplies  and  Services,"Equipment, Furniture  and  Materials",DCCS Housing,45140,74985403213105246274849,920.81,Amznmktplace
City of London,Animal Health Services,Premises,Repairs and Maintenance,City Surveyors,45140,RT2543201,3529.07,Skanska Construction UK Ltd
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Built Environment,45140,RT2553223,1600,Fortem Information Technology Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Built Environment,45140,RT2553223,1600,Fortem Information Technology Limited
City of London,Adult Social Care,Third Party Payments,Other Agencies,DCCS Adult Services,45140,RT2558340,45,Barrie Bookkeeping & Payroll Solutions Ltd
City of London,Corporate Services,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45140,RT2562641,525,Stay Sourced Ltd
City of London,Corporate Services,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45140,RT2562641,375,Stay Sourced Ltd
City of London,Corporate Services,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45140,RT2562641,287.5,Stay Sourced Ltd
City of London,Corporate Services,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45140,RT2562641,275,Stay Sourced Ltd
City of London,Corporate Services,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45140,RT2562641,262.5,Stay Sourced Ltd
City of London,Corporate Services,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45140,RT2562641,225,Stay Sourced Ltd
City of London,Corporate Services,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45140,RT2562641,190,Stay Sourced Ltd
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,DCCS Housing,45140,RT2568763,2915,Keegans Limited
City of London,Cemetery and Crematorium,Supplies  and  Services,"Equipment, Furniture  and  Materials",Open Spaces,45140,RT2569535,1735.54,Wesley Media T/A The Yaboo Company Ltd
City of London,Adult and Community Learning,Supplies  and  Services,Fees  and  Services,DCCS Adult Services,45140,RT2573563,5000,Studio 11 Limited
City of London,Avondale Square Estate,Premises,Rates,DCCS Housing,45140,RT2575917,633.88,London Borough of Southwark 
City of London,Local Policing,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45140,RT2576174,975,Stay Sourced Ltd
City of London,Local Policing,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45140,RT2576174,800,Stay Sourced Ltd
City of London,Local Policing,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45140,RT2576174,775,Stay Sourced Ltd
City of London,Local Policing,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45140,RT2576174,525,Stay Sourced Ltd
City of London,Local Policing,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45140,RT2576174,375,Stay Sourced Ltd
City of London,Local Policing,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45140,RT2576174,190,Stay Sourced Ltd
City of London,Local Policing,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45140,RT2576174,165,Stay Sourced Ltd
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Built Environment,45140,RT2576421,3045,Yunex Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45140,RT2576422,7000,CSSW.London Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Built Environment,45140,RT2576424,1760,Yunex Limited
City of London,National Lead Force,Supplies  and  Services,Communications  and  Computing,City of London Police,45140,RT2576701,46512.79,Chainalysis UK Limited 
City of London,National Lead Force,Supplies  and  Services,Communications  and  Computing,City of London Police,45140,RT2576701,0.21,Chainalysis UK Limited 
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45140,RT2577009,1968.38,Enterprise Rent A Car UK Limited
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45140,RT2577009,83.46,Enterprise Rent A Car UK Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Built Environment,45140,RT2577094,2231.52,Norman Rourke Pryme Limited
City of London,Older People,Third Party Payments,Other Agencies,DCCS Adult Services,45140,RT2577170,5919.49,Explora Haven Training and Support Services Limited
City of London,Older People,Third Party Payments,Other Agencies,DCCS Adult Services,45140,RT2577206,5469.26,Explora Haven Training and Support Services Limited
City of London,Walbrook Wharf,Supplies  and  Services,Fees  and  Services,City Surveyors,45140,RT2579031,841.9,Veolia ES (UK) Limited 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45140,RT2579050,175170,Eric Parry Architects Ltd
City of London,Corporate Services,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45140,RT2579116,630,Posturite Limited 
City of London,Waste Disposal,Third Party Payments,Private Contractors,Built Environment,45140,RT2579207,7083.33,Veolia ES (UK) Limited 
City of London,Waste Disposal,Third Party Payments,Private Contractors,Built Environment,45140,RT2579207,-1872.33,Veolia ES (UK) Limited 
City of London,Supervision and Management,Employees,Indirect Employee Expenses,Chief Operating Officer,45140,RT2579234,581.88,Peoplescout Limited 
City of London,Supervision and Management,Employees,Indirect Employee Expenses,Chief Operating Officer,45140,RT2579234,400,Peoplescout Limited 
