Body,Division of Service,Purpose of Expenditure,Merchant Category,Department,Payment Date,Transaction Code,Net Amount,Supplier Name
City of London,Innovation & Growth,Supplies  and  Services,Expenses,Innovation & Growth,45261,74163613335571303707974,872.0000000000001,Climate Change Media Ltd
City of London,Supporting People,Supplies  and  Services,"Equipment, Furniture  and  Materials",DCCS Housing,45261,74163613335571311561793,1462.5,Sainsburys Argos
City of London,Asylum Seekers Services,Supplies  and  Services,Expenses,DCCS Fam & Young People,45261,RT2529525,350,REDACTED PERSONAL DATA
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2545403,349,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2545407,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2545409,128,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2545413,128,London Borough of Lewisham
City of London,Housing HRA Direct,Premises,Rates,DCCS Housing,45261,RT2545416,824,London Borough of Lambeth
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2545419,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2545422,300,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2545427,349,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2545432,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2545439,349,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2545442,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2545444,361,London Borough of Lewisham
City of London,William Blake Estate,Premises,Rates,DCCS Housing,45261,RT2545456,157,London Borough of Lambeth
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546397,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546398,361,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546400,361,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546402,361,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546405,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546411,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546415,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546419,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546425,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546428,449,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546429,421,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546432,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546436,233,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546437,421,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546441,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546442,407,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546443,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546444,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546445,449,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546450,449,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546458,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546460,349,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546462,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546466,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546468,449,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546470,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546476,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546479,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546482,361,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2546486,434,London Borough of Lewisham
City of London,Port and Launches,Premises,Rates,Markets & Consumer Ptn,45261,RT2548627,339,Royal Borough of Greenwich 
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45261,RT2548652,385,London Borough of Lewisham
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45261,RT2573631,1705,Martech Technical Services Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45261,RT2573632,1060,Martech Technical Services Limited
City of London,Asylum Seekers Services,Supplies  and  Services,Expenses,Chamberlains,45261,RT2583596,500,REDACTED PERSONAL DATA
City of London,Asylum Seekers Services,Supplies  and  Services,Expenses,Chamberlains,45261,RT2583598,500,REDACTED PERSONAL DATA
City of London,Older People,Third Party Payments,Other Agencies,DCCS Adult Services,45261,RT2594058,200,Newbloom Ltd
City of London,Barbican Own Events,Supplies  and  Services,Fees  and  Services,Barbican Centre,45261,RT2596115,2767.5,LittleBig Agency GmbH
City of London,Barbican Own Events,Supplies  and  Services,Fees  and  Services,Barbican Centre,45261,RT2596115,2767.5,LittleBig Agency GmbH
City of London,National Lead Force,Supplies  and  Services,Communications  and  Computing,Chief Operating Officer,45261,RT2600173,4864,Vodafone Ltd
City of London,Adult and Community Learning,Employees,Indirect Employee Expenses,DCCS Adult Services,45261,RT2601646,500,Association of Accounting Technicians
City of London,Adult and Community Learning,Employees,Indirect Employee Expenses,DCCS Adult Services,45261,RT2601646,61,Association of Accounting Technicians
City of London,Visitor Services and City Information Centre,Supplies  and  Services,Fees  and  Services,Innovation & Growth,45261,RT2605432,14085,Four Communications Limited
City of London,Local Policing,Supplies  and  Services,"Clothes, Uniform  and  Laundry",City of London Police,45261,RT2607147,664.85,Cambium Advisory Limited
City of London,Local Policing,Supplies  and  Services,"Clothes, Uniform  and  Laundry",City of London Police,45261,RT2607147,622.7,Cambium Advisory Limited
