Body,Division of Service,Purpose of Expenditure,Merchant Category,Department,Payment Date,Transaction Code,Net Amount,Supplier Name
City of London,Innovation & Growth,Supplies  and  Services,Fees  and  Services,Innovation & Growth,45201,24055223272036000393550,32.08,Foreign Exchange Fee
City of London,Town Planning,Supplies  and  Services,Communications  and  Computing,Built Environment,45201,24492163272000019791567,52.29,Foreign Exchange Fee
City of London,Town Planning,Supplies  and  Services,Communications  and  Computing,Built Environment,45201,24492163272000019791567,1584.42,Miro.Com
City of London,COL Business Improvement Districts,Supplies  and  Services,Advertising/Miscellaneous expenses,Built Environment,45201,74208473272000009597902,833.33,Dmn/Balfouratbowwineva
City of London,Barbican Own Events,Supplies  and  Services,Expenses,Barbican Centre,45201,74208473274000017137665,618.84,Proteinpizza.Slerp.Com
City of London,CO&FO Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45201,74208473274000017697361,769.1899999999999,Parim Monthly Charge
City of London,Barbican Own Events,Supplies  and  Services,Expenses,Barbican Centre,45201,74463653273602732385434,640,Montcalm East
City of London,Specialist Operations,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45201,74985403272109965904030,569.83,Amznmktplace
City of London,Asylum Seekers Services,Supplies  and  Services,Expenses,DCCS Fam & Young People,45201,RT2529525,350,REDACTED PERSONAL DATA
City of London,Isledon House Estate,Premises,Rates,DCCS Housing,45201,RT2545227,206,London Borough of Islington
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2545403,349,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2545407,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2545409,128,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2545413,128,London Borough of Lewisham
City of London,Housing HRA Direct,Premises,Rates,DCCS Housing,45201,RT2545416,824,London Borough of Lambeth
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2545419,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2545422,300,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2545427,349,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2545432,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2545439,349,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2545442,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2545444,361,London Borough of Lewisham
City of London,William Blake Estate,Premises,Rates,DCCS Housing,45201,RT2545456,157,London Borough of Lambeth
City of London,Southwark Estate,Premises,Rates,DCCS Housing,45201,RT2545524,399,London Borough of Southwark 
City of London,Southwark Estate,Premises,Water Services,DCCS Housing,45201,RT2545528,60,London Borough of Southwark 
City of London,Southwark Estate,Premises,Rates,DCCS Housing,45201,RT2545535,127,London Borough of Southwark 
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546397,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546398,361,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546400,361,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546402,361,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546405,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546411,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546415,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546419,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546425,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546428,449,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546429,421,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546432,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546436,233,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546437,421,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546441,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546442,407,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546443,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546444,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546445,449,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546450,449,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546458,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546460,349,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546462,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546466,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546468,449,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546470,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546476,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546479,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546482,361,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2546486,434,London Borough of Lewisham
City of London,Port and Launches,Premises,Rates,Markets & Consumer Ptn,45201,RT2548627,339,Royal Borough of Greenwich 
City of London,York Way Estate,Premises,Rates,DCCS Housing,45201,RT2548631,302,London Borough of Islington
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45201,RT2548652,385,London Borough of Lewisham
City of London,Avondale Square Estate,Premises,Rates,DCCS Housing,45201,RT2552618,668,London Borough of Southwark 
City of London,Avondale Square Estate,Premises,Rates,DCCS Housing,45201,RT2552620,786,London Borough of Southwark 
City of London,Holloway Estate,Premises,Rates,DCCS Housing,45201,RT2554447,549,London Borough of Islington
City of London,York Way Estate,Premises,Rates,DCCS Housing,45201,RT2554448,351,London Borough of Islington
City of London,CL and BHE(City Fund) Estate,Premises,Rates,City Surveyors,45201,RT2554474,6065,London Borough of Islington
City of London,Holloway Estate,Premises,Rates,DCCS Housing,45201,RT2554486,489,London Borough of Islington
City of London,CL and BHE(City Fund) Estate,Premises,Rates,City Surveyors,45201,RT2554508,674,London Borough of Islington
City of London,CL and BHE(City Fund) Estate,Premises,Rates,City Surveyors,45201,RT2554510,4256,London Borough of Islington
City of London,CL and BHE(City Fund) Estate,Premises,Rates,City Surveyors,45201,RT2554513,210,London Borough of Islington
City of London,York Way Estate,Premises,Rates,DCCS Housing,45201,RT2554515,299,London Borough of Islington
City of London,CL and BHE(City Fund) Estate,Premises,Rates,City Surveyors,45201,RT2554534,1110,London Borough of Islington
City of London,Corporate Services,Transport,Direct Transport Costs,City of London Police,45201,RT2570998,812.51,Cedars Assist Ltd
City of London,Corporate Services,Transport,Direct Transport Costs,City of London Police,45201,RT2570998,1109.89,Cedars Assist Ltd
City of London,Asylum Seekers Services,Supplies  and  Services,Expenses,DCCS Fam & Young People,45201,RT2575941,500,REDACTED PERSONAL DATA
City of London,Asylum Seekers Services,Supplies  and  Services,Expenses,Chamberlains,45201,RT2583596,500,REDACTED PERSONAL DATA
City of London,Asylum Seekers Services,Supplies  and  Services,Expenses,Chamberlains,45201,RT2583598,500,REDACTED PERSONAL DATA
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45201,RT2585847,500,Civic Engineers Limited
City of London,Older People,Third Party Payments,Other Agencies,DCCS Adult Services,45201,RT2594058,200,Newbloom Ltd
City of London,CO&FO Division,Supplies  and  Services,"Equipment, Furniture  and  Materials",Barbican Centre,45201,RT2594447,2945,White Light Limited 
City of London,CL and BHE(City Fund) Estate,Premises,Rents,City Surveyors,45201,RT2594667,15692.5,CBRE Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Built Environment,45201,RT2594749,17841.06,F M Conway Ltd
City of London,Highways,Premises,Repairs and Maintenance,Built Environment,45201,RT2594812,4951,F M Conway Ltd
City of London,Local Policing,Supplies  and  Services,Communications  and  Computing,City of London Police,45201,RT2594908,15,Allied Publicity Services (Manchester) Limited 
City of London,Local Policing,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45201,RT2594908,1387.96,Allied Publicity Services (Manchester) Limited 
City of London,Audience's Division,Transport,Contract Hire and Operating Leases,Barbican Centre,45201,RT2594943,900.88,Addison Lee Limited
City of London,CL and BHE(City Fund) Estate,Supplies  and  Services,Fees  and  Services,City Surveyors,45201,RT2595171,7500,Knight Frank LLP
City of London,CL and BHE(City Fund) Estate,Supplies  and  Services,Fees  and  Services,City Surveyors,45201,RT2595171,7500,Knight Frank LLP
City of London,CO&FO Division,Supplies  and  Services,"Equipment, Furniture  and  Materials",Barbican Centre,45201,RT2595190,2222.28,Boutinot Ltd
City of London,Capital Repayments,Premises,Repairs and Maintenance,GSMD,45201,RT2595227,3000,Sterling Engineering Consultancy LTD
City of London,Climate Action (CF),Supplies  and  Services,Fees  and  Services,City Surveyors,45201,RT2595242,1000,FVB District Energy UK Ltd
City of London,Specialist Operations,Supplies  and  Services,"Printing, Stationery  and  General Office Exps",City of London Police,45201,RT2595261,535.08,Allied Publicity Services (Manchester) Limited 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45201,RT2595299,3462.84,Vital Energi Utilities Ltd
City of London,Adult Social Care,Supplies  and  Services,Fees  and  Services,DCCS Adult Services,45201,RT2595305,2400,Venn Group Limited
City of London,Central Criminal Court (CF),Employees,Indirect Employee Expenses,Chief Operating Officer,45201,RT2595376,800,Peoplescout Limited 
City of London,National Lead Force,Supplies  and  Services,Fees  and  Services,City of London Police,45201,RT2595384,728222.82,PricewaterhouseCoopers Llp
City of London,Visitor Services and City Information Centre,Supplies  and  Services,Fees  and  Services,Destination City,45201,RT2595387,605.53,PRS For Music Ltd
City of London,Highways,Premises,Repairs and Maintenance,Built Environment,45201,RT2595465,12000,F M Conway Ltd
City of London,Highways,Premises,Repairs and Maintenance,Built Environment,45201,RT2595465,8000,F M Conway Ltd
City of London,Highways,Premises,Repairs and Maintenance,Built Environment,45201,RT2595465,5000,F M Conway Ltd
City of London,Highways,Premises,Repairs and Maintenance,Built Environment,45201,RT2595473,20000,F M Conway Ltd
City of London,Highways,Premises,Repairs and Maintenance,Built Environment,45201,RT2595473,20000,F M Conway Ltd
City of London,Highways,Premises,Repairs and Maintenance,Built Environment,45201,RT2595473,10000,F M Conway Ltd
City of London,National Lead Force,Employees,Direct Employee Expenses,City of London Police,45201,RT2595526,1599.23,Reed Specialist Recruitment Ltd
City of London,National Lead Force,Employees,Direct Employee Expenses,City of London Police,45201,RT2595526,259.28,Reed Specialist Recruitment Ltd
City of London,National Lead Force,Supplies  and  Services,Fees  and  Services,City of London Police,45201,RT2595541,1045,Reed Specialist Recruitment Ltd
City of London,National Lead Force,Supplies  and  Services,Fees  and  Services,City of London Police,45201,RT2595543,1045,Reed Specialist Recruitment Ltd
City of London,Innovation & Growth,Supplies  and  Services,Fees  and  Services,Innovation & Growth,45201,RT2595624,118206,Ingeus UK Ltd
City of London,Innovation & Growth,Supplies  and  Services,Fees  and  Services,Innovation & Growth,45201,RT2595625,321546,Ingeus UK Ltd
City of London,Corporate Services,Premises,Cleaning and Domestic Supplies,City of London Police,45201,RT2595675,570.5,Rentokil Initial UK Limited
City of London,CO&FO Division,Supplies  and  Services,"Equipment, Furniture  and  Materials",Barbican Centre,45201,RT2595750,931.84,The Book Service Ltd 
City of London,Local Policing,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45201,RT2595781,5200,GMK Ltd
City of London,CO&FO Division,Supplies  and  Services,"Equipment, Furniture  and  Materials",Barbican Centre,45201,RT2595883,593.72,Brake Bros Ltd 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45201,RT2596227,725,Cordless Consultants Limited
City of London,Child Social Care,Third Party Payments,Other Agencies,DCCS Fam & Young People,45201,RT2597115,12944.69,Cambian Autism Services Limited
City of London,Innovation & Growth,Supplies  and  Services,"Equipment, Furniture  and  Materials",Innovation & Growth,45201,RT2597511,2500,RG Jones Sound Engineering Ltd
City of London,Street Scene,Premises,Repairs and Maintenance,Built Environment,45201,RT2597809,1046.22,Sally Bowling
