Body,Division of Service,Purpose of Expenditure,Merchant Category,Department,Payment Date,Transaction Code,Net Amount,Supplier Name
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45110,74163613182525285145938,661,Cadent Gas
City of London,CO&FO Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45110,74208473182000020758698,811.51,Parim Monthly Charge
City of London,Local Policing,Transport,Public Transport,City of London Police,45110,74838563182920001337301,540,Eric Gillie Ltd
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45110,RT2552662,749.84,Enterprise Rent A Car UK Limited
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45110,RT2552666,749.84,Enterprise Rent A Car UK Limited
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45110,RT2552691,749.84,Enterprise Rent A Car UK Limited
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45110,RT2552693,749.84,Enterprise Rent A Car UK Limited
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45110,RT2552695,749.84,Enterprise Rent A Car UK Limited
City of London,Climate Action (CF),Supplies  and  Services,Fees  and  Services,City Surveyors,45110,RT2554802,6336,Currie & Brown UK Limited
City of London,Climate Action (CF),Supplies  and  Services,Fees  and  Services,City Surveyors,45110,RT2554807,5106.6,Currie & Brown UK Limited
City of London,On Street Parking,Supplies  and  Services,Communications  and  Computing,Built Environment,45110,RT2558932,7604.96,Allied Publicity Services (Manchester) Limited 
City of London,Structural Mtce/Inspections,Supplies  and  Services,Fees  and  Services,Built Environment,45110,RT2558950,14646.66,Arcadis Consulting (UK) Limited 
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45110,RT2559251,749.84,Enterprise Rent A Car UK Limited
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45110,RT2559252,749.84,Enterprise Rent A Car UK Limited
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45110,RT2559253,749.84,Enterprise Rent A Car UK Limited
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45110,RT2559254,749.84,Enterprise Rent A Car UK Limited
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45110,RT2559255,2181.76,Enterprise Rent A Car UK Limited
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45110,RT2559256,749.84,Enterprise Rent A Car UK Limited
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45110,RT2559257,749.84,Enterprise Rent A Car UK Limited
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45110,RT2559258,749.84,Enterprise Rent A Car UK Limited
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45110,RT2559259,346.6,Enterprise Rent A Car UK Limited
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45110,RT2559259,403.24,Enterprise Rent A Car UK Limited
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45110,RT2559260,2181.76,Enterprise Rent A Car UK Limited
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45110,RT2559261,2181.76,Enterprise Rent A Car UK Limited
City of London,On Street Parking,Supplies  and  Services,Communications  and  Computing,Built Environment,45110,RT2560543,6562.21,Allied Publicity Services (Manchester) Limited 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45110,RT2560975,1616.3,Anstey Horne & Co Ltd
City of London,Waste Disposal,Third Party Payments,Private Contractors,Built Environment,45110,RT2565741,1583.33,Veolia ES (UK) Limited 
City of London,Waste Disposal,Third Party Payments,Private Contractors,Built Environment,45110,RT2565741,-747.81,Veolia ES (UK) Limited 
City of London,Waste Disposal,Third Party Payments,Private Contractors,Built Environment,45110,RT2565745,7083.33,Veolia ES (UK) Limited 
City of London,Waste Disposal,Third Party Payments,Private Contractors,Built Environment,45110,RT2565745,-2379.33,Veolia ES (UK) Limited 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45110,RT2566341,4531.18,Socotec Asbestos Limited 
City of London,Visitor Services and City Information Centre,Supplies  and  Services,Fees  and  Services,Destination City,45110,RT2567500,1220,EMFS Group Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45110,RT2567786,41224.47,Museum of London Archaeology Service
City of London,Adult Social Care,Supplies  and  Services,Communications  and  Computing,DCCS Adult Services,45110,RT2567962,1500,Venn Group Limited
City of London,Innovation & Growth,Employees,Indirect Employee Expenses,Chief Operating Officer,45110,RT2567966,951.88,Peoplescout Limited 
City of London,Innovation & Growth,Employees,Indirect Employee Expenses,Chief Operating Officer,45110,RT2567966,400,Peoplescout Limited 
City of London,Specialist Operations,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45110,RT2567973,84.95,Posturite Limited 
City of London,Specialist Operations,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45110,RT2567973,937.96,Posturite Limited 
City of London,Specialist Operations,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45110,RT2567973,9.95,Posturite Limited 
City of London,Specialist Operations,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45110,RT2567973,34.99,Posturite Limited 
City of London,Specialist Operations,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45110,RT2567973,55.08,Posturite Limited 
City of London,Specialist Operations,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45110,RT2567973,-4.95,Posturite Limited 
City of London,Specialist Operations,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45110,RT2567973,779.58,Posturite Limited 
City of London,Specialist Operations,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45110,RT2567973,50.95,Posturite Limited 
City of London,Specialist Operations,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45110,RT2567973,189,Posturite Limited 
City of London,London Metropolitan Archives,Supplies  and  Services,Communications  and  Computing,"LMA, SBREC & Guildhall Library",45110,RT2568035,522.88,Pitney Bowes Limited
City of London,Transport Organisation,Transport,Direct Transport Costs,Built Environment,45110,RT2568050,1166.67,Veolia ES (UK) Limited 
City of London,Transport Organisation,Transport,Direct Transport Costs,Built Environment,45110,RT2568050,-346.49,Veolia ES (UK) Limited 
City of London,National Lead Force,Transport,Contract Hire and Operating Leases,City of London Police,45110,RT2568076,2181.76,Enterprise Rent A Car UK Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45110,RT2568124,2500,Eton Environmental Group Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45110,RT2568125,1700,Eton Environmental Group Limited
City of London,Capital Repayments,Premises,Repairs and Maintenance,Barbican Centre,45110,RT2568468,9356.06,S W Bruce & Company Ltd
City of London,Capital Repayments,Premises,Repairs and Maintenance,Barbican Centre,45110,RT2568468,4586.22,S W Bruce & Company Ltd
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,DCCS Housing,45110,RT2568470,90570.22,TSG Building Services PLC
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,DCCS Housing,45110,RT2568481,397607.91,TSG Building Services PLC
City of London,Programming Division,Premises,Repairs and Maintenance,Barbican Centre,45110,RT2568513,4400,White Light Limited 
City of London,Highways,Premises,Repairs and Maintenance,Built Environment,45110,RT2568526,1500,F M Conway Ltd
City of London,Highways,Premises,Repairs and Maintenance,Built Environment,45110,RT2568527,10000,F M Conway Ltd
City of London,Audience's Division,Supplies  and  Services,"Printing, Stationery  and  General Office Exps",Barbican Centre,45110,RT2568572,2956.5,Allied Publicity Services (Manchester) Limited 
City of London,Audience's Division,Supplies  and  Services,"Printing, Stationery  and  General Office Exps",Barbican Centre,45110,RT2568572,2956.5,Allied Publicity Services (Manchester) Limited 
City of London,Southwark Estate,Supplies  and  Services,"Equipment, Furniture  and  Materials",DCCS Housing,45110,RT2568612,767.44,HSS Hire Service Group Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45110,RT2568639,2340,Avison Young (UK) Limited 
City of London,CO&FO Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45110,RT2568661,46599,CDW Ltd 
City of London,CO&FO Division,Supplies  and  Services,Communications  and  Computing,Barbican Centre,45110,RT2568661,3354.09,CDW Ltd 
City of London,Visitor Services and City Information Centre,Supplies  and  Services,Expenses,Destination City,45110,RT2568675,539.1,Encore Tickets Ltd
City of London,CO&FO Division,Supplies  and  Services,"Equipment, Furniture  and  Materials",Barbican Centre,45110,RT2568678,3076.68,Boutinot Ltd
City of London,Guildhall Art Gallery,Supplies  and  Services,"Equipment, Furniture  and  Materials",City Surveyors,45110,RT2568707,3172.4,ISS Mediclean Limited
City of London,Local Policing,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45110,RT2568733,8700,Axon Public Safety UK Limited 
City of London,Mayors And City Of London Court,Premises,Repairs and Maintenance,City Surveyors,45110,RT2568820,4800,Wates Property Services Limited 
City of London,Uniformed Policing,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45110,RT2568915,3980,GMK Ltd
City of London,Local Policing,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45110,RT2568918,2175,GMK Ltd
City of London,Local Policing,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45110,RT2568919,2520,GMK Ltd
City of London,Local Policing,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45110,RT2568920,1533,GMK Ltd
City of London,CO&FO Division,Supplies  and  Services,"Equipment, Furniture  and  Materials",Barbican Centre,45110,RT2568966,2471.4,Boutinot Ltd
City of London,Rechargeable Works (Planning/ENV),Premises,Repairs and Maintenance,Built Environment,45110,RT2568980,68973.53,F M Conway Ltd
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,DCCS Housing,45110,RT2569050,2000,Richards Partington Architects Ltd
City of London,Town Planning,Supplies  and  Services,Advertising/Miscellaneous expenses,Built Environment,45110,RT2569051,669.35,Allied Publicity Services (Manchester) Limited 
City of London,Town Planning,Supplies  and  Services,Advertising/Miscellaneous expenses,Built Environment,45110,RT2569051,-1.73,Allied Publicity Services (Manchester) Limited 
City of London,Barbican Own Events,Supplies  and  Services,"Equipment, Furniture  and  Materials",Barbican Centre,45110,RT2569135,25973,Central Leisure Developments Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45110,RT2569172,4145,Delva Patman Redler LLP 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45110,RT2569186,1544.77,Delva Patman Redler LLP 
City of London,COL Business Improvement Districts,Supplies  and  Services,Fees  and  Services,Built Environment,45110,RT2569309,9082.52,Primera Corporation Limited
City of London,Schools Delegated Budget,Supplies  and  Services,Fees  and  Services,DCCS The Aldgate School,45110,RT2569326,579.53,Scholastic Limited 
City of London,Community Safety Team,Supplies  and  Services,Fees  and  Services,DCCS Fam & Young People,45110,RT2569334,1750,G2V Recruitment Group Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45110,RT2569352,2225.6,PAYE Stonework & Restoration Ltd
City of London,Cemetery and Crematorium,Supplies  and  Services,"Equipment, Furniture  and  Materials",Open Spaces,45110,RT2569384,2538,Spaldings Limited 
City of London,Cemetery and Crematorium,Supplies  and  Services,"Equipment, Furniture  and  Materials",Open Spaces,45110,RT2569384,718,Spaldings Limited 
City of London,Cemetery and Crematorium,Supplies  and  Services,"Equipment, Furniture  and  Materials",Open Spaces,45110,RT2569384,270,Spaldings Limited 
City of London,Cemetery and Crematorium,Supplies  and  Services,"Equipment, Furniture  and  Materials",Open Spaces,45110,RT2569384,198,Spaldings Limited 
City of London,Car Parking,Premises,Repairs and Maintenance,DCCS Barbican Estate,45110,RT2569388,965.56,Antron Security Ltd
City of London,Middlesex Street Estate,Premises,Repairs and Maintenance,DCCS Housing,45110,RT2569391,7053.47,Abbott Property Solutions Ltd
City of London,Middlesex Street Estate,Premises,Repairs and Maintenance,DCCS Housing,45110,RT2569392,5101.29,Abbott Property Solutions Ltd
City of London,Middlesex Street Estate,Premises,Repairs and Maintenance,DCCS Housing,45110,RT2569393,4263.79,Abbott Property Solutions Ltd
City of London,Southwark Estate,Premises,Repairs and Maintenance,DCCS Housing,45110,RT2569395,1435,Abbott Property Solutions Ltd
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45110,RT2569396,68985,Metwin Limited
City of London,Landlords Services,Premises,Repairs and Maintenance,DCCS Barbican Estate,45110,RT2569397,8130,Metwin Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45110,RT2569398,1645.6,Metwin Limited
City of London,Middlesex Street Estate,Premises,Repairs and Maintenance,DCCS Housing,45110,RT2569399,918.5,AD Group Services Ltd
City of London,National Lead Force,Supplies  and  Services,Fees  and  Services,City of London Police,45110,RT2569465,1925.25,Harrow Green Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Barbican Centre,45110,RT2569541,17988,Buro Happold Limited
City of London,National Lead Force,Supplies  and  Services,Fees  and  Services,City of London Police,45110,RT2569563,1619.02,Harrow Green Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Built Environment,45110,RT2569613,13874.4,Roc Technologies Limited
City of London,Road Safety,Premises,Repairs and Maintenance,Built Environment,45110,RT2569900,911.56,F M Conway Ltd
City of London,Corporate Services,Supplies  and  Services,Fees  and  Services,City of London Police,45110,RT2570223,7308.12,HANDD Business Solutions Limited
City of London,Cemetery and Crematorium,Supplies  and  Services,"Equipment, Furniture  and  Materials",Open Spaces,45110,RT2570259,708.36,Anglia Sign Casting Limited
City of London,Animal Health Services,Premises,Cleaning and Domestic Supplies,Markets & Consumer Ptn,45110,RT2570342,7500,Rentokil Initial UK Limited
City of London,Animal Health Services,Premises,Cleaning and Domestic Supplies,Markets & Consumer Ptn,45110,RT2570342,-210.47,Rentokil Initial UK Limited
City of London,COL Business Improvement Districts,Supplies  and  Services,Fees  and  Services,Built Environment,45110,RT2570646,5000,Whizz-Kidz
City of London,COL Business Improvement Districts,Supplies  and  Services,Fees  and  Services,Built Environment,45110,RT2570646,1000,Whizz-Kidz
City of London,New Spitalfields Market - All Divisions,Third Party Payments,Private Contractors,Spitalfields Market,45110,RT2570761,31000,Countrystyle Recycling Ltd
City of London,New Spitalfields Market - All Divisions,Third Party Payments,Private Contractors,Spitalfields Market,45110,RT2570761,-6003.01,Countrystyle Recycling Ltd
City of London,New Spitalfields Market - All Divisions,Third Party Payments,Private Contractors,Spitalfields Market,45110,RT2570763,31000,Countrystyle Recycling Ltd
City of London,New Spitalfields Market - All Divisions,Third Party Payments,Private Contractors,Spitalfields Market,45110,RT2570763,-5911.2,Countrystyle Recycling Ltd
City of London,Corporate and Democratic Core - CHA,Supplies  and  Services,Fees  and  Services,Chamberlains,45110,RT2570767,8750,Grant Thornton UK Llp
City of London,Street Scene,Supplies  and  Services,Fees  and  Services,Built Environment,45110,RT2570795,4200,Caro Communications Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Barbican Centre,45110,RT2570828,-8750,Buro Happold Limited
City of London,Corporate and Democratic Core - TC,Premises,Rents,Town Clerks,45110,RT2570830,1200,Bridewell Centre Limited
City of London,Corporate and Democratic Core - TC,Premises,Rents,Town Clerks,45110,RT2570831,640,Bridewell Centre Limited
City of London,Local Policing,Employees,Direct Employee Expenses,City of London Police,45110,RT2570935,1993.33,QHotels Group Limited
City of London,Barbican Own Events,Supplies  and  Services,Fees  and  Services,Barbican Centre,45110,RT2570963,1700,Mr James Holliday 
City of London,Early Years and Primary Education,Supplies  and  Services,Grants  and  Subscriptions,DCCS Fam & Young People,45110,RT2570966,795,The Archbishop Lanfranc Academy
City of London,Barbican Own Events,Supplies  and  Services,Fees  and  Services,Barbican Centre,45110,RT2570981,3625,NYX Collective Records Limited
City of London,Service Charge Account,Premises,Energy costs,DCCS Barbican Estate,45110,RT2570993,-19910.06,Total Gas & Power Ltd
City of London,Service Charge Account,Premises,Energy costs,DCCS Barbican Estate,45110,RT2570994,20191.34,Total Gas & Power Ltd
City of London,Coroner,Supplies  and  Services,Fees  and  Services,Markets & Consumer Ptn,45110,RT2571073,590,Imperial College Projects Limited
City of London,CO&FO Division,Supplies  and  Services,"Equipment, Furniture  and  Materials",Barbican Centre,45110,RT2571081,3345.21,Theatre De Complicite Education Limited
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,DCCS Housing,45110,RT2571115,5060,Keegans Ltd
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45110,RT2571119,6600,Simmons & Simmons Llp
City of London,CO&FO Division,Supplies  and  Services,"Equipment, Furniture  and  Materials",Barbican Centre,45110,RT2571125,570,Burts Snacks Limited 
City of London,Barbican Own Events,Supplies  and  Services,Fees  and  Services,Barbican Centre,45110,RT2571126,8000,Ikon Arts Management Limited
City of London,Specialist Operations,Supplies  and  Services,Fees  and  Services,City of London Police,45110,RT2571130,775,Stranders Electricial Limited
City of London,Corporate Services,Supplies  and  Services,Communications  and  Computing,City of London Police,45110,RT2571137,4674.58,SAP (UK) Ltd 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,DCCS Housing,45110,RT2571147,70860.59,Etec Contract Services Limited
City of London,National Lead Force,Employees,Indirect Employee Expenses,City of London Police,45110,RT2571151,36080,Firebrand Training Limited 
City of London,Capital Repayments,Premises,Repairs and Maintenance,Barbican Centre,45110,RT2571160,1250,Foster Wilson Size Ltd
City of London,CO&FO Division,Employees,Indirect Employee Expenses,Chamberlains,45110,RT2571177,2903.34,Andrea Adams Consultancy Limited
City of London,Barbican Own Events,Supplies  and  Services,Fees  and  Services,Barbican Centre,45110,RT2571178,600,Alexander Mees T/A Alex Mees
City of London,Barbican Own Events,Supplies  and  Services,Fees  and  Services,Barbican Centre,45110,RT2571182,1200,Anna Feigenbaum
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45110,RT2571234,408.5,Guideline Lift Services Limited
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45110,RT2571234,408.5,Guideline Lift Services Limited
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45110,RT2571234,408.5,Guideline Lift Services Limited
City of London,Middlesex Street Estate,Premises,Repairs and Maintenance,DCCS Housing,45110,RT2571234,408.5,Guideline Lift Services Limited
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45110,RT2571234,408.5,Guideline Lift Services Limited
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45110,RT2571234,408.5,Guideline Lift Services Limited
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45110,RT2571234,408.5,Guideline Lift Services Limited
