DefnSheetName=_defntemp_,,,,,,,,,,,,,,,,,,
Body Name,Supplier Name,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
Blackpool Council,Blackpool & The Fylde College,1000004,062149,27/07/2023,"9,000.00",0.00,Adults Training,20032,61901,Contributions To Funds,Adult Services,,ADULTS,Adult Services,ADULTTR,Adults Training,ADULTTR2,Adults Training
Blackpool Council,Blackpool & The Fylde College,1000004,053566,12/07/2023,"6,735.00",0.00,Household Support Fund,10465,63701,Grants,Children's Services,,CHISER,Children's Services,EHOTH,Early Help Other,EHOTH2,Early Help Other
Blackpool Council,Blackpool & The Fylde College,1000004,062208,27/07/2023,339.50,0.00,Pru Supplies And Services,10449,64501,Private Contractors,Children's Services,,CHISER,Children's Services,EDDIV,Education Diversity,EDDIV2,Education Diversity
Blackpool Council,REDACTED PERSONAL DATA,1000005,049565,4/07/2023,250.00,0.00,Staying Put,10535,65551,Rent and Rent Bonds,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Blackpool Council,REDACTED PERSONAL DATA,1000005,053359,11/07/2023,250.00,0.00,Staying Put,10535,65551,Rent and Rent Bonds,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Blackpool Council,REDACTED PERSONAL DATA,1000005,057153,18/07/2023,250.00,0.00,Staying Put,10535,65551,Rent and Rent Bonds,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Blackpool Council,REDACTED PERSONAL DATA,1000005,061078,25/07/2023,250.00,0.00,Staying Put,10535,65551,Rent and Rent Bonds,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Blackpool Council,Renaissance Uk Limited,1000017,049576,4/07/2023,"46,123.00",0.00,"Renaissance, Incl Condoms",62040,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
Blackpool Council,Renaissance Uk Limited,1000017,049579,4/07/2023,"29,344.00",0.00,SSMTRG,62045,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
Blackpool Council,Blackpool Transport Services Limited,1000020,062134,27/07/2023,"14,471.04","2,411.84",General Overheads,30151,63801,Other Expenses,Community & Env Services,,BPLSER,Community & Env Services,HIGENG,Highways & Engineering,TRAMWAY,Tramway
