FORMAT CIAXLONE REPORT,DefnSheetName=_defntemp_,,,,,,,,,,,,,,,,,,
*,Body Name,Supplier Name,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
LIST,Blackpool Council,Blackpool & The Fylde College,1000004,066816,2/08/2023,"58,030.50",0.00,Post-16,10436,47715,SEND funding,Children's Services,,CHISER,Children's Services,JCJA,Post-16,JCJA2,Post-16
LIST,Blackpool Council,REDACTED PERSONAL DATA,1000005,066422,1/08/2023,250.00,0.00,Staying Put,10535,65551,Rent and Rent Bonds,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
LIST,Blackpool Council,REDACTED PERSONAL DATA,1000005,071043,8/08/2023,250.00,0.00,Staying Put,10535,65551,Rent and Rent Bonds,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
LIST,Blackpool Council,REDACTED PERSONAL DATA,1000005,075217,15/08/2023,250.00,0.00,Staying Put,10535,65551,Rent and Rent Bonds,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
LIST,Blackpool Council,REDACTED PERSONAL DATA,1000005,078682,22/08/2023,250.00,0.00,Staying Put,10535,65551,Rent and Rent Bonds,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
LIST,Blackpool Council,REDACTED PERSONAL DATA,1000005,083934,30/08/2023,250.00,0.00,Staying Put,10535,65551,Rent and Rent Bonds,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
LIST,Blackpool Council,Carleton Green Community Primary School,1000016,083829,30/08/2023,450.00,0.00,Looked after Children - Pupil Premium,10398,65101,Transfer Payments - General,Children's Services,,CHISER,Children's Services,VIRTUL,Virtual Hub,VIRTUL2,Virtual Hub
LIST,Blackpool Council,Renaissance Uk Limited,1000017,067283,3/08/2023,"46,123.00",0.00,"Renaissance, Incl Condoms",62040,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
LIST,Blackpool Council,Renaissance Uk Limited,1000017,067286,3/08/2023,"29,344.00",0.00,SSMTRG,62045,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
LIST,Blackpool Council,Blackpool Pleasure Beach Ltd,1000019,077865,24/08/2023,329.40,54.90,"Tourism,Promotions & Conferen.",90013,99687,Tourism Sale Of Tickets,Communication & Regeneration BS,,ZAMCPI,Communication & Regeneration BS,ZAMCPI2,Balance Sheet Places,ZAMCPI4,Balance Sheet Places
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,070778,15/08/2023,432.00,0.00,School Transport,10413,62301,Bus and Tram Fares,Children's Services,,CHISER,Children's Services,OTHL,Other Learning,OTHL2,Other Learning
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,071505,15/08/2023,"4,243.20",0.00,Supporting & Strengthening Families Admin,10505,65552,Bus Pass,Children's Services,,CHISER,Children's Services,JAB,Locality,JAB2,Locality
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,078800,30/08/2023,899.01,0.00,Leaving Care,10544,65552,Bus Pass,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,077518,21/08/2023,"2,365.00",0.00,Staff travel scheme,90081,99636,Bus Travel Ticket Scheme,Balance Sheet Blackpool Services,,ZBPLSER,Balance Sheet Blackpool Services,ZBPLSER2,Balance Sheet Blackpool Services,ZBPLSER4,Balance Sheet Blackpool Services
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,070777,15/08/2023,"1,643.83",0.00,Public Transport Contracts,30138,63401,General Services,Community & Env Services,,BPLSER,Community & Env Services,FPAA,Travel & Road Safety,FPAA2,Travel & Road S
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,066249,1/08/2023,"22,827.60","3,804.60",General Overheads,30151,63801,Other Expenses,Community & Env Services,,BPLSER,Community & Env Services,HIGENG,Highways & Engineering,TRAMWAY,Tramway
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,076119,23/08/2023,"3,194.88",0.00,Visitor Services,50160,47210,Sale Of Tickets,Communication & Regeneration,,AMCPI,Communication & Regeneration,VB,Visit Blackpool/Marketing Co,PRC1,Visitor Services
LIST,Blackpool Council,Sandcastle Waterpark - Boc Ltd,1000021,074848,14/08/2023,"26,778.67","4,463.11","South Beach  ( 64, 65 )",60073,62601,Car Parking Charges,Budgets Outside Cash Limits,,BUDOCL,Budgets Outside Cash Limits,TPCARP1,Parking Services,TPCARP12,Parking Services
LIST,Blackpool Council,Sandcastle Waterpark - Boc Ltd,1000021,071556,10/08/2023,"19,663.46","3,277.24","South Beach  ( 64, 65 )",60073,47366,Car Parking Fees,Budgets Outside Cash Limits,,BUDOCL,Budgets Outside Cash Limits,TPCARP1,Parking Services,TPCARP12,Parking Services
LIST,Blackpool Council,Sandcastle Waterpark - Boc Ltd,1000021,071557,10/08/2023,"17,435.45","2,905.91",South Beach Car Park,60070,47366,Car Parking Fees,Budgets Outside Cash Limits,,BUDOCL,Budgets Outside Cash Limits,TPCARP1,Parking Services,TPCARP12,Parking Services
LIST,Blackpool Council,REDACTED PERSONAL DATA,1000024,067517,3/08/2023,943.71,0.00,Special Guardianship,10529,64809,Special Guardianship,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068064,3/08/2023,292.60,0.00,Other Day Services,20423,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068067,3/08/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068068,3/08/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068070,3/08/2023,351.12,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068071,3/08/2023,464.10,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068072,3/08/2023,464.10,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068074,3/08/2023,464.10,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068076,3/08/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068077,3/08/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068078,3/08/2023,371.28,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068079,3/08/2023,464.10,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068080,3/08/2023,371.28,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068081,3/08/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068082,3/08/2023,278.46,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068083,3/08/2023,429.80,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068084,3/08/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068086,3/08/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068089,3/08/2023,464.10,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068090,3/08/2023,371.28,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068609,3/08/2023,278.46,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068611,3/08/2023,336.98,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068612,3/08/2023,278.46,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068613,3/08/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068615,3/08/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068616,3/08/2023,278.46,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068618,3/08/2023,371.28,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068620,3/08/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068960,3/08/2023,278.46,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068962,3/08/2023,336.98,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068963,3/08/2023,278.46,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068964,3/08/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068966,3/08/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068967,3/08/2023,278.46,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068969,3/08/2023,371.28,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068971,3/08/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068973,3/08/2023,292.60,0.00,Other Day Services,20423,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068976,3/08/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068977,3/08/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,068979,3/08/2023,351.12,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
