FORMAT CIAXLONE REPORT,DefnSheetName=_defntemp_,,,,,,,,,,,,,,,,,,
SET,Transparency Spend Report (copy),,,,,,,,,,,,,,,,,,
*,Body Name,Supplier Name,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
LIST,Blackpool Council,Blackpool & The Fylde College,1000004,135669,22/11/2023,"9,000.00",0.00,Adults Training,20032,61901,Contributions To Funds,Adult Services,,ADULTS,Adult Services,ADULTTR,Adults Training,ADULTTR2,Adults Training
LIST,Blackpool Council,Blackpool & The Fylde College,1000004,135668,28/11/2023,"16,470.00",0.00,Household Support Fund,10465,63701,Grants,Children's Services,,CHISER,Children's Services,EHOTH,Early Help Other,EHOTH2,Early Help Other
LIST,Blackpool Council,Blackpool & The Fylde College,1000004,132281,16/11/2023,"8,608.37",0.00,Pru Supplies And Services,10449,64501,Private Contractors,Children's Services,,CHISER,Children's Services,EDDIV,Education Diversity,EDDIV2,Education Diversity
LIST,Blackpool Council,Blackpool & The Fylde College,1000004,132261,16/11/2023,"1,760.00",0.00,Woodlands HT,10364,63404,Exam Fees & Expenses - Schools,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED531,Woodlands
LIST,Blackpool Council,REDACTED PERSONAL DATA,1000005,128816,9/11/2023,250.00,0.00,Staying Put,10535,65551,Rent and Rent Bonds,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
LIST,Blackpool Council,REDACTED PERSONAL DATA,1000005,130652,15/11/2023,250.00,0.00,Staying Put,10535,65551,Rent and Rent Bonds,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
LIST,Blackpool Council,REDACTED PERSONAL DATA,1000005,135992,22/11/2023,250.00,0.00,Staying Put,10535,65551,Rent and Rent Bonds,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
LIST,Blackpool Council,REDACTED PERSONAL DATA,1000005,139740,29/11/2023,250.00,0.00,Staying Put,10535,65551,Rent and Rent Bonds,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
LIST,Blackpool Council,Read & Errington Ltd,1000012,128003,9/11/2023,"6,121.98","1,020.33",HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet,,ZCONBS,Consolidated Balance Sheet,ZCASUM1,capital,ZCASUM3,Capital
LIST,Blackpool Council,Renaissance Uk Limited,1000017,126549,3/11/2023,"46,123.00",0.00,"Renaissance, Incl Condoms",62040,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
LIST,Blackpool Council,Renaissance Uk Limited,1000017,126552,3/11/2023,"29,344.00",0.00,SSMTRG,62045,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
LIST,Blackpool Council,Renaissance Uk Limited,1000017,135735,22/11/2023,421.20,0.00,SSMTRG,62045,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
LIST,Blackpool Council,Blackpool Pleasure Beach Ltd,1000019,141433,30/11/2023,"86,395.20","14,399.20",Tourism Partnerships,50190,63401,General Services,Communication & Regeneration,,AMCPI,Communication & Regeneration,VB,Visit Blackpool/Marketing Co,PRG1,Tourism General
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,130011,21/11/2023,667.98,0.00,Adolescent Service,10550,65552,Bus Pass,Children's Services,,CHISER,Children's Services,ADOLE,Adolescent Services,ADOLE2,Adolescent Services
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,135216,22/11/2023,"1,780.00",0.00,Staff travel scheme,90081,99636,Bus Travel Ticket Scheme,Balance Sheet Blackpool Services,,ZBPLSER,Balance Sheet Blackpool Services,ZBPLSER2,Balance Sheet Blackpool Services,ZBPLSER4,Balance Sheet Blackpool Services
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,129976,21/11/2023,"4,117.44",0.00,"Tourism,Promotions & Conferen.",90013,99687,Tourism Sale Of Tickets,Communication & Regeneration BS,,ZAMCPI,Communication & Regeneration BS,ZAMCPI2,Balance Sheet Places,ZAMCPI4,Balance Sheet Places
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,136025,22/11/2023,"4,965.12",0.00,"Tourism,Promotions & Conferen.",90013,99687,Tourism Sale Of Tickets,Communication & Regeneration BS,,ZAMCPI,Communication & Regeneration BS,ZAMCPI2,Balance Sheet Places,ZAMCPI4,Balance Sheet Places
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,136029,22/11/2023,"3,171.36",0.00,"Tourism,Promotions & Conferen.",90013,99687,Tourism Sale Of Tickets,Communication & Regeneration BS,,ZAMCPI,Communication & Regeneration BS,ZAMCPI2,Balance Sheet Places,ZAMCPI4,Balance Sheet Places
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,138816,28/11/2023,"4,224.00",0.00,Pru Supplies And Services,10449,62301,Bus and Tram Fares,Children's Services,,CHISER,Children's Services,EDDIV,Education Diversity,EDDIV2,Education Diversity
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,129977,21/11/2023,"6,720.00",0.00,Supporting & Strengthening Families Admin,10505,65552,Bus Pass,Children's Services,,CHISER,Children's Services,JAB,Locality,JAB2,Locality
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,138799,27/11/2023,"1,600.00",0.00,School Transport,10413,62301,Bus and Tram Fares,Children's Services,,CHISER,Children's Services,OTHL,Other Learning,OTHL2,Other Learning
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,138848,28/11/2023,"4,800.00",0.00,School Transport,10413,62301,Bus and Tram Fares,Children's Services,,CHISER,Children's Services,OTHL,Other Learning,OTHL2,Other Learning
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,138815,28/11/2023,"10,915.20",0.00,Transport Services Admin - Children,30083,65505,Travel,Community & Env Services,,CHISER,Community & Env Services,TRANSP,Transport Services,TRCHIL1,Other Learning
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,135012,27/11/2023,"1,698.63",0.00,Public Transport Contracts,30138,63401,General Services,Communication & Regeneration,,AMCPI,Communication & Regeneration,HP,Planning Services,HP2,Planning Services
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,135194,21/11/2023,319.86,0.00,Leaving Care,10530,65552,Bus Pass,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,129648,15/11/2023,"1,386.00",0.00,Lac Financial Assistance,10544,65507,Personal,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
LIST,Blackpool Council,Sandcastle Waterpark - Boc Ltd,1000021,135366,21/11/2023,"24,681.23","4,113.54",South Beach Car Park,60070,47366,Car Parking Fees,Budgets Outside Cash Limits,,BUDOCL,Budgets Outside Cash Limits,TPCARP1,Parking Services,TPCARP12,Parking Services
LIST,Blackpool Council,Blackpool Airport Operations Limited,1000022,124275,7/11/2023,600.00,100.00,Corporate Training,64004,60911,Training Expenses,Chief Executive,,CEXTOT,Chief Executive,OWD,Organisation & Workforce Dev,OWD2,Organisation & Workforce Dev
LIST,Blackpool Council,Blackpool Airport Operations Limited,1000022,124389,7/11/2023,600.00,100.00,Corporate Training,64004,60911,Training Expenses,Chief Executive,,CEXTOT,Chief Executive,OWD,Organisation & Workforce Dev,OWD2,Organisation & Workforce Dev
LIST,Blackpool Council,Blackpool Airport Operations Limited,1000022,124391,7/11/2023,600.00,100.00,Corporate Training,64004,60911,Training Expenses,Chief Executive,,CEXTOT,Chief Executive,OWD,Organisation & Workforce Dev,OWD2,Organisation & Workforce Dev
LIST,Blackpool Council,REDACTED PERSONAL DATA,1000024,124673,3/11/2023,913.27,0.00,Special Guardianship,10529,64809,Special Guardianship,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123347,2/11/2023,278.46,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123349,2/11/2023,336.98,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123350,2/11/2023,278.46,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123351,2/11/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123353,2/11/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123354,2/11/2023,278.46,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123356,2/11/2023,371.28,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123359,2/11/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123361,2/11/2023,292.60,0.00,Other Day Services,20423,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123364,2/11/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123365,2/11/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123367,2/11/2023,351.12,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123368,2/11/2023,464.10,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123369,2/11/2023,464.10,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123371,2/11/2023,464.10,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123373,2/11/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123374,2/11/2023,361.20,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123375,2/11/2023,371.28,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123376,2/11/2023,371.28,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123377,2/11/2023,371.28,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123378,2/11/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123379,2/11/2023,278.46,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123380,2/11/2023,429.80,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123381,2/11/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123383,2/11/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123386,2/11/2023,464.10,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123387,2/11/2023,371.28,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123617,2/11/2023,292.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,123618,2/11/2023,278.46,0.00,Other Day Services,20257,64508,Day Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
