Body Name,Supplier Name,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
Blackpool Council,REDACTED PERSONAL DATA,1006213,558,10/05/2023,350,0,Homes For Ukraine Scheme,40091,63801,Other Expenses,Resources,,TRSTOT,Resources,FCAC1,Benefits - Admin,FCAC3,Benefits - Admin
Blackpool Council,REDACTED PERSONAL DATA,1006214,559,10/05/2023,350,0,Homes For Ukraine Scheme,40091,63801,Other Expenses,Resources,,TRSTOT,Resources,FCAC1,Benefits - Admin,FCAC3,Benefits - Admin
Blackpool Council,REDACTED PERSONAL DATA,1006215,560,11/05/2023,350,0,Homes For Ukraine Scheme,40091,63801,Other Expenses,Resources,,TRSTOT,Resources,FCAC1,Benefits - Admin,FCAC3,Benefits - Admin
Blackpool Council,REDACTED PERSONAL DATA,1002160,561,15/05/2023,350,0,Homes For Ukraine Scheme,40091,63801,Other Expenses,Resources,,TRSTOT,Resources,FCAC1,Benefits - Admin,FCAC3,Benefits - Admin
Blackpool Council,REDACTED PERSONAL DATA,1006294,566,03/05/2023,350,0,Homes For Ukraine Scheme,40091,63801,Other Expenses,Resources,,TRSTOT,Resources,FCAC1,Benefits - Admin,FCAC3,Benefits - Admin
Blackpool Council,REDACTED PERSONAL DATA,1006297,568,15/05/2023,350,0,Homes For Ukraine Scheme,40091,63801,Other Expenses,Resources,,TRSTOT,Resources,FCAC1,Benefits - Admin,FCAC3,Benefits - Admin
Blackpool Council,REDACTED PERSONAL DATA,1006362,570,03/05/2023,350,0,Homes For Ukraine Scheme,40091,63801,Other Expenses,Resources,,TRSTOT,Resources,FCAC1,Benefits - Admin,FCAC3,Benefits - Admin
Blackpool Council,Nonstop Consulting Ltd,1002770,709,09/05/2023,"2,114.33",352.39,Supporting Our Children,10510,60791,Agency Staff,Children's Services,,CHISER,Children's Services,JBT,Looked After Children,JBT2,Looked After Children
Blackpool Council,Fox Fire Security Limited,1002168,3474,02/05/2023,"4,550.40",758.4,167 Hornby Road (155),10522,61012,Maintenance Private Contractor,Adult Services,,ADULTS,Adult Services,JB0401,Hornby,JB04012,Hornby Road
Blackpool Council,Automatic Alarms Ltd,1000535,3569,02/05/2023,"1,426.61",237.77,Coastal House,40028,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AE,Asset & Estate Management,BDAAAA,Buildings - Operational
Blackpool Council,Automatic Alarms Ltd,1000535,3570,02/05/2023,996.76,166.13,Keats Day Centre (Shorelands),40053,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AE,Asset & Estate Management,BDAD,Buildings - Adult Services
Blackpool Council,Nonstop Consulting Ltd,1002770,3849,02/05/2023,"2,114.33",352.39,Supporting Our Children,10510,60791,Agency Staff,Children's Services,,CHISER,Children's Services,JBT,Looked After Children,JBT2,Looked After Children
Blackpool Council,REDACTED PERSONAL DATA,1003028,4021,10/05/2023,300,0,Adoption Services,10528,63801,Other Expenses,Children's Services,,CHISER,Children's Services,JBR,Lac - Placements,JBR2,Lac - Placements
Blackpool Council,REDACTED PERSONAL DATA,1003028,4023,10/05/2023,300,0,Adoption Services,10528,63801,Other Expenses,Children's Services,,CHISER,Children's Services,JBR,Lac - Placements,JBR2,Lac - Placements
Blackpool Council,REDACTED PERSONAL DATA,1003028,4024,10/05/2023,300,0,Adoption Services,10528,63801,Other Expenses,Children's Services,,CHISER,Children's Services,JBR,Lac - Placements,JBR2,Lac - Placements
Blackpool Council,REDACTED PERSONAL DATA,1003028,4025,10/05/2023,900,0,Adoption Services,10528,63801,Other Expenses,Children's Services,,CHISER,Children's Services,JBR,Lac - Placements,JBR2,Lac - Placements
Blackpool Council,G B SEATING LTD,1139428,4039,03/05/2023,936,156,B'Pool Sports Centre,40011,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AE,Asset & Estate Management,BDLC,Buildings - Leisure Centres
Blackpool Council,HARROD UK LIMITED,1139415,4107,03/05/2023,975.36,162.56,Palatine Pool,30021,63801,Other Expenses,Community & Env Services,,BPLSER,Community & Env Services,LESR,Leisure,LEISUR1,Leisure Managem
Blackpool Council,Whistl Uk Limited,1001944,4139,10/05/2023,"3,399.55",566.59,Post Team,40115,63511,Postages,Resources,,TRSTOT,Resources,FCAD,Customer First,FCAD2,Customer First
Blackpool Council,Whistl Uk Limited,1001944,4144,03/05/2023,"5,481.20",913.53,Post Team,40115,63511,Postages,Resources,,TRSTOT,Resources,FCAD,Customer First,FCAD2,Customer First
Blackpool Council,Prepaid Financial Services Limited,1006274,4166,03/05/2023,"2,166.00",361,Client Finances,40067,63401,General Services,Resources,,TRSTOT,Resources,FCAC1,Benefits - Admin,FCAC3,Benefits - Admin
Blackpool Council,Progressive Care Limited,1003904,4652,03/05/2023,"18,799.28",0,Mother And Baby Unit,10546,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Embrace Care,1004086,4654,05/05/2023,"7,148.92",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Northwest Leaving Care Services Ltd,1003341,4664,12/05/2023,"4,925.14",0,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Blackpool Council,Bedspace Resource Ltd,1002502,4673,10/05/2023,"1,098.00",183,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Blackpool Council,Active 8 Support Services,1004404,4679,03/05/2023,"1,837.86",0,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Blackpool Council,Active 8 Support Services,1004404,4682,03/05/2023,"1,439.29",0,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Blackpool Council,Active 8 Support Services,1004404,4684,03/05/2023,"1,837.86",0,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Blackpool Council,Active 8 Support Services,1004404,4687,03/05/2023,"1,328.57",0,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Blackpool Council,Active 8 Support Services,1004404,4689,03/05/2023,"1,550.00",0,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Blackpool Council,Active 8 Support Services,1004404,4691,03/05/2023,"1,186.81",0,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Blackpool Council,Appletree Treatment Centre Ltd,1000482,4744,03/05/2023,"21,180.00",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,North Lakes Children'S Services Ltd,1007668,4749,05/05/2023,"19,679.10",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Anchor - Halcyon Court Care Home,1003267,4751,10/05/2023,"1,299.04",0,Residential Placements,20095,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
