FORMAT CIAXLONE REPORT,DefnSheetName=_defntemp_,,,,,,,,,,,,,,,,,,
*,Body Name,Supplier Name,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
LIST,Blackpool Council,REDACTED PERSONAL DATA,1000005,004197,18/04/2023,250.00,0.00,Staying Put,10535,65551,Rent and Rent Bonds,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
LIST,Blackpool Council,REDACTED PERSONAL DATA,1000005,008648,25/04/2023,250.00,0.00,Staying Put,10535,65551,Rent and Rent Bonds,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
LIST,Blackpool Council,Renaissance Uk Limited,1000017,008468,25/04/2023,"61,651.50",0.00,SSMTRG,62045,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
LIST,Blackpool Council,Renaissance Uk Limited,1000017,008470,25/04/2023,"20,000.00",0.00,Rough Sleepers & At Risk,62055,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
LIST,Blackpool Council,F Parkinson Ltd,1000018,008682,26/04/2023,"39,873.70","6,645.62","Insurance,Dso,Banking",90069,29711,Retention Monies - Capital,Balance Sheet Resources,,ZTRSTOT,Balance Sheet Resources,ZTRSTOT2,Balance Sheet Resources,ZTRSTOT4,Balance Sheet Resources
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,024630,12/04/2023,"110,801.71",0.00,Business Loans,90030,19507,BTS Zebra Loan,Balance Sheet Budgets Outside Cash Limit,,ZBUDOCL,Balance Sheet Budgets Outside Cash Limit,ZBUDOCL2,Balance Sheet Budgets Outside Cash Limit,ZBUDOCL4,Balance Sheet Budgets Outside Cash Limit
LIST,Blackpool Council,Sandcastle Waterpark - Boc Ltd,1000021,009263,26/04/2023,"7,643.40","1,273.90",South Beach Car Park,60070,47366,Car Parking Fees,Budgets Outside Cash Limits,,BUDOCL,Budgets Outside Cash Limits,TPCARP1,Parking Services,TPCARP12,Parking Services
LIST,Blackpool Council,Autism Initiatives Uk,1000025,001683,13/04/2023,"1,919.97",0.00,Supported Living / Group Homes,20256,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,001684,13/04/2023,"1,919.97",0.00,Supported Living / Group Homes,20256,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,001685,13/04/2023,"2,416.05",0.00,Supported Living / Group Homes,20268,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,001686,13/04/2023,"1,919.97",0.00,Supported Living / Group Homes,20256,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,001687,13/04/2023,"2,416.05",0.00,Supported Living / Group Homes,20268,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,001694,13/04/2023,"1,699.20",0.00,Homecare,20256,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,001697,13/04/2023,"1,699.20",0.00,Homecare,20256,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,001704,13/04/2023,"1,699.20",0.00,Homecare,20256,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,001707,13/04/2023,495.60,0.00,Homecare,20256,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
