Supplier Name,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
Gs Social Care Solutions Ltd,1003365,3382,05/06/2023,"2,890.00",0,Lac Financial Assistance,10544,65505,Travel,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Total Leisure Engineering Ltd,1003750,3554,12/06/2023,627.6,104.6,Moor Park Leisure Centre,40008,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AEB,Buildings,BDLC,Buildings - Leisure Centres
REDACTED PERSONAL DATA,1001757,4763,05/06/2023,"1,246.71",0,Foster Care Payments,10526,64832,Gen (Ie Wkly Basic),Children's Services,,CHISER,Children's Services,JBR,Lac - Placements,JBR2,Lac - Placements
Federation Of Jewish Services,1001992,6227,02/06/2023,"1,532.00",0,Nursing Placements,20455,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Aegis Residential Care Homes Ltd,1000276,6586,02/06/2023,"1,432.18",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Aegis Residential Care Homes Ltd,1000276,14758,02/06/2023,"4,001.62",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Federation Of Jewish Services,1001992,15263,02/06/2023,"1,532.00",0,Nursing Placements,20455,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Wyre Scaffolding Ltd,1004403,16499,01/06/2023,480,80,Tower,50041,61012,Maintenance Private Contractor,Communication & Regeneration,,AMCPI,Communication & Regeneration,FMAK,Acquisitions 9/10,FMAK2,Acquisitions 9/10
Active 8 Support Services,1004404,16642,01/06/2023,"1,500.00",0,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Active 8 Support Services,1004404,16643,01/06/2023,"1,285.71",0,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Active 8 Support Services,1004404,16644,01/06/2023,"1,392.86",0,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
REDACTED PERSONAL DATA,1003028,16950,05/06/2023,"1,200.00",0,Adoption Services,10528,63801,Other Expenses,Children's Services,,CHISER,Children's Services,JBR,Lac - Placements,JBR2,Lac - Placements
REDACTED PERSONAL DATA,1003028,16951,05/06/2023,450,0,Adoption Services,10528,63801,Other Expenses,Children's Services,,CHISER,Children's Services,JBR,Lac - Placements,JBR2,Lac - Placements
REDACTED PERSONAL DATA,1003028,16956,05/06/2023,300,0,Adoption Services,10528,63801,Other Expenses,Children's Services,,CHISER,Children's Services,JBR,Lac - Placements,JBR2,Lac - Placements
Nonstop Consulting Ltd,1002770,16967,05/06/2023,"2,128.62",354.77,Supporting Our Children,10510,60791,Agency Staff,Children's Services,,CHISER,Children's Services,JBT,Looked After Children,JBT2,Looked After Children
Transitional Plus Care Community Interest Co,1007420,16986,01/06/2023,"17,492.68",0,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Advance Social Care Limited,1006241,16987,01/06/2023,"3,119.99",520,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Active 8 Support Services,1004404,16988,01/06/2023,"1,300.00",0,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
