Body Name,Supplier Name,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
Blackpool Council,HOMESTEAD RESIDENTIAL CARE LIMITED - HANWELL HOUSE,1140299,81197,06/10/2023,"14,580.00",0,Short Term Care,20450,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,North Fylde Care Ltd - Fairhaven Care Home,1000106,81358,06/10/2023,"1,067.14",0,Residential Placements,20361,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Glenthorne No2 Care Home Ltd,1003290,81377,06/10/2023,345.6,0,Short Term Care,20227,47583,Indep Sect Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,North Fylde Care Ltd - Fairhaven Care Home,1000106,81427,06/10/2023,"1,284.72",0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,DHCH14 LTD - HOPE HOUSE,1140389,81704,20/10/2023,"1,425.48",0,Nursing Placements,20207,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Glenthorne No2 Care Home Ltd,1003290,81959,06/10/2023,"1,066.48",0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Glenthorne No2 Care Home Ltd,1003290,82023,06/10/2023,"1,031.38",0,Short Term Care,20227,47583,Indep Sect Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Pay Partners Ltd Client Account,1004438,83330,23/10/2023,330,0,Ongoing Direct Payment,20249,65604,Direct Payments,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Pay Partners Ltd Client Account,1004438,83360,23/10/2023,973.34,0,Ongoing Direct Payment,20249,65604,Direct Payments,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Bloomfield Medical Centre,1001138,84755,16/10/2023,"1,848.00",0,Health Checks,62015,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
