Body Name,,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,164286,12/01/2024,819.68,0,Residential Placements,20435,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,164370,12/01/2024,"1,120.20",0,Residential Placements,20181,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,164380,12/01/2024,956.9,0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,164445,12/01/2024,379.96,0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,164586,12/01/2024,"1,302.50",0,Residential Placements,20391,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,164619,12/01/2024,"1,302.50",0,Residential Placements,20502,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,164766,12/01/2024,956.9,0,Residential Placements,20375,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,164775,12/01/2024,"1,439.50",0,Residential Placements,20181,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,164799,12/01/2024,952,0,Residential Placements,20168,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,164818,12/01/2024,905.18,0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,164819,12/01/2024,"5,009.12",0,Residential Placements,20181,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,164837,12/01/2024,"2,416.66",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,164935,12/01/2024,970.9,0,Residential Placements,20391,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,165043,12/01/2024,"1,302.50",0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,165154,12/01/2024,"1,055.54",0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,165194,12/01/2024,323.97,0,Short Term Care,20450,47107,Ola-Stc With Carers-Resident,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,165343,12/01/2024,"1,302.50",0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,165380,12/01/2024,970.9,0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,165442,12/01/2024,"1,134.90",0,Residential Placements,20375,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,165448,12/01/2024,"1,118.92",0,Residential Placements,20196,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,173236,26/01/2024,970.9,0,Residential Placements,20391,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,173273,26/01/2024,830.02,0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,173304,26/01/2024,"1,120.20",0,Residential Placements,20181,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,173314,26/01/2024,956.9,0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,173358,26/01/2024,819.68,0,Residential Placements,20435,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,173417,26/01/2024,893.46,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,173492,26/01/2024,379.96,0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,173581,26/01/2024,"1,302.50",0,Residential Placements,20391,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,173652,26/01/2024,956.9,0,Residential Placements,20375,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,173661,26/01/2024,"1,439.50",0,Residential Placements,20181,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,173684,26/01/2024,952,0,Residential Placements,20168,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,173953,26/01/2024,970.9,0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,174008,26/01/2024,"1,302.50",0,Residential Placements,20502,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,174101,26/01/2024,905.18,0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,174102,26/01/2024,896.48,0,Residential Placements,20181,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,174158,26/01/2024,"1,302.50",0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,174190,26/01/2024,"1,134.90",0,Residential Placements,20375,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ashbourne Lodge Jm Ltd,1000288,174197,26/01/2024,"1,118.92",0,Residential Placements,20196,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Thornton Care Ltd (Kingfisher Care Home),1000289,164597,12/01/2024,"1,558.68",0,Residential Placements,20220,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Thornton Care Ltd (Kingfisher Care Home),1000289,164804,12/01/2024,"1,146.08",0,Residential Placements,20391,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Thornton Care Ltd (Kingfisher Care Home),1000289,173592,26/01/2024,"1,558.68",0,Residential Placements,20220,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Thornton Care Ltd (Kingfisher Care Home),1000289,173687,26/01/2024,"1,146.08",0,Residential Placements,20391,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,John Fausset Ltd,1000291,176070,31/01/2024,"11,094.00","1,849.00",Highways & Engineering,90018,19514,Stocks Efin,Balance Sheet Blackpool Services,,ZBPLSER,Balance Sheet Blackpool Services,ZBPLSER2,Balance Sheet Blackpool Services,ZBPLSER4,Balance Sheet Blackpool Services
Blackpool Council,John Fausset Ltd,1000291,176075,31/01/2024,"2,118.00",353,Highways & Engineering,90018,19514,Stocks Efin,Balance Sheet Blackpool Services,,ZBPLSER,Balance Sheet Blackpool Services,ZBPLSER2,Balance Sheet Blackpool Services,ZBPLSER4,Balance Sheet Blackpool Services
Blackpool Council,J.A. Jones And Sons (Fac036 Payment),1000292,161345,16/01/2024,538.8,89.8,Parks Development,30032,61021,Growing,Community & Env Services,,BPLSER,Community & Env Services,PARKS,Parks,PRKDEV1,Parks Developme
Blackpool Council,J.A. Jones And Sons (Fac036 Payment),1000292,161414,16/01/2024,"3,729.60",621.6,Parks Development,30032,61021,Growing,Community & Env Services,,BPLSER,Community & Env Services,PARKS,Parks,PRKDEV1,Parks Developme
Blackpool Council,J.A. Jones And Sons (Fac036 Payment),1000292,161421,16/01/2024,"10,788.00","1,798.00",Parks Development,30032,61021,Growing,Community & Env Services,,BPLSER,Community & Env Services,PARKS,Parks,PRKDEV1,Parks Developme
Blackpool Council,J.A. Jones And Sons (Fac036 Payment),1000292,169069,19/01/2024,"14,754.00","2,459.00",Parks Development,30032,61021,Growing,Community & Env Services,,BPLSER,Community & Env Services,PARKS,Parks,PRKDEV1,Parks Developme
Blackpool Council,Jah-Jireh (Charity) Homes Reg.No,1000293,164338,12/01/2024,"1,182.52",0,Residential Placements,20391,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Jah-Jireh (Charity) Homes Reg.No,1000293,164399,12/01/2024,818.02,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Jah-Jireh (Charity) Homes Reg.No,1000293,164402,12/01/2024,901.64,0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Jah-Jireh (Charity) Homes Reg.No,1000293,164444,12/01/2024,972.9,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Jah-Jireh (Charity) Homes Reg.No,1000293,164636,12/01/2024,956.9,0,Residential Placements,20391,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Jah-Jireh (Charity) Homes Reg.No,1000293,164743,12/01/2024,836.92,0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Jah-Jireh (Charity) Homes Reg.No,1000293,164905,12/01/2024,846.92,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Jah-Jireh (Charity) Homes Reg.No,1000293,165049,12/01/2024,"1,182.52",0,Residential Placements,20391,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Jah-Jireh (Charity) Homes Reg.No,1000293,165125,12/01/2024,892.56,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Jah-Jireh (Charity) Homes Reg.No,1000293,173208,26/01/2024,846.92,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Jah-Jireh (Charity) Homes Reg.No,1000293,173279,26/01/2024,"1,182.52",0,Residential Placements,20391,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Jah-Jireh (Charity) Homes Reg.No,1000293,173333,26/01/2024,818.02,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Jah-Jireh (Charity) Homes Reg.No,1000293,173335,26/01/2024,901.64,0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Jah-Jireh (Charity) Homes Reg.No,1000293,173491,26/01/2024,972.9,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Jah-Jireh (Charity) Homes Reg.No,1000293,173509,26/01/2024,"1,182.52",0,Residential Placements,20391,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Jah-Jireh (Charity) Homes Reg.No,1000293,173538,26/01/2024,836.92,0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Jah-Jireh (Charity) Homes Reg.No,1000293,174025,26/01/2024,956.9,0,Residential Placements,20391,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Jah-Jireh (Charity) Homes Reg.No,1000293,174331,26/01/2024,892.56,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,James Leckey Design Ltd T/A Vida Global,1000294,154000,16/01/2024,"4,167.60",694.6,Sen Central Team,10430,65401,Aids To Daily Living,Children's Services,,CHISER,Children's Services,JCAA,Cwan - Management & Admin,JCAA2,Cwan - Management & Admin
Blackpool Council,James Leckey Design Ltd T/A Vida Global,1000294,154003,16/01/2024,517.2,86.2,Sen Central Team,10430,65401,Aids To Daily Living,Children's Services,,CHISER,Children's Services,JCAA,Cwan - Management & Admin,JCAA2,Cwan - Management & Admin
Blackpool Council,J P Lennard Ltd,1000298,173154,26/01/2024,991.2,165.2,Palatine Health & Fitness,30023,63020,Furniture Purchase,Community & Env Services,,BPLSER,Community & Env Services,LESR,Leisure,LEISUR1,Leisure Managem
Blackpool Council,Napier Lodge Care Home,1000300,164491,26/01/2024,"1,302.50",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,164506,26/01/2024,827.62,0,Residential Placements,20375,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,164585,26/01/2024,956.9,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,164594,26/01/2024,988.22,0,Short Term Care,20450,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,164605,26/01/2024,956.9,0,Residential Placements,20391,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,164756,26/01/2024,"1,302.50",0,Residential Placements,20333,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,165219,26/01/2024,"1,096.90",0,Short Term Care,20450,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,165239,26/01/2024,281.11,0,Short Term Care,20450,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,165351,26/01/2024,844.32,0,Residential Placements,20435,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,165385,26/01/2024,781.22,0,Residential Placements,20220,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,173551,26/01/2024,"1,302.50",0,Residential Placements,20333,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,173580,26/01/2024,956.9,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,173589,26/01/2024,988.22,0,Short Term Care,20450,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,173726,26/01/2024,"1,302.50",0,Residential Placements,20181,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,173771,26/01/2024,996.9,0,Short Term Care,20450,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,173789,26/01/2024,696.46,0,Short Term Care,20450,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,173894,26/01/2024,956.9,0,Residential Placements,20391,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,173958,26/01/2024,781.22,0,Residential Placements,20220,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,174080,26/01/2024,"1,302.50",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,174094,26/01/2024,827.62,0,Residential Placements,20375,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Napier Lodge Care Home,1000300,174166,26/01/2024,844.32,0,Residential Placements,20435,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,164332,12/01/2024,"1,068.84",0,Residential Placements,20418,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,164502,12/01/2024,"1,302.50",0,Residential Placements,20220,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,164524,12/01/2024,"1,302.50",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,164545,12/01/2024,932.12,0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,164713,12/01/2024,956.9,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,164722,12/01/2024,956.9,0,Residential Placements,20220,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,164772,12/01/2024,850.92,0,Residential Placements,20220,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,164798,12/01/2024,593.1,0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,164879,12/01/2024,"1,302.50",0,Short Term Care,20370,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,164926,12/01/2024,971,0,Residential Placements,20435,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,165247,12/01/2024,"3,421.35",0,Short Term Care,20370,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,165297,12/01/2024,668.66,0,Residential Placements,20220,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,165328,12/01/2024,901.94,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,165349,12/01/2024,836.92,0,Residential Placements,20168,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,173229,26/01/2024,971,0,Residential Placements,20435,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,173503,26/01/2024,"1,068.84",0,Residential Placements,20418,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,173611,26/01/2024,"1,302.50",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,173632,26/01/2024,932.12,0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,173658,26/01/2024,850.92,0,Residential Placements,20220,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,173683,26/01/2024,593.1,0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
