Organisation name,Organisation Code,Effective date,Directorate / service where expenditure incurred,Service Category label,Service category URI,Supplier (Beneficiary) name,Local supplier (beneficiary) internal reference,Supplier,Supplier registered charity number,VCSE grant,Payment date - G/L Date,Transaction number,Net Amount,Irrecoverable VAT,purpose_of_spend,Procurement classification / merchant category: Council’s procurement category name,Procurement classification / merchant category: CPV label,Procurement classification / merchant category: CPV code,Procurement classification / merchant category: Proclass label,Procurement classification / merchant category: Proclass code,card_transaction
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Nottingham Rehab Ltd - NRS Healthca,1307671,,,,16/01/2024,2200367519,"227,642.41",,Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Nottingham Rehab Ltd - NRS Healthca,1307671,,,,13/02/2024,2200373885,"2,699.85",,Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Nottingham Rehab Ltd - NRS Healthca,1307671,,,,13/02/2024,2200373886,"221,830.11",,Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,12/01/2024,2200366821,"2,735.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Bevan Brittan Llp ,1232737,,,,17/01/2024,2200367724,"17,234.50",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Epiq Systems Ltd,1311902,,,,24/01/2024,2200369297,"5,758.67",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Integrated Commissioning,Head of Service Commissioning,,Sands Catering Ltd ,1231311,,,,08/02/2024,2200373181,672,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Doro AB,1274450,,,,26/01/2024,2200369945,940,,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Doro AB,1274450,,,,05/03/2024,2200378419,908,,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Red Alert Ltd ,1231238,,,,05/01/2024,2200365458,"2,572.50",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Red Alert Ltd ,1231238,,,,08/02/2024,2200372922,"2,940.00",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Red Alert Ltd ,1231238,,,,19/03/2024,2200381804,"3,307.50",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Tunstall Healthcare (UK) Ltd (Use 3012996),1235586,,,,16/02/2024,2200374931,"47,000.00",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,City of London ,1230793,,,,28/03/2024,2200383977,"2,888.00",,Service Charges : Premises,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Sage Green Safety Ltd,1269431,,,,11/03/2024,2200379540,"1,680.00",,Service Charges : Premises,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,"BSI Assurance UK Ltd (Membership, Subscriptions and Standards)",1232995,,,,05/02/2024,2200371994,"1,515.00",,Subscriptions,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Redact Details,1260368,,,,09/02/2024,2200373295,"1,632.00",,Professional Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Chartered Association ,1252686,,,,12/01/2024,2200366831,"1,250.00",,Subscriptions,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,LABC ,1234875,,,,18/03/2024,2200381452,"2,622.40",,Subscriptions,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,LABC ,1234875,,,,27/03/2024,2200383832,"4,215.00",,Training related expenditure,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Fire Protection Associati,1265018,,,,22/03/2024,2200382779,"1,592.90",,Training related expenditure,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,London District Surveyors Association,1234927,,,,26/02/2024,2200376748,"1,250.00",,Subscriptions,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Redact Details,1287948,,,,22/03/2024,2200382805,"1,050.00",,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Wates Living Space (Maintenance) Ltd,1231445,,,,23/02/2024,2200376467,"507,350.97",,Hired and Contracted Services,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,22/01/2024,2200368848,584,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,22/01/2024,2200368850,"1,236.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,22/01/2024,2200368851,"1,786.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,22/01/2024,2200368853,"1,236.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,22/01/2024,2200368854,910,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,30/01/2024,2200370613,"1,958.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,21/02/2024,2200376041,"3,409.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,21/02/2024,2200376144,618,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,21/02/2024,2200376146,"2,524.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,21/02/2024,2200376149,"2,370.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,21/02/2024,2200376152,"2,336.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,28/02/2024,2200377281,"1,228.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,28/02/2024,2200377334,"2,164.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,19/03/2024,2200381720,685,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,21/03/2024,2200382178,661,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,21/03/2024,2200382180,876,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,21/03/2024,2200382183,"1,494.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,27/03/2024,2200383864,687,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,27/03/2024,2200383866,"1,786.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,Redacted,D000000023,,,,18/03/2024,3110632911,"2,354.25",,Income: General Fees and Charges,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,Redact Details,1234806,,,,28/02/2024,2200377322,"1,096.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,London In Bloom,1234937,,,,08/03/2024,2200379431,"1,055.00",,Reactive Repairs : Grounds Maintenance,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,T/A Idverde ,1231423,,,,01/02/2024,2200371185,"44,339.77",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,T/A Idverde ,1231423,,,,26/02/2024,2200376841,"50,537.39",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,Redact Details,1231428,,,,26/02/2024,2200376727,"1,747.50",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Communities,Community Safety,,City Of Westminster ,1231771,,,,15/03/2024,2200380944,"86,874.00",,Hired and Contracted Services,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Communities,Community Safety,,City Of Westminster ,1231771,,,,21/03/2024,2200382364,"85,508.23",,Hired and Contracted Services,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,24 Seven Companies Ltd,1260952,,,,05/02/2024,2200371918,"1,000.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,24 Seven Companies Ltd,1260952,,,,07/02/2024,2200372831,"1,500.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,24 Seven Companies Ltd,1260952,,,,07/03/2024,2200379253,"1,000.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,24 Seven Companies Ltd,1260952,,,,07/03/2024,2200379254,"1,000.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,24 Seven Companies Ltd,1260952,,,,07/03/2024,2200379255,"1,000.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,24 Seven Companies Ltd,1260952,,,,07/03/2024,2200379256,"1,000.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,08/02/2024,2200372908,"7,080.12",,Architects,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,08/02/2024,2200372909,"7,080.12",,Architects,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,08/02/2024,2200373249,"2,667.50",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,08/02/2024,2200373251,"1,551.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,08/02/2024,2200373252,"8,058.96",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,08/02/2024,2200373253,"4,104.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,08/02/2024,2200373254,736.26,,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,08/02/2024,2200373255,"1,925.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,08/02/2024,2200373256,"2,734.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,15/02/2024,2200374616,"5,500.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,15/02/2024,2200374617,"3,400.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,15/02/2024,2200374618,"1,375.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,13/03/2024,2200380587,"7,080.12",,Architects,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,19/03/2024,2200381710,"3,080.00",,Surveyors,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,19/03/2024,2200381711,768.16,,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,4i Solutions Ltd,1232084,,,,25/01/2024,2200369554,"15,692.87",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,4i Solutions Ltd,1232084,,,,25/01/2024,2200369555,"15,942.56",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,4i Solutions Ltd,1232084,,,,25/01/2024,2200369556,"12,251.84",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,4i Solutions Ltd,1232084,,,,06/02/2024,2200372323,"6,749.84",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,11/01/2024,2200366548,"3,311.75",,Site Works,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,11/01/2024,2200366549,"2,465.00",,Site Works,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,11/01/2024,2200366551,"2,455.00",,Site Works,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,11/01/2024,2200366554,"1,723.00",,Site Works,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,26/01/2024,2200369882,"8,966.00",,Site Works,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,26/01/2024,2200369983,"1,668.00",,Site Works,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,01/02/2024,2200371305,894.48,,Site Works,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,16/02/2024,2200374944,"6,611.00",,Site Works,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,16/02/2024,2200374945,"7,801.00",,Site Works,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,20/02/2024,2200375511,"4,773.00",,Site Works,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,20/02/2024,2200375512,"1,954.00",,Site Works,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,28/02/2024,2200377420,536,,Payments to sub contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,11/03/2024,2200379663,"6,198.00",,Site Works,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,AECOM Ltd,1271122,,,,16/01/2024,2200367512,"7,050.00",,Other Consultants,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,AECOM Ltd,1271122,,,,20/02/2024,2200375491,"3,250.00",,Other Consultants,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,AJ Mobility Ltd,1305823,,,,18/03/2024,2200381404,749,,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Akdesign Consultants Ltd,1263929,,,,18/01/2024,2200368043,"2,000.00",,Professional Fees : Non Legal,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Akdesign Consultants Ltd,1263929,,,,05/02/2024,2200372134,755,,Payments to sub contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Akdesign Consultants Ltd,1263929,,,,08/02/2024,2200372995,650,,Professional Fees : Non Legal,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,AO Business,1232416,,,,29/02/2024,2200377616,"4,712.50",,Special Maintenance,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,AO Business,1232416,,,,29/02/2024,2200377618,"4,991.67",,Special Maintenance,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,AO Business,1232416,,,,27/03/2024,2200383877,"8,579.16",,Special Maintenance,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Access UK Ltd,1287644,,,,19/01/2024,2200368474,"26,250.00",,Other Consultants,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Access UK Ltd,1287644,,,,16/02/2024,2200374930,"11,250.00",,Other Consultants,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Access UK Ltd,1287644,,,,20/03/2024,2200381938,"15,000.00",,Other Consultants,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,All Urban Limited,1294850,,,,31/01/2024,2200371031,"5,270.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,03/01/2024,2200365032,"322,719.49",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,03/01/2024,2200365033,"591,905.57",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,05/01/2024,2200365448,"268,225.67",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,05/01/2024,2200365450,"195,977.84",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,31/01/2024,2200370841,"197,559.51",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,21/02/2024,2200376034,"616,097.66",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,21/02/2024,2200376035,"433,329.68",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,07/03/2024,2200379195,"139,825.58",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,11/03/2024,2200379632,"637,358.95",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,22/03/2024,2200382536,"304,860.12",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,27/03/2024,2200383847,"299,635.89",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Amber Construction Services Ltd,1231168,,,,28/03/2024,2200384135,"692,372.21",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Aquaneed Ltd,1260944,,,,03/01/2024,2200365160,"8,333.69",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Aquaneed Ltd,1260944,,,,23/02/2024,2200376558,"7,816.60",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Aquaneed Ltd,1260944,,,,23/02/2024,2200376559,"7,894.49",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Aquaneed Ltd,1260944,,,,12/03/2024,2200380189,"6,757.42",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Aquaneed Ltd,1260944,,,,14/03/2024,2200380792,"10,653.09",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Aquaneed Ltd,1260944,,,,15/03/2024,2200381120,"6,958.33",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arbtech Consulting Ltd,1310887,,,,20/02/2024,2200375524,939,,Engineering Consultancy Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arbtech Consulting Ltd,1310887,,,,20/02/2024,2200375525,889,,Engineering Consultancy Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arcadis Consulting (UK) Ltd ,1232429,,,,25/03/2024,2200382874,"11,324.54",,Design Consultant,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arcadis Llp ,1232430,,,,13/02/2024,2200374093,"3,113.00",,Site Works,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arcadis Llp ,1232430,,,,13/02/2024,2200374097,"10,000.00",,Other Consultants,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arcadis Llp ,1232430,,,,13/02/2024,2200374098,"2,000.00",,Other Consultants,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arcadis Llp ,1232430,,,,29/02/2024,2200377536,"10,000.00",,Other Consultants,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arcadis Llp ,1232430,,,,08/03/2024,2200379420,"1,680.00",,Other Consultants,,,,,,No
