Organisation name,Organisation Code,Effective date,Directorate / service where expenditure incurred,Service Category label,Service category URI,Supplier (Beneficiary) name,Local supplier (beneficiary) internal reference,Supplier,Supplier registered charity number,VCSE grant,Payment date - G/L Date,Transaction number,Net Amount,Irrecoverable VAT,purpose_of_spend,Procurement classification / merchant category: Council’s procurement category name,Procurement classification / merchant category: CPV label,Procurement classification / merchant category: CPV code,Procurement classification / merchant category: Proclass label,Procurement classification / merchant category: Proclass code,card_transaction
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Tunstall Healthcare (UK) Ltd (Use 3012996),1235586,,,,30/04/2024,2200390749,"2,873.00",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Tunstall Healthcare (UK) Ltd (Use 3012996),1235586,,,,30/04/2024,2200390750,"6,364.50",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Tunstall Healthcare (UK) Ltd (Use 3012996),1235586,,,,20/06/2024,2200401106,"47,000.00",,Payments to Voluntary bodies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,A N Contract Service Ltd,1232095,,,,10/06/2024,2200398915,"1,202.00",,Hired and Contracted Services,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,A N Contract Service Ltd,1232095,,,,13/06/2024,2200399742,"4,904.00",,Hired and Contracted Services,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Addland Limited,1321395,,,,07/05/2024,2200391851,"9,916.33",,Professional Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Addland Limited,1321395,,,,24/05/2024,2200395715,"9,916.33",,Professional Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Addland Limited,1321395,,,,24/06/2024,2200401604,"9,916.33",,Professional Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Allln Building Services Ltd,1321620,,,,17/04/2024,2200388238,"1,335.00",,Service Charges : Premises,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Chartered Association ,1252686,,,,24/05/2024,2200395714,513.34,,Training related expenditure,,,,,,No
