Body_Code,Body_Name,Supplier Name,Document Number,GL Code,GL Code Description,Service,Posting Date,Doc Net Amount
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SENAD,3111845646,OCC/5558,On-Contract,Mainstream Res,29/01/2025,-127018.67
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Transforming Support (Coulsdon) Ltd,3111834759,OCC/5688,Supported Living,Support at Home U65 Learning Disability,10/01/2025,-102927.51
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SENAD Ltd,3111845647,OCC/5558,On-Contract,Mainstream Res,29/01/2025,-93258.33
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SENAD Ltd,3111845648,OCC/5558,On-Contract,AGENCY RESID - DISAB,29/01/2025,-92100
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Milestone Infrastructure Limited,2201308607,OCC/8102,Pymnts to main cont.,9020/Not assigned,22/01/2025,-57715.02
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Green Gates NH (BUPA),3111834371,OCC/5686,Residential Home Bed,Care Homes - Over 65 Physical Sypport,10/01/2025,-52717.32
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Response Organisation,3111845519,OCC/5785,Client Lodgings and,YPSH Int Prop Management,29/01/2025,-51632.67
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,The National Energy Foundation,2201312464,OCC/1362,Creditors GR/IR -,DR INITS - SEAS MORT,31/01/2025,-50400
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,MOTUS GROUP (UK) LIMITED,2201306526,OCC/1362,Creditors GR/IR -,VEHICLE RENEW FUND,15/01/2025,-40861.67
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Milestone Infrastructure Limited,2201312563,OCC/8102,Pymnts to main cont.,9020/Not assigned,31/01/2025,-34074.86
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,THE PRIORY GROUP,3111833953,OCC/5686,Residential Home Bed,Care Homes - Under 65 Leaning Disability,10/01/2025,-33944.69
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Style Acre,3111834656,OCC/5688,Supported Living,Support at Home U65 Learning Disability,10/01/2025,-30812.77
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,ACER HEALTHCARE LTD,3111833201,OCC/5687,Nursing Home Bed,Care Homes - Over 65 Physical Sypport,10/01/2025,-30609.98
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Fewcott Healthcare Ltd,3111833944,OCC/5687,Nursing Home Bed,Care Homes - Over 65 Memory & Cognition,10/01/2025,-30450.46
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Chacombe Park Care Home,3111833470,OCC/5687,Nursing Home Bed,Care Homes - Over 65 Physical Sypport,10/01/2025,-27815.15
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Ashamber Homes Limited,3111834441,OCC/5688,Supported Living,Support at Home 65+ Physical Support,10/01/2025,-27016.81
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Cavendish Learning (London) Ltd,3111839821,OCC/5537,Payments to Other Es,High Cost INMSS Placements,17/01/2025,-27000
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Ashamber Homes Limited,3111834447,OCC/5688,Supported Living,Support at Home 65+ Mental Health,10/01/2025,-26450.67
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Airbus Defence & Space Ltd,2201307316,OCC/4495,IT Software,DATA & SYSTEMS/MISC,17/01/2025,-26100
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Response Organisation,3111845518,OCC/5785,Client Lodgings and,YPSH Int Prop Management,29/01/2025,-21118.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Integrated Services Programme,3111845800,OCC/5537,Payments to Other Es,High Cost INMSS Placements,30/01/2025,-20265.49
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,The Close Nursing Home,3111835647,OCC/5687,Nursing Home Bed,Care Homes - Under 65 Physical Sypport,10/01/2025,-19814.22
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Heathcotes Ltd,3111834607,OCC/5686,Residential Home Bed,Care Homes - Under 65 Leaning Disability,10/01/2025,-18215.37
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CAMBIAN WHINFELL SCHOOL LIMITED,3111845853,OCC/5537,Payments to Other Es,SEN ISP and FE College Funding,30/01/2025,-16332.5
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Chilworth House School,3111832719,OCC/5537,Payments to Other Es,High Cost INMSS Placements,10/01/2025,-15799.52
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,John Henry Newman Academy,3111830583,OCC/5537,Payments to Other Es,SEN Additional Funding,03/01/2025,-15797.15
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Milestone Infrastructure(Major Proj,2201308358,OCC/1362,Creditors GR/IR -,9020/Not assigned,21/01/2025,-14980.6
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,EMERGENCY ONE (UK) LTD,2201310910,OCC/4201,Purchase of Vehicle,VEHICLE RENEW FUND,28/01/2025,-14815.21
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Milestone Infrastructure Limited,2201309334,OCC/8102,Pymnts to main cont.,9020/Not assigned,23/01/2025,-14444.91
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CAMBIAN WHINFELL SCHOOL LIMITED,3111845850,OCC/5537,Payments to Other Es,SEN ISP and FE College Funding,30/01/2025,-14225.08
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Carfax College Oxford,3111839764,OCC/5537,Payments to Other Es,SEN ISP and FE College Funding,17/01/2025,-14120.61
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Abingdon & Witney College,3111846749,OCC/5537,Payments to Other Es,SEN ISP and FE College Funding,31/01/2025,-13934.04
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CAMBIAN WHINFELL SCHOOL LIMITED,3111845856,OCC/5537,Payments to Other Es,SEN ISP and FE College Funding,30/01/2025,-13610.42
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Carfax College Oxford,3111839770,OCC/5537,Payments to Other Es,SEN ISP and FE College Funding,17/01/2025,-13475.21
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Carfax College Oxford,3111839776,OCC/5537,Payments to Other Es,SEN ISP and FE College Funding,17/01/2025,-13417.39
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CAMBIAN WHINFELL SCHOOL LIMITED,3111845859,OCC/5537,Payments to Other Es,SEN ISP and FE College Funding,30/01/2025,-12293.28
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,abm catering limited,3111842162,OCC/4665,Catering,CCC-CATERING MANAGMT & SCH MEALS SD&SF,28/01/2025,-11903.74
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,EMBS COMMUNITY COLLEGE,3111839763,OCC/5537,Payments to Other Es,SEN ISP and FE College Funding,17/01/2025,-10967.36
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Mon Choisy,3111835303,OCC/5686,Residential Home Bed,Care Homes - Over 65 Mental Health,10/01/2025,-10584
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Get Active Sports,2201312210,OCC/5460,Entertainment Expens,Holiday Activities & Food Grant,30/01/2025,-10050
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Oxford Direct Services Ltd,2201309244,OCC/1362,Creditors GR/IR -,9020/Not assigned,23/01/2025,-9997.86
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Carfax College Oxford,3111839769,OCC/5537,Payments to Other Es,SEN ISP and FE College Funding,17/01/2025,-9896.95
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Orders of St John,3111834503,OCC/5687,Nursing Home Bed,Support at Home 65+ Physical Support,10/01/2025,-9821.02
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,METHODIST HOMES,3111833457,OCC/5687,Nursing Home Bed,Care Homes - Over 65 Physical Sypport,10/01/2025,-9710.88
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Green Gates NH (BUPA),3111834371,OCC/5685,FNC -  OCC Placement,Care Homes - Over 65 Physical Sypport,10/01/2025,-9704.76
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,GCH (St Katherines) Ltd,3111833713,OCC/5686,Residential Home Bed,Care Homes - Over 65 Physical Sypport,10/01/2025,-9271.43
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Direct Link Care Ltd,3111843869,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,-9149.78
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,EDF Energy Customers Ltd,2201308117,OCC/3951,Electricity,CCC-UTILITIES,07/01/2025,-8610.25
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Pell Frischmann Consultants Ltd,2201303254,OCC/4861,Hired and Contracted,Development Management,07/01/2025,-8505.57
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Direct Link Care Ltd,3111843882,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,-8179.19
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,OCC One Time Vendor,3111836323,OCC/1448,Refunds Control A/C,9020/Not assigned,13/01/2025,-8138.63
