Body_Code,Body_Name,Service,Posting Date,GL Code,GL Code Desc,Doc Number,Doc Net Amount,Supplier Name
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111733847,"4,113.48",The Langston
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Under 65 Physical Sypport,12/08/2024,5686,Residential Home Bed,3111733740,"4,115.30",Enham
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home U65 Autism /Abated,12/08/2024,5688,Supported Living,3111734181,"4,117.06",White Leaf Support Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Independent Foster,07/08/2024,5561,IFA s (South Central Framework),3111730360,"4,118.04",FOSTERPLUS LTD
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,UASC 16&17,07/08/2024,5561,IFA s (South Central Framework),3111730365,"4,118.66",NATIONAL FOSTERING AGENCY
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Under 65 Physical Sypport,12/08/2024,5686,Residential Home Bed,3111733325,"4,119.28",Kinmel Lodge Limited
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,MAINSTREAM-SECONDARY,01/08/2024,4330,Transport to School Activities,3111728150,"4,122.00",Oxford Taxis Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home 65+ Memory & Cognition,27/08/2024,5899,Adult Social Care - Direct Payments,3111741809,"4,123.20",Personal Redacted Data
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Memory & Cognition,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111732859,"4,124.55",Fewcott Healthcare Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111733146,"4,124.55",Green Gates NH (BUPA)
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SEN TRANSPORT,13/08/2024,4330,Transport to School Activities,3111734424,"4,125.00",The Oxfordshire Taxi Company Ltd T/
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,MAINSTREAM-SECONDARY,16/08/2024,4330,Transport to School Activities,3111738548,"4,126.00",Worths Motor Services Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,MAINSTREAM-SECONDARY,16/08/2024,4330,Transport to School Activities,3111738550,"4,126.00",Worths Motor Services Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111733632,"4,127.25",Barchester Healthcare Homes Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111732857,"4,127.25",Fewcott Healthcare Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111733959,"4,127.25",MARIA MALLABAND CARE GROUP
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111731951,"4,127.25",METHODIST HOMES
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111733494,"4,127.25",Oakenholt Care Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home 65+ Physical Support,13/08/2024,5699,Home Support – Home First,3111736340,"4,127.94",Buckingham Home Care Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Blue Badge Concessionary Fares,01/08/2024,5394,Other Expenses,2201255569,"4,128.19",Allied Public Services
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home U65 MH OBC Contract,12/08/2024,5688,Supported Living,3111734113,"4,131.59",Medcare Home Services Limited
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Personal Health Budgets  - U65,27/08/2024,5899,Adult Social Care - Direct Payments,3111741676,"4,139.52",Rosekel Resourcing Ltd
