Body,Organisation Name,Date,Internal Ref Number,Net Amount,Irrecoverable VAT,Supplier(Beneficiary) Name,Supplier Registered Company Number,Supplier Registered Charity Number,Supplier ID,VAT Registration Number,Expense Area,Procurement Classification: Council's Procurement Category Name,Expense Code,BVACOP,Proclass,Extended Description,Source,Subsource,Definition,Purpose of Spend (Summary),Voluntary Community and Social Enterprise Supplier
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,11/02/2025,33759379,8112.24,N/A,2024:13VI Visual Impairment,,,Personal Budgets,,Adult Services and Wellbeing-Adult Health & Social Care,Transfer Payments - School Children And Students,884A6002,,,,CQ,PB,Personal Budgets,Direct payments to service users assessed as needing service provision,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,14/02/2025,33764613,1854.6,N/A,24x7 Ltd,,,S419438,,Regeneration & Strategy-Transport Services,Contract Hire And Operating Leases,78523209,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,11/02/2025,33759157,1375,N/A,360 Estates Halifax Ltd,,,S393290,,Public Services-Customer Services and Communications,Transfer Payments - Housing Benefits,10266205,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,03/02/2025,33734674,1494.5,N/A,3R Finance Ltd ( factoring for Sarto Thomas Ltd),,,S421468,,Regeneration & Strategy-Planning & Building Control,Miscellaneous Expenses,58104807,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,03/02/2025,33734680,1470,N/A,3R Finance Ltd ( factoring for Sarto Thomas Ltd),,,S421468,,Regeneration & Strategy-Planning & Building Control,Miscellaneous Expenses,58104807,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,03/02/2025,33734678,1470,N/A,3R Finance Ltd ( factoring for Sarto Thomas Ltd),,,S421468,,Regeneration & Strategy-Planning & Building Control,Miscellaneous Expenses,58104807,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,03/02/2025,33734676,1470,N/A,3R Finance Ltd ( factoring for Sarto Thomas Ltd),,,S421468,,Regeneration & Strategy-Planning & Building Control,Miscellaneous Expenses,58104807,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,05/02/2025,33738341,1470,N/A,3R Finance Ltd ( factoring for Sarto Thomas Ltd),,,S421468,,Regeneration & Strategy-Planning & Building Control,Miscellaneous Expenses,58104807,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,10/02/2025,33757732,1372,N/A,3R Finance Ltd ( factoring for Sarto Thomas Ltd),,,S421468,,Regeneration & Strategy-Planning & Building Control,Miscellaneous Expenses,58104807,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,10/02/2025,33757730,1396.5,N/A,3R Finance Ltd ( factoring for Sarto Thomas Ltd),,,S421468,,Regeneration & Strategy-Planning & Building Control,Miscellaneous Expenses,58104807,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,11/02/2025,33758975,1470,N/A,3R Finance Ltd ( factoring for Sarto Thomas Ltd),,,S421468,,Regeneration & Strategy-Planning & Building Control,Miscellaneous Expenses,58104807,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,20/02/2025,33784444,678,N/A,A Class Taxis (Transport  Services )Ltd,,,S401565,,Regeneration & Strategy-Transport Services,Contract Hire And Operating Leases,78523210,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,20/02/2025,33784443,33865,N/A,A Class Taxis (Transport  Services )Ltd,,,S401565,,Regeneration & Strategy-Transport Services,Contract Hire And Operating Leases,78523209,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,20/02/2025,33784445,2169,N/A,A Class Taxis (Transport  Services )Ltd,,,S401565,,Regeneration & Strategy-Transport Services,Contract Hire And Operating Leases,78703209,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
