Directorate,Service,Supplier,Transaction Number,Transaction Date,Payment Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
Balance Sheet,Balance Sheet,BEACHCROFT LLP,55587034,18/10/2024,15/11/2024,800,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,CLYDE & CO,55586316,23/10/2024,05/11/2024,"1,989.50",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,KIDDIVOUCHERS LTD,55588263,15/11/2024,19/11/2024,"1,479.00",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,MAIDENDALE NURSERY,55586643,01/11/2024,05/11/2024,"5,000.00",General Credits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,RIDER INDUSTRIAL LTD,55586871,15/10/2024,12/11/2024,"5,372.00",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,VIVUP,55589255,31/10/2024,28/11/2024,709.8,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,ZURICH INSURANCE COMPANY,55589326,25/10/2024,28/11/2024,"51,320.00",General Debits,NON-BUDGETED,NON BUDGETED
ECONOMIC GROWTH,Balance Sheet,NORTH EAST TRUCK & VAN LTD,55588698,01/11/2024,29/11/2024,"27,813.50",Vehicles,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,Balance Sheet,NORTH EAST TRUCK & VAN LTD,55588699,01/11/2024,29/11/2024,"27,813.50",Vehicles,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,Balance Sheet,NORTH EAST TRUCK & VAN LTD,55588700,01/11/2024,29/11/2024,"27,813.50",Vehicles,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,Balance Sheet,NORTH EAST TRUCK & VAN LTD,55588701,01/11/2024,29/11/2024,"27,813.50",Vehicles,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,Balance Sheet,NORTH EAST TRUCK & VAN LTD,55588702,01/11/2024,29/11/2024,"20,434.50",Vehicles,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,Balance Sheet,NORTH EAST TRUCK & VAN LTD,55588703,01/11/2024,29/11/2024,"20,434.50",Vehicles,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,LYNAS ENGINEERS,55586648,08/10/2024,05/11/2024,900,Consultant Civil Engineer,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,TRACSIS TRAFFIC DATA LIMITED,55588603,31/10/2024,28/11/2024,"1,750.00",Other Contractor Payments,Capital Expenditure,Capital Construction
Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,57726139,25/11/2024,26/11/2024,"1,257.71",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,57726139,25/11/2024,26/11/2024,645.62,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AIT MITRA LIMITED,55586554,11/10/2024,12/11/2024,920,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,ALZHEIMERS SOCIETY,55588012,01/10/2024,19/11/2024,"5,333.88",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ALZHEIMERS SOCIETY,55588309,01/10/2024,21/11/2024,"11,200.50",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AMBITO SALUTEM SHARED SERVICES III LTD,57726140,25/11/2024,26/11/2024,"13,621.09",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57724823,11/11/2024,12/11/2024,891.43,Intermediate Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57724823,11/11/2024,12/11/2024,"40,560.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57724823,11/11/2024,12/11/2024,"4,680.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57725359,15/11/2024,19/11/2024,"72,631.43",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57724766,11/11/2024,12/11/2024,"9,900.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57724823,11/11/2024,12/11/2024,"3,677.14",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57724823,11/11/2024,12/11/2024,"15,377.14",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57726141,25/11/2024,26/11/2024,"1,754.97",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57726141,25/11/2024,26/11/2024,"17,611.18",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57726141,25/11/2024,26/11/2024,"15,837.44",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57726141,25/11/2024,26/11/2024,"7,583.66",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BENFIELD HALL,57724765,11/11/2024,12/11/2024,"4,626.04",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BENFIELD HALL,57724765,11/11/2024,12/11/2024,"2,077.14",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BONDCARE WILLINGTON LTD,57726142,25/11/2024,26/11/2024,"8,096.64",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BRIARDENE CARE HOME,57724768,11/11/2024,12/11/2024,"3,990.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,C/O CARELINE LIFESTYLES LTD,57724775,11/11/2024,12/11/2024,"3,002.40",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CADE CARE (BLUE RIBBON),57724771,11/11/2024,12/11/2024,"13,797.28",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE MATTERS,57726143,25/11/2024,26/11/2024,"5,255.32",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE UK COMMUNITY PARTNERSHIPS LTD,57724819,11/11/2024,12/11/2024,"2,694.25",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE-ABILITY,55584052,17/09/2024,15/11/2024,"2,625.54",Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,ADULT SOCIAL CARE,CARE-ABILITY,55587199,21/10/2024,21/11/2024,"1,323.85",Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57726144,25/11/2024,26/11/2024,"30,647.98",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57726144,25/11/2024,26/11/2024,"25,333.74",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57726144,25/11/2024,26/11/2024,"2,136.43",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,11164729,20/11/2024,21/11/2024,639.95,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,11164730,20/11/2024,21/11/2024,692.6,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57726144,25/11/2024,26/11/2024,"2,230.58",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57726144,25/11/2024,26/11/2024,"18,891.10",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE LIFESTYLES,57724817,11/11/2024,12/11/2024,"3,018.40",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CASTLE CENTRAL SERVICES LIMITED,55588568,17/10/2024,28/11/2024,"149,780.11",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CASTLE CENTRAL SERVICES LIMITED,55588569,17/10/2024,28/11/2024,"140,309.16",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CASTLE CENTRAL SERVICES LIMITED,55588570,17/10/2024,28/11/2024,"165,114.28",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CASTLE CENTRAL SERVICES LIMITED,55588573,17/10/2024,28/11/2024,"116,735.20",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CLARENCE COURT,57724772,11/11/2024,12/11/2024,"3,328.40",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,COUNTRYWIDE CARE HOMES,57724805,11/11/2024,12/11/2024,"4,919.94",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CREATIVE SUPPORT LIMITED,57726145,25/11/2024,26/11/2024,"7,387.20",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CREATIVE SUPPORT LIMITED,57726145,25/11/2024,26/11/2024,"10,761.50",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CREATIVE SUPPORT LIMITED,57726145,25/11/2024,26/11/2024,"2,700.87",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CROWN CARE,57724763,11/11/2024,12/11/2024,"2,205.84",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57726146,25/11/2024,26/11/2024,"6,714.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57724773,11/11/2024,12/11/2024,"5,950.75",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57724773,11/11/2024,12/11/2024,"21,195.44",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57724785,11/11/2024,12/11/2024,"22,539.48",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON ASSOCIATION ON DISABILITY LTD,57726148,25/11/2024,26/11/2024,"11,269.88",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON ASSOCIATION ON DISABILITY LTD,57726090,20/11/2024,26/11/2024,750.8,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON MIND,57726165,25/11/2024,26/11/2024,910.16,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DIMENSIONS (UK) LTD,57726150,25/11/2024,26/11/2024,"257,928.71",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DIMENSIONS (UK) LTD,57726150,25/11/2024,26/11/2024,"4,814.46",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DIMENSIONS (UK) LTD,57726150,25/11/2024,26/11/2024,"46,920.89",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DIMENSIONS PERSONALISED SUPPORT,55588562,28/10/2024,28/11/2024,"298,623.85",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DIMENSIONS PERSONALISED SUPPORT,55588565,01/11/2024,28/11/2024,"304,022.03",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DIMENSIONS PERSONALISED SUPPORT,55583622,16/09/2024,14/11/2024,"299,690.29",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
