Directorate,Service,Supplier,Transaction Number,Transaction Date,Payment Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
Balance Sheet,Balance Sheet,DARLINGTON CREDIT UNION LIMITED,11166175,03/03/2025,04/03/2025,"19,766.85",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,HINDS BUILDING SERVICES,1114562,03/03/2025,03/03/2025,825.69,Cis Deductions,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,HINDS BUILDING SERVICES,1114562,03/03/2025,03/03/2025,629.85,Cis Deductions,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,HINDS BUILDING SERVICES,1114563,03/03/2025,03/03/2025,825.7,Cis Deductions,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,KIDDIVOUCHERS LTD,55599612,13/03/2025,18/03/2025,"1,073.00",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,MOTOR INSURANCE BUREAU,55598363,20/02/2025,20/03/2025,625,General Credits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,NHS PENSIONS,11166156,03/03/2025,04/03/2025,"1,611.57",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,PRUDENTIAL LOCAL GOVERNMENT,11166153,03/03/2025,04/03/2025,"47,287.95",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,STANDARD LIFE,11166155,03/03/2025,04/03/2025,"9,043.01",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,THE DARLINGTON LABOUR GROUP,11166179,03/03/2025,04/03/2025,"3,420.60",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,UNISON L04007,11166178,03/03/2025,04/03/2025,"6,135.44",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,ZURICH MUNICPAL,55599431,11/03/2025,13/03/2025,"32,233.34",General Debits,NON-BUDGETED,NON BUDGETED
CHILDREN'S SERVICES,EDUCATION,TOMLINSON-LONGSTAFF LTD,1114474,28/02/2025,06/03/2025,"2,283.69",Heating/Water Systems,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,Balance Sheet,NORTH EAST TRUCK & VAN LTD,55599662,14/01/2025,25/03/2025,"54,728.00",Vehicles,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,Balance Sheet,NORTH EAST TRUCK & VAN LTD,55599663,20/02/2025,25/03/2025,"54,728.00",Vehicles,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,Balance Sheet,NORTH EAST TRUCK & VAN LTD,55599664,09/01/2025,25/03/2025,"37,526.00",Vehicles,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,Balance Sheet,NORTH EAST TRUCK & VAN LTD,55600410,06/01/2025,25/03/2025,"54,338.00",Vehicles,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,Balance Sheet,NORTH EAST TRUCK & VAN LTD,55600411,30/01/2025,25/03/2025,"54,728.00",Vehicles,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,Balance Sheet,NORTH EAST TRUCK & VAN LTD,55600768,25/11/2024,25/03/2025,"31,378.12",Vehicles,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,Balance Sheet,NORTH EAST TRUCK & VAN LTD,55601075,25/02/2025,26/03/2025,"54,728.00",Vehicles,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,Corporate Landlord,DTA CONSULTING ENGINEERS LLP,55598323,20/02/2025,20/03/2025,"1,950.00",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,BARRETT ENVIRONMENTAL,55599738,16/12/2022,20/03/2025,"1,500.00",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,LYNAS ENGINEERS,55598951,26/02/2025,25/03/2025,"3,313.60",Consultant Civil Engineer,Capital Expenditure,Capital Fees
Children and Adults Services,ADULT SOCIAL CARE,ACORN CARE NE - FOSTERING,57738190,17/03/2025,25/03/2025,"5,304.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,55598929,26/02/2025,11/03/2025,"4,562.90",Services For Carers,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,57738192,17/03/2025,18/03/2025,"1,750.00",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,57738192,17/03/2025,18/03/2025,"1,920.00",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AMBITO SALUTEM SHARED SERVICES III LTD,57738193,17/03/2025,18/03/2025,"17,026.38",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ANCHOR HANOVER GROUP,57736722,03/03/2025,28/03/2025,"3,140.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57736777,03/03/2025,04/03/2025,"13,037.15",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57736777,03/03/2025,04/03/2025,"35,434.28",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57736777,03/03/2025,04/03/2025,"6,240.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57740122,31/03/2025,01/04/2025,"34,320.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57740122,31/03/2025,01/04/2025,"6,240.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57740066,31/03/2025,01/04/2025,"3,500.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57736725,03/03/2025,04/03/2025,"12,021.43",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57738194,17/03/2025,18/03/2025,"1,168.50",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57738194,17/03/2025,18/03/2025,"12,648.10",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57738194,17/03/2025,18/03/2025,"23,007.38",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57738194,17/03/2025,18/03/2025,"8,691.19",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BENFIELD HALL,57736723,03/03/2025,04/03/2025,"4,626.04",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BENFIELD HALL,57740064,31/03/2025,01/04/2025,"4,626.04",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BENFIELD HALL,57740064,31/03/2025,01/04/2025,"6,750.70",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BENFIELD HALL,57736723,03/03/2025,04/03/2025,"2,077.14",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BONDCARE WILLINGTON LTD,57738195,17/03/2025,18/03/2025,"23,116.80",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BRIARDENE CARE HOME,57740068,31/03/2025,01/04/2025,"3,990.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BRIARDENE CARE HOME,57736727,03/03/2025,04/03/2025,"3,990.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,C/O CARELINE LIFESTYLES LTD,57740076,31/03/2025,01/04/2025,"3,002.40",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,C/O CARELINE LIFESTYLES LTD,57736734,03/03/2025,04/03/2025,"3,002.40",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CADE CARE (BLUE RIBBON),57740072,31/03/2025,01/04/2025,"13,797.28",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CADE CARE (BLUE RIBBON),57736730,03/03/2025,04/03/2025,"13,797.28",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE MATTERS,57738196,17/03/2025,18/03/2025,541.5,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE MATTERS,57738196,17/03/2025,18/03/2025,"6,310.22",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE-ABILITY,55599383,28/02/2025,28/03/2025,621.05,Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,ADULT SOCIAL CARE,CAREFLEX LTD,55598452,19/02/2025,18/03/2025,"3,335.04",Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57738197,17/03/2025,18/03/2025,"43,442.50",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57738197,17/03/2025,18/03/2025,"20,660.05",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57738197,17/03/2025,18/03/2025,615,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,11166463,20/03/2025,20/03/2025,"2,445.49",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57738197,17/03/2025,18/03/2025,"25,833.70",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57738197,17/03/2025,18/03/2025,"3,341.10",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57738197,17/03/2025,18/03/2025,"4,134.55",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE LIFESTYLES,57736772,03/03/2025,04/03/2025,"3,018.40",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE LIFESTYLES,57740117,31/03/2025,01/04/2025,"3,018.40",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE LIFESTYLES,57738671,19/03/2025,20/03/2025,"36,756.39",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE LIFESTYLES,57740093,31/03/2025,01/04/2025,"5,533.22",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CASTLE CENTRAL SERVICES LIMITED,55599238,19/09/2024,13/03/2025,"125,195.65",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CASTLE CENTRAL SERVICES LIMITED,55599239,19/09/2024,13/03/2025,"110,938.57",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CASTLE CENTRAL SERVICES LIMITED,55599240,23/09/2024,13/03/2025,"115,280.01",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CASTLE CENTRAL SERVICES LIMITED,55599243,28/02/2025,13/03/2025,"112,406.43",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CASTLE CENTRAL SERVICES LIMITED,55599244,28/02/2025,13/03/2025,"150,408.57",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
