Directorate,Service,Supplier,Transaction Number,Transaction Date,Payment Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
Balance Sheet,Balance Sheet,DARLINGTON CREDIT UNION LIMITED,11165923,03/02/2025,04/02/2025,"19,915.00",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,FRIENDS OF THE STOCKTON AND DARLINGTON RAILWAY,55596710,11/02/2025,19/02/2025,"10,000.00",General Credits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,KIDDIVOUCHERS LTD,55596975,31/01/2025,19/02/2025,"1,303.02",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,NHS PENSIONS,11165903,03/02/2025,04/02/2025,"1,611.57",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,PRUDENTIAL LOCAL GOVERNMENT,11165900,03/02/2025,04/02/2025,"44,665.32",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,STANDARD LIFE,11165902,03/02/2025,04/02/2025,"9,041.01",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,THE DARLINGTON LABOUR GROUP,11165927,03/02/2025,04/02/2025,"3,420.60",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,UNISON L04007,11165926,03/02/2025,04/02/2025,"6,157.27",General Debits,NON-BUDGETED,NON BUDGETED
CHILDREN'S SERVICES,EDUCATION,HINDS BUILDING SERVICES,1114323,13/01/2025,18/02/2025,"2,296.63",Building Purchase,Capital Expenditure,Capital Acquisitions
ECONOMIC GROWTH,Balance Sheet,AEBI SCHMIDT UK LIMITED,55596977,31/01/2025,19/02/2025,"175,504.00",Vehicles,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,TRANSPORT,ALBION DRILLING GROUP LTD,55596064,27/01/2025,21/02/2025,"14,250.00",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,LYNAS ENGINEERS,55595490,24/01/2025,21/02/2025,"1,578.00",Consultant Civil Engineer,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,LYNAS ENGINEERS,55595523,24/01/2025,21/02/2025,"7,602.00",Consultant Civil Engineer,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,NETWORK RAIL INFRASTRUCTURE LTD,55595435,23/01/2025,20/02/2025,"2,101.30",Consultants - Other,Capital Expenditure,Capital Fees
Children and Adults Services,ADULT SOCIAL CARE,39 ESSEX CHAMBERS,55596748,05/12/2024,18/02/2025,"1,250.00",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,39 ESSEX CHAMBERS,55596749,05/12/2024,18/02/2025,"4,850.00",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,57734997,17/02/2025,18/02/2025,"2,450.00",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,57734996,17/02/2025,18/02/2025,"1,200.00",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,57734997,17/02/2025,18/02/2025,"1,980.00",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ALZHEIMERS SOCIETY,55595883,23/01/2025,06/02/2025,"11,200.50",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ALZHEIMERS SOCIETY,55595882,23/01/2025,20/02/2025,"5,333.88",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AMBITO SALUTEM SHARED SERVICES III LTD,57734998,17/02/2025,18/02/2025,"10,215.84",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
