Directorate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
Balance Sheet,Balance Sheet,BISHOPTON PARISH COUNCIL,11161752,10/04/2024,"10,899.00",Parish Precepts,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,DARLINGTON CREDIT UNION LIMITED,11161537,02/04/2024,"20,797.71",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,DARLINGTON CREDIT UNION LIMITED,11161992,30/04/2024,"20,311.87",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,HEIGHINGTON PARISH COUNCIL,11161753,10/04/2024,"35,000.00",Parish Precepts,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,HIGH CONISCLIFFE PARISH COUNCIL,11161754,10/04/2024,"6,000.00",Parish Precepts,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,HURWORTH PARISH COUNCIL,11161755,10/04/2024,"65,000.00",Parish Precepts,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,KIDDIVOUCHERS LTD,55567605,12/04/2024,"1,713.25",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,LOW CONISCLIFFE & MERRYBENT PARISH COUN,11161756,10/04/2024,"8,980.00",Parish Precepts,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,MIDDLETON ST GEORGE PARISH COUNCIL,11161757,10/04/2024,"61,479.00",Parish Precepts,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,NEASHAM PARISH COUNCIL,11161758,10/04/2024,"10,470.00",Parish Precepts,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,NHS PENSIONS,11161522,02/04/2024,"1,572.26",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,NHS PENSIONS,11161974,30/04/2024,"1,572.26",General Debits,NON-BUDGETED,NON BUDGETED
