Directorate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57712917,22/07/2024,"46,020.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57712917,22/07/2024,"5,438.57",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57711292,08/07/2024,"7,180.88",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57711292,08/07/2024,"15,435.34",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57711292,08/07/2024,"5,585.01",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57711292,08/07/2024,843.92,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BENFIELD HALL,57712865,22/07/2024,"4,200.28",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BENFIELD HALL,57712865,22/07/2024,"2,077.14",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BERNICIA GROUP,55575308,03/06/2024,"11,276.98",Rent Of Facilities,PREMISES,RENTS
Children and Adults Services,ADULT SOCIAL CARE,BLOSSOM HOME CARE (DURHAM),57711293,08/07/2024,"2,048.40",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BONDCARE WILLINGTON LTD,57711294,08/07/2024,"7,885.13",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BRIARDENE CARE HOME,57712869,22/07/2024,"3,990.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BYKARE SERVICES LTD,57711295,08/07/2024,"47,501.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,C/O CARELINE LIFESTYLES LTD,57712876,22/07/2024,"3,002.40",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CADE CARE (BLUE RIBBON),57712872,22/07/2024,"13,797.28",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE MATTERS,57711296,08/07/2024,514.43,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE MATTERS,57711296,08/07/2024,"4,487.24",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57711297,08/07/2024,"31,219.37",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57711297,08/07/2024,"16,590.55",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57711297,08/07/2024,"2,847.18",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57711297,08/07/2024,"2,130.68",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57711297,08/07/2024,"14,483.19",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE LIFESTYLES,57712913,22/07/2024,"3,018.40",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
