Directorate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
ECONOMIC GROWTH,CAPITAL PROJECTS,ALBANY OFFICE FURNITURE SOLUTIONS,55577110,04/07/2024,650,Furniture Equipment,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,ALBANY OFFICE FURNITURE SOLUTIONS,55575688,25/06/2024,"3,010.00",Furniture Equipment,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,ALBANY OFFICE FURNITURE SOLUTIONS,55575832,26/06/2024,630,Furniture Equipment,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,ALBANY OFFICE FURNITURE SOLUTIONS,55575689,25/06/2024,840,Furniture Equipment,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,ALBANY OFFICE FURNITURE SOLUTIONS,55575831,26/06/2024,566,Furniture Equipment,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,ANDY THORNTON LTD,55575877,26/06/2024,"2,098.00",Furniture Equipment,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,ARTIS CONSULTING LTD,55574801,13/06/2024,750,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,ASPIRE TECHNOLOGY SOLUTIONS,55577273,07/07/2024,"3,000.00",Furniture Equipment,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,ASPIRE TECHNOLOGY SOLUTIONS,55577296,09/07/2024,"3,996.26",Furniture Equipment,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,ASPIRE TECHNOLOGY SOLUTIONS,55575856,25/06/2024,"46,780.81",Furniture Equipment,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,BGP CONSULTING LIMITED,55574854,13/06/2024,"13,750.00",Consultant Civil Engineer,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,BLOOM PROCUREMENT SERVICES LTD,55573635,25/06/2024,"4,706.43",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,BUNZL CLEANING & HYGIENE SUPPLIES,55575859,25/06/2024,"1,120.32",Furniture Equipment,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,BUNZL CLEANING & HYGIENE SUPPLIES,55577099,09/07/2024,541.46,Furniture Equipment,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,CANDIVA ENTERPRISES LTD,55575118,31/07/2024,"1,250.00",Compensation Payments,Capital Expenditure,Capital Other
ECONOMIC GROWTH,CAPITAL PROJECTS,ENGLAND & LYLE CHARTERED TOWN PLANNERS,55576507,28/06/2024,715,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,EXPERT FIRE SOLUTIONS LIMITED,55577450,09/07/2024,"1,622.40",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,EXPERT FIRE SOLUTIONS LIMITED,55577230,09/07/2024,945.7,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,FLINT HIRE AND SUPPLY LTD,55573469,31/05/2024,807.1,Furniture Equipment,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,FLOWBIRD SMART CITY UK LTD,55575618,21/06/2024,"1,200.00",Dfc - Info & Communications Tech,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,NATURAL ENGLAND,55574336,10/06/2024,"52,391.70",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,NEWSQUEST MEDIA GROUP,55577209,09/07/2024,"3,396.48",Advertising,Capital Expenditure,Capital Other
ECONOMIC GROWTH,CAPITAL PROJECTS,NISBETS,55575621,21/06/2024,"4,214.76",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,NISBETS,55575880,26/06/2024,"1,098.34",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,NISBETS,55576446,28/06/2024,"1,599.90",Furniture Equipment,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,NISBETS,55576918,03/07/2024,909.88,Furniture Equipment,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,NLS SECURITY LIMITED,55577335,08/07/2024,"6,420.73",Furniture Equipment,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,QTS,55575711,07/06/2024,"15,000.15",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,SCAFFOLDING SUPPLIES LIMITED,55573999,04/06/2024,"3,611.12",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,SCHOTT REMOVALS TRANSPORT LTD,55576589,01/07/2024,"2,171.47",Removals,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,CAPITAL PROJECTS,SCHOTT REMOVALS TRANSPORT LTD,55574441,10/06/2024,720,Removals,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,CAPITAL PROJECTS,SCHOTT REMOVALS TRANSPORT LTD,55575629,21/06/2024,"2,340.00",Removals,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,CAPITAL PROJECTS,SCHOTT REMOVALS TRANSPORT LTD,55576483,27/06/2024,930,Removals,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,CAPITAL PROJECTS,SCURATOR LTD,55576433,28/06/2024,"1,050.00",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,THORNTON-FIRKIN & PARTNERS,55575864,25/06/2024,600,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,TOURISM UK LTD,55577064,10/07/2024,"8,424.00",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,WILLMOTT DIXON CONSTRUCTION LTD,55576104,05/07/2024,"1,002,256.94",Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,CAPITAL PROJECTS,WORKWELL,55577749,12/07/2024,"5,670.00",Furniture Equipment,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,ECONOMIC INITIATIVE,MTL SCAFFOLDING LTD,55574307,06/06/2024,"1,740.00",Consultants - Other,Capital Expenditure,Capital Fees
