Directorate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
Balance Sheet,Balance Sheet,AVC WISE LTD,55572730,23/05/2024,"1,671.25",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,CLYDE & CO,55571958,07/05/2024,759,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,DARLINGTON CREDIT UNION LIMITED,11162474,03/06/2024,"20,627.59",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,KENNEDYS LAW LLP,55571746,07/05/2024,525,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,KIDDIVOUCHERS LTD,55572973,14/06/2024,"1,503.25",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,MARSH LTD,55573251,30/05/2024,"15,710.24",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,MARSH LTD,55573253,30/05/2024,"1,120.00",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,NHS PENSIONS,11162460,03/06/2024,"1,572.26",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,PRUDENTIAL LOCAL GOVERNMENT,11162456,03/06/2024,"42,604.09",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,SALARY FINANCE,11162797,24/06/2024,"5,093.48",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,STANDARD LIFE,11162459,03/06/2024,"6,174.46",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,STOCKTON ON TEES BOROUGH COUNCIL,11162487,03/06/2024,726.89,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,THE DARLINGTON LABOUR GROUP,11162478,03/06/2024,"2,419.70",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,UNISON L04007,11162477,03/06/2024,"6,172.93",General Debits,NON-BUDGETED,NON BUDGETED
