Directorate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
Balance Sheet,Balance Sheet,AVC WISE LTD,55581613,21/08/2024,"1,709.06",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,DARLINGTON CREDIT UNION LIMITED,11163677,02/09/2024,"20,714.86",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,KIDDIVOUCHERS LTD,55581688,13/09/2024,"1,510.25",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,MAIDENDALE NURSERY,55581606,12/09/2024,"13,000.00",General Credits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,NHS PENSIONS,11163662,02/09/2024,"1,572.26",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,NORTHUMBRIAN HEALTHCARE NHS FOUNDATION TRUST,55580669,07/08/2024,"49,146.40",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,NORTHUMBRIAN HEALTHCARE NHS FOUNDATION TRUST,55580669,07/08/2024,"7,075.57",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,NORTHUMBRIAN HEALTHCARE NHS FOUNDATION TRUST,55580667,07/08/2024,"2,601.60",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,NORTHUMBRIAN HEALTHCARE NHS FOUNDATION TRUST,55580668,07/08/2024,"2,522.40",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,PRUDENTIAL LOCAL GOVERNMENT,11163658,02/09/2024,"40,835.96",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,RE:GEN SOLUTION,11163768,09/09/2024,679,Cis Deductions,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,SALARY FINANCE,11163898,24/09/2024,"5,669.46",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,STANDARD LIFE,11163661,02/09/2024,"7,947.96",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,THE EDUCATION VILLAGE ACADEMY TRUST,55581615,12/09/2024,"38,000.00",General Credits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,UNISON L04007,11163680,02/09/2024,"6,191.32",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,VIVUP,55582534,01/09/2024,"3,765.45",General Debits,NON-BUDGETED,NON BUDGETED
