columns,,text description,text servdesc,apar_name,voucher_no,voucher_date,amount,accdesc,text bal,text bals,
,,Directotate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,EASIBATHE LTD,11162078,01/05/2024,"5,202.41",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,EASIBATHE LTD,11162316,22/05/2024,"6,574.19",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,EASIBATHE LTD,11162392,24/05/2024,"5,894.12",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,EASIBATHE LTD,11162416,30/05/2024,"6,354.20",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,EASIBATHE LTD,11162421,30/05/2024,"7,828.36",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162300,17/05/2024,"6,480.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162266,16/05/2024,"6,240.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162075,01/05/2024,"6,512.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162069,01/05/2024,"7,092.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162019,01/05/2024,"7,828.50",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162013,01/05/2024,"6,911.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162017,01/05/2024,"6,801.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162018,01/05/2024,"6,560.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162085,02/05/2024,"7,450.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162081,02/05/2024,"8,210.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162009,01/05/2024,"6,085.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162059,01/05/2024,"6,174.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162060,01/05/2024,"6,922.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162062,01/05/2024,"5,850.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162064,01/05/2024,"7,228.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162051,01/05/2024,"12,831.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162053,01/05/2024,"7,232.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162055,01/05/2024,"5,470.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162057,01/05/2024,"7,202.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11162011,01/05/2024,"7,343.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11162015,01/05/2024,"6,873.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11162070,01/05/2024,"5,295.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11162076,01/05/2024,"5,821.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11162298,17/05/2024,"5,420.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11162391,24/05/2024,"4,879.50",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11162418,30/05/2024,"4,612.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11162419,30/05/2024,"7,618.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11162427,30/05/2024,"7,873.20",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,MDS JOINERY & BUILDING LTD,11162393,24/05/2024,"6,250.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,MDS JOINERY & BUILDING LTD,11162320,22/05/2024,"10,000.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,MDS JOINERY & BUILDING LTD,11162088,02/05/2024,580.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11162005,01/05/2024,"1,254.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11162007,01/05/2024,"3,311.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11162073,01/05/2024,"2,623.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11162388,24/05/2024,"2,817.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11162390,24/05/2024,"1,351.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11162293,17/05/2024,"1,005.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11162295,17/05/2024,995.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11162297,17/05/2024,"3,581.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11162265,16/05/2024,"4,672.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11162058,01/05/2024,"9,715.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11162387,24/05/2024,"3,630.00",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11162318,22/05/2024,"5,975.50",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11162424,30/05/2024,"2,908.70",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11162425,30/05/2024,"6,172.74",Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,AMP NORTH EAST LTD,55569860,30/04/2024,580.00,Consultant Structural,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,ARTIS CONSULTING LTD,55570116,30/04/2024,750.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,BLOOM PROCUREMENT SERVICES LTD,55569174,29/04/2024,"4,706.43",Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,CANDIVA ENTERPRISES LTD,55570220,14/05/2024,"1,250.00",Compensation Payments,Capital Expenditure,Capital Other,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,EDF ENERGY CUSTOMERS LTD,57704358,08/04/2024,"1,255.05",Fees - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,EDF ENERGY CUSTOMERS LTD,57704459,26/03/2024,"2,498.27",Fees - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,EDF ENERGY CUSTOMERS LTD,57704461,26/03/2024,"2,403.09",Fees - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,EDF ENERGY CUSTOMERS LTD,57704210,09/04/2024,"1,993.09",Fees - Other,Capital Expenditure,Capital Fees,
