Supplier,Transaction Number,Transaction Date,Payment Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
CREATIVE SUPPORT LIMITED,11165248,18/12/2024,19/12/2024,"7,323.20",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
DARLINGTON ASSOCIATION ON DISABILITY LTD,55590837,26/11/2024,17/12/2024,"21,241.50",Advocacy,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
DARLINGTON CITIZEN ADVICE BUREAU,11165239,18/12/2024,19/12/2024,"3,951.68",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
DARLINGTON CITIZEN ADVICE BUREAU,11165238,18/12/2024,19/12/2024,"3,075.20",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
DARLINGTON CITIZEN ADVICE BUREAU,55591648,20/11/2024,24/12/2024,"13,011.10",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
DARLINGTON YMCA FOYER,11165240,18/12/2024,19/12/2024,"25,735.16",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
FAMILY ACTION,11165241,18/12/2024,19/12/2024,"7,357.16",Services For Carers,SUPPLIES & SERVICES,SERVICES
FAMILY HELP NO 2 ACCOUNT,11165242,18/12/2024,19/12/2024,"6,413.64",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
FAMILY HELP NO 2 ACCOUNT,11165243,18/12/2024,19/12/2024,"2,146.28",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
FOUNDATION CENTRAL SERVICES,11165244,18/12/2024,19/12/2024,"12,634.28",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
FOUNDATION CENTRAL SERVICES,11165245,18/12/2024,19/12/2024,"10,718.68",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
HARBOUR,11165249,18/12/2024,19/12/2024,"7,156.88",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
HARBOUR,11165251,18/12/2024,19/12/2024,"9,917.44",Voluntary Associations,THIRD PARTY PAYMENTS,VOLUNTARY ASSOCIATIONS
HARBOUR,11165250,18/12/2024,19/12/2024,"2,550.96",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
HARTLEPOOL BOROUGH COUNCIL,55590102,18/11/2024,13/12/2024,"2,123.00",Employee Training Course Costs,EMPLOYEES,Indirect Employee Costs
HEALTHWATCH DARLINGTON,11165246,18/12/2024,19/12/2024,"5,884.84",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
HUMANKIND FORMERLY DISC,11165252,18/12/2024,19/12/2024,"11,653.76",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
HUMANKIND FORMERLY DISC,11165253,18/12/2024,19/12/2024,"9,568.08",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
KEYRING LIVING SUPPORT NETWORK,11165247,18/12/2024,19/12/2024,"3,629.08",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
KIM HENDERSON,11165155,12/12/2024,24/12/2024,"1,322.20",Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,626.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165013,01/12/2024,24/12/2024,786.28,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MISS CHLOE S R BOOCOCK,11165154,12/12/2024,24/12/2024,"1,322.20",Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
SUSAN WILLIAMS,11165153,12/12/2024,24/12/2024,"1,322.20",Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
TEESSIDE UNIVERSITY,55590492,22/11/2024,11/12/2024,750,Employee Training Course Costs,EMPLOYEES,Indirect Employee Costs
TEESSIDE UNIVERSITY,55590493,22/11/2024,11/12/2024,750,Employee Training Course Costs,EMPLOYEES,Indirect Employee Costs
TEESSIDE UNIVERSITY,55590494,22/11/2024,11/12/2024,750,Employee Training Course Costs,EMPLOYEES,Indirect Employee Costs
ADVANCE LEARNING PARTNERSHIP,11165223,18/12/2024,19/12/2024,575.4,Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
ALL SAINTS BLACKWELL PRE SCHOOL,11165357,23/12/2024,24/12/2024,"16,057.69",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
ALL SAINTS BLACKWELL PRE SCHOOL,11165144,11/12/2024,12/12/2024,910,Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
ALL SAINTS BLACKWELL PRE SCHOOL,11165294,23/12/2024,24/12/2024,"2,257.20",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
ALLYSON TODD,11165330,23/12/2024,24/12/2024,"5,016.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
ALLYSON TODD,11165395,23/12/2024,24/12/2024,"11,304.15",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
ALLYSON TODD,11165475,23/12/2024,24/12/2024,"4,950.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
AMBITO CARE & EDUCATION,55589146,01/09/2024,17/12/2024,"53,185.33",External Education Placements,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
BESPOKE EDUCATIONAL SUPPORT LIMITED,1113833,04/11/2024,05/12/2024,"3,200.00",Other Non Curriculum Slas,Non Resource Allocation,CENTRAL SUPPORT SERVICES
BETHANY OWEN,11165158,12/12/2024,13/12/2024,525,Pupil Transport Costs,TRANSPORT,PUBLIC TRANSPORT
BISHOPTON REDMARSHALL PRIMARY,11165214,18/12/2024,19/12/2024,"4,804.80",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
BOX-WELL LTD,1113861,05/12/2024,06/12/2024,"12,090.00",Visits,SUPPLIES & SERVICES,EXPENSES
BRITISH RED CROSS,1113802,02/12/2024,03/12/2024,692,Employee Training Course Costs,EMPLOYEES,Indirect Employee Costs
BROADWAY DAYCARE,11165296,23/12/2024,24/12/2024,"13,794.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
BROADWAY DAYCARE,11165417,23/12/2024,24/12/2024,"1,254.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
BROADWAY DAYCARE,11165445,23/12/2024,24/12/2024,"23,100.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
BROADWAY DAYCARE,11165359,23/12/2024,24/12/2024,"23,477.85",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
BUSY BEES CHILDRENS DAY NURSERY,11165451,23/12/2024,24/12/2024,"63,800.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
BUSY BEES CHILDRENS DAY NURSERY,11165366,23/12/2024,24/12/2024,"77,389.95",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
BUSY BEES CHILDRENS DAY NURSERY,11165423,23/12/2024,24/12/2024,"2,508.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
BUSY BEES CHILDRENS DAY NURSERY,11165302,23/12/2024,24/12/2024,"48,070.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
CARMEL COLLEGE,55590491,22/11/2024,20/12/2024,"14,370.40",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
CLAIRE FLOWERS,11165399,23/12/2024,24/12/2024,"1,739.10",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
CLAIRE FLOWERS,11165340,23/12/2024,24/12/2024,"1,254.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
COMPASS ROYSTON TRAVEL LTD,55590835,26/11/2024,17/12/2024,"4,000.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
COMPASS ROYSTON TRAVEL LTD,1113954,17/11/2024,17/12/2024,840,Educational Visits,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
COOL MILK AT SCHOOL,1114031,20/12/2024,24/12/2024,601.8,Milk - Nursery Education,SUPPLIES & SERVICES,CATERING
CORONA ENERGY LTD,57730342,17/12/2024,24/12/2024,"1,141.88",Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730346,17/12/2024,24/12/2024,"3,594.16",Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730375,17/12/2024,24/12/2024,"1,943.32",Gas,PREMISES,ENERGY COSTS
CORPORATION RD PRIMARY SCHOOL,11165215,18/12/2024,19/12/2024,"4,435.90",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
COSY CORNER CHILDCARE,11165356,23/12/2024,24/12/2024,"1,254.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
COSY CORNER CHILDCARE,11165502,23/12/2024,24/12/2024,"1,650.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
DANESMOOR HOUSE DAY NURSERY,11165419,23/12/2024,24/12/2024,"1,254.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
DANESMOOR HOUSE DAY NURSERY,11165446,23/12/2024,24/12/2024,"33,000.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
DANESMOOR HOUSE DAY NURSERY,11165360,23/12/2024,24/12/2024,"54,607.74",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
DANESMOOR HOUSE DAY NURSERY,11165297,23/12/2024,24/12/2024,"26,334.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
DARLINGTON COLLEGE,11165298,23/12/2024,24/12/2024,"15,925.80",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
DARLINGTON COLLEGE,11165361,23/12/2024,24/12/2024,"35,564.60",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
DARLINGTON COLLEGE,11165447,23/12/2024,24/12/2024,"14,630.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
DARLINGTON COLLEGE,11165420,23/12/2024,24/12/2024,"5,016.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
DARLINGTON LEARNING ZONE,55591182,11/11/2024,20/12/2024,"4,995.00",Alternative Education Provision,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
DAWSON RENTALS BUS & COACH LTD,55591525,01/12/2024,24/12/2024,"1,940.59",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
DAWSON RENTALS BUS & COACH LTD,55591526,01/12/2024,24/12/2024,"1,682.97",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
DAWSON RENTALS BUS & COACH LTD,55591524,01/12/2024,24/12/2024,"1,698.04",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
DAWSON RENTALS BUS & COACH LTD,55591527,01/12/2024,24/12/2024,"1,678.49",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
DAWSON RENTALS BUS & COACH LTD,55591527,01/12/2024,24/12/2024,"1,678.49",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
DAWSON RENTALS BUS & COACH LTD,55591527,01/12/2024,24/12/2024,"2,046.12",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
DAWSON RENTALS BUS & COACH LTD,55589870,31/10/2024,24/12/2024,"1,682.97",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
DELTA COACHES LTD,55591258,29/11/2024,18/12/2024,"3,990.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
DELTA COACHES LTD,55591257,29/11/2024,18/12/2024,960,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
E TRAVEL NORTHEAST LTD,55589900,14/11/2024,12/12/2024,"10,450.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
EASTBOURNE PRE-SCHOOL,11165435,23/12/2024,24/12/2024,"8,778.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
EASTBOURNE PRE-SCHOOL,11165461,23/12/2024,24/12/2024,990,Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
EASTBOURNE PRE-SCHOOL,11165380,23/12/2024,24/12/2024,"21,448.90",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
EASTBOURNE PRE-SCHOOL,11165316,23/12/2024,24/12/2024,"4,765.20",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
EDF ENERGY CUSTOMERS LTD,57727297,31/10/2024,03/12/2024,"1,113.65",Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727181,01/11/2024,03/12/2024,"1,891.71",Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727173,01/11/2024,03/12/2024,"5,294.89",Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727331,31/10/2024,03/12/2024,"2,623.33",Electricity,PREMISES,ENERGY COSTS
EMPOWERING LEARNING,1113874,05/12/2024,10/12/2024,"1,300.00",Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
EMPOWERING LEARNING,1113875,05/12/2024,10/12/2024,"1,300.00",Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
EMPOWERING LEARNING,1113876,05/12/2024,10/12/2024,"1,371.50",Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
EMPOWERING LEARNING,1113998,18/12/2024,19/12/2024,"1,371.50",Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
EMPOWERING LEARNING,1113989,18/12/2024,19/12/2024,"1,097.20",Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
ETAC LIMITED,55589272,08/11/2024,10/12/2024,"2,962.00",Equipment Specialist Care,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
EVERYDAY LANGUAGE SOLUTIONS,55590613,31/10/2024,24/12/2024,"1,657.20",Interpretation & Translation Fees,SUPPLIES & SERVICES,SERVICES
EVOUCHERS LTD,1113891,10/12/2024,10/12/2024,"1,110.00",Food,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
FERNDENE LODGE NURSERY,11165299,23/12/2024,24/12/2024,"43,472.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
FERNDENE LODGE NURSERY,11165362,23/12/2024,24/12/2024,"52,810.67",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
FERNDENE LODGE NURSERY,11165448,23/12/2024,24/12/2024,"59,400.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
FIRTHMOOR PRIMARY SCHOOL,11165217,18/12/2024,19/12/2024,678.5,Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
FLEX SPACE,55591537,01/01/2025,24/12/2024,"1,287.66",Rent Of Facilities,PREMISES,RENTS
FLEX SPACE,55591539,01/01/2025,24/12/2024,"1,287.66",Rent Of Facilities,PREMISES,RENTS
FRONTLINE TAXIS,55589891,14/11/2024,12/12/2024,"1,518.10",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
FRONTLINE TAXIS,55589899,14/11/2024,12/12/2024,"1,332.28",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
FRONTLINE TAXIS,55589518,01/10/2024,03/12/2024,"1,518.10",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
FRONTLINE TAXIS,55586500,01/10/2024,03/12/2024,"1,402.40",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
GARNETTS LTD,55590480,22/11/2024,12/12/2024,"3,610.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
GILLIAN BROWN,11165414,23/12/2024,24/12/2024,869.55,Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
GILLIAN BROWN,11165500,23/12/2024,24/12/2024,"3,300.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
GILLIAN BROWN,11165354,23/12/2024,24/12/2024,"2,508.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
GL ASSESSMENT,1113913,12/12/2024,13/12/2024,"1,300.00",Subscriptions,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
GURNEY PEASE PRIMARY SCHOOL,11165220,18/12/2024,19/12/2024,"1,138.34",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
Heighington CE Primary,11165234,18/12/2024,19/12/2024,"2,148.04",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
HELEN ROBSON,11165488,23/12/2024,24/12/2024,"1,650.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
HELEN ROBSON,11165405,23/12/2024,24/12/2024,"2,405.76",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
HOLY FAMILY SCHOOL,11165222,18/12/2024,19/12/2024,"4,115.30",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
HOPWELLS LIMITED,1113931,13/11/2024,17/12/2024,525.32,Catering Provisions,SUPPLIES & SERVICES,CATERING
HTSTG T/A SCHOOL TRANSPORT GROUP LTD,55591268,29/11/2024,24/12/2024,"2,080.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
HTSTG T/A SCHOOL TRANSPORT GROUP LTD,55591271,29/11/2024,24/12/2024,"1,024.80",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
HTSTG T/A SCHOOL TRANSPORT GROUP LTD,55591269,29/11/2024,18/12/2024,"3,820.80",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
HTSTG T/A SCHOOL TRANSPORT GROUP LTD,55591270,29/11/2024,18/12/2024,"1,710.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
HTSTG T/A SCHOOL TRANSPORT GROUP LTD,55591267,29/11/2024,18/12/2024,"1,480.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
HTSTG T/A SCHOOL TRANSPORT GROUP LTD,55591266,29/11/2024,24/12/2024,"1,195.80",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
HTSTG T/A SCHOOL TRANSPORT GROUP LTD,55589946,28/10/2024,06/12/2024,"3,629.76",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
I MAILE T/A FLORA HOUSE NURSERY,11165300,23/12/2024,24/12/2024,"27,086.40",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
I MAILE T/A FLORA HOUSE NURSERY,11165363,23/12/2024,24/12/2024,"20,724.28",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
I MAILE T/A FLORA HOUSE NURSERY,11165449,23/12/2024,24/12/2024,"47,630.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
I MAILE T/A FLORA HOUSE NURSERY,11165421,23/12/2024,24/12/2024,"1,254.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
IAN NOTMAN,55590232,19/11/2024,17/12/2024,"2,325.20",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
IAN NOTMAN,55590233,19/11/2024,17/12/2024,"1,423.20",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
IAN NOTMAN,55590268,19/11/2024,17/12/2024,"1,891.45",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
IAN NOTMAN,55590235,19/11/2024,17/12/2024,"2,740.80",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
IAN NOTMAN,55590269,19/11/2024,17/12/2024,"2,462.40",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
IAN NOTMAN,55590270,19/11/2024,17/12/2024,"1,900.80",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
IAN NOTMAN,55590267,19/11/2024,17/12/2024,"1,142.28",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
IAN NOTMAN,55590271,19/11/2024,17/12/2024,"1,570.80",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
IT SYSTEMS & SUPPORT LIMITED,1113991,18/12/2024,19/12/2024,720,Internet Costs,SUPPLIES & SERVICES,COMMUNICATIONS & COMPUTING
IT SYSTEMS & SUPPORT LIMITED,1113992,18/12/2024,19/12/2024,519.3,Internet Costs,SUPPLIES & SERVICES,COMMUNICATIONS & COMPUTING
IT SYSTEMS & SUPPORT LIMITED,1113867,05/12/2024,06/12/2024,"2,953.02",Internet Costs,SUPPLIES & SERVICES,COMMUNICATIONS & COMPUTING
IT SYSTEMS & SUPPORT LIMITED,1113866,05/12/2024,06/12/2024,686.84,Building Repairs And Maintenance,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
J & C COACHES LTD,55591020,28/11/2024,17/12/2024,"2,640.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
J & C COACHES LTD,55591022,28/11/2024,17/12/2024,"3,800.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
J & C COACHES LTD,55591023,28/11/2024,17/12/2024,"4,180.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
J & C COACHES LTD,55591034,28/11/2024,17/12/2024,"3,752.50",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
J & C COACHES LTD,55591021,28/11/2024,17/12/2024,"3,800.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
J & C COACHES LTD,55591032,28/11/2024,17/12/2024,"3,752.50",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
J & C COACHES LTD,55591033,28/11/2024,17/12/2024,"4,180.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
J & C COACHES LTD,55591036,28/11/2024,17/12/2024,"4,180.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
J & C COACHES LTD,55591261,29/11/2024,19/12/2024,"4,400.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
JENIFER THOMPSON,11165499,23/12/2024,24/12/2024,"11,550.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
JENIFER THOMPSON,11165443,23/12/2024,24/12/2024,"1,254.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
JENIFER THOMPSON,11165353,23/12/2024,24/12/2024,"1,254.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
JENX LTD,55589991,14/11/2024,12/12/2024,"3,155.00",Equipment Specialist Care,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
JENX LTD,55590246,19/11/2024,17/12/2024,"3,272.00",Equipment Specialist Care,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
JO WARNER CONSULTANT,1113822,03/12/2024,04/12/2024,550,Data Analysis Sla,Non Resource Allocation,CENTRAL SUPPORT SERVICES
JOSEPH TEESDALE,55590591,11/12/2024,12/12/2024,900.14,Pupil Transport Costs,TRANSPORT,PUBLIC TRANSPORT
JUNIPER EDUCATION SERVICES LTD,1113825,03/12/2024,04/12/2024,943,Subscriptions,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
KAREN DAVISON CHILDMINDER,11165407,23/12/2024,24/12/2024,579.69,Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
KAREN DAVISON CHILDMINDER,11165490,23/12/2024,24/12/2024,550,Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
KATY STEPHENSON,11165467,23/12/2024,24/12/2024,"4,950.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
KATY STEPHENSON,11165390,23/12/2024,24/12/2024,"1,507.22",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
KIDS 1ST DAY NURSERY DARLINGTON,11165452,23/12/2024,24/12/2024,"90,200.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
KIDS 1ST DAY NURSERY DARLINGTON,11165367,23/12/2024,24/12/2024,"61,969.93",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
KIDS 1ST DAY NURSERY DARLINGTON,11165424,23/12/2024,24/12/2024,"50,160.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
KIDS 1ST DAY NURSERY DARLINGTON,11165303,23/12/2024,24/12/2024,"8,360.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
LAURA JANE STRICKLAND,11165341,23/12/2024,24/12/2024,"2,508.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
LAURA JANE STRICKLAND,11165484,23/12/2024,24/12/2024,"4,950.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
LAURA JANE STRICKLAND,11165401,23/12/2024,24/12/2024,"1,217.37",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
LEARNING TRADES LIMITED,1113905,12/12/2024,13/12/2024,878.4,Visits,SUPPLIES & SERVICES,EXPENSES
LINGFIELD EDUCATION TRUST,1113908,12/12/2024,13/12/2024,"1,031.50",Furniture,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
LITTLE  LODGES,11165397,23/12/2024,24/12/2024,869.55,Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
LITTLE  LODGES,11165480,23/12/2024,24/12/2024,"6,600.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
LITTLE  LODGES,11165336,23/12/2024,24/12/2024,"6,270.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
LITTLE ACORNS,11165304,23/12/2024,24/12/2024,"12,456.40",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
LITTLE ACORNS,11165425,23/12/2024,24/12/2024,"2,508.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
LITTLE ACORNS,11165368,23/12/2024,24/12/2024,"39,767.42",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
LITTLE ACORNS,11165453,23/12/2024,24/12/2024,"1,100.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
LITTLE LINGFIELDS LTD,11165454,23/12/2024,24/12/2024,"24,750.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
