Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
ALPHATEC HOLDINGS LTD,55577924,18/06/2024,"4,267.65",General Debits,NON-BUDGETED,NON BUDGETED
AVC WISE LTD,55578431,22/07/2024,"1,770.04",General Debits,NON-BUDGETED,NON BUDGETED
BEACHCROFT LLP,55580372,23/08/2024,"2,925.00",General Debits,NON-BUDGETED,NON BUDGETED
KIDDIVOUCHERS LTD,55579186,13/08/2024,"1,400.25",General Debits,NON-BUDGETED,NON BUDGETED
LINK ASSET SERVICES,55578910,24/07/2024,585,Brokerage - Long Term Loans,NON-BUDGETED,NON BUDGETED
NORTHUMBRIAN HEALTHCARE NHS FOUNDATION TRUST,55576997,03/07/2024,"1,268.40",General Debits,NON-BUDGETED,NON BUDGETED
NORTHUMBRIAN HEALTHCARE NHS FOUNDATION TRUST,55576887,03/07/2024,"37,634.25",General Debits,NON-BUDGETED,NON BUDGETED
NORTHUMBRIAN HEALTHCARE NHS FOUNDATION TRUST,55576887,03/07/2024,"5,451.76",General Debits,NON-BUDGETED,NON BUDGETED
NORTHUMBRIAN HEALTHCARE NHS FOUNDATION TRUST,55576928,03/07/2024,"1,797.50",General Debits,NON-BUDGETED,NON BUDGETED
SALARY FINANCE,11163418,23/08/2024,"5,822.15",General Debits,NON-BUDGETED,NON BUDGETED
VIVUP,55579846,01/08/2024,"5,434.65",General Debits,NON-BUDGETED,NON BUDGETED
WALLACE FABRICATION LTD,55580341,30/08/2024,"2,000.00",Cis Deductions,NON-BUDGETED,NON BUDGETED
ZURICH INSURANCE COMPANY,55578356,01/07/2024,"19,741.18",General Debits,NON-BUDGETED,NON BUDGETED
ZURICH MUNICPAL,55578146,02/08/2024,"47,902.07",General Debits,NON-BUDGETED,NON BUDGETED
EASIBATHE LTD,11163383,20/08/2024,"8,092.21",Capital Grants,Capital Expenditure,Capital Other
EASIBATHE LTD,11163384,20/08/2024,"11,102.80",Capital Grants,Capital Expenditure,Capital Other
EASIBATHE LTD,11163407,22/08/2024,"2,297.96",Capital Grants,Capital Expenditure,Capital Other
HES GROUP UK LTD,11163379,20/08/2024,"6,770.00",Capital Grants,Capital Expenditure,Capital Other
HES GROUP UK LTD,11163373,20/08/2024,"5,682.00",Capital Grants,Capital Expenditure,Capital Other
HES GROUP UK LTD,11163377,20/08/2024,"5,660.00",Capital Grants,Capital Expenditure,Capital Other
HES GROUP UK LTD,11163411,22/08/2024,"5,992.00",Capital Grants,Capital Expenditure,Capital Other
HES GROUP UK LTD,11163413,22/08/2024,"6,275.00",Capital Grants,Capital Expenditure,Capital Other
HES GROUP UK LTD,11163415,22/08/2024,"4,430.00",Capital Grants,Capital Expenditure,Capital Other
HES GROUP UK LTD,11163236,02/08/2024,"5,555.00",Capital Grants,Capital Expenditure,Capital Other
KEITH WALKER DEVELOPMENTS LTD,11163371,20/08/2024,"4,787.94",Capital Grants,Capital Expenditure,Capital Other
M & R DEVELOPMENTS & CONTRACTORS LTD,11163238,02/08/2024,"6,313.00",Capital Grants,Capital Expenditure,Capital Other
M & R DEVELOPMENTS & CONTRACTORS LTD,11163301,09/08/2024,"8,246.00",Capital Grants,Capital Expenditure,Capital Other
M & R DEVELOPMENTS & CONTRACTORS LTD,11163299,09/08/2024,"8,716.00",Capital Grants,Capital Expenditure,Capital Other
M & R DEVELOPMENTS & CONTRACTORS LTD,11163378,20/08/2024,"2,900.00",Capital Grants,Capital Expenditure,Capital Other
M & R DEVELOPMENTS & CONTRACTORS LTD,11163375,20/08/2024,"7,310.00",Capital Grants,Capital Expenditure,Capital Other
M & R DEVELOPMENTS & CONTRACTORS LTD,55579616,25/04/2024,"1,072.50",Capital Grants,Capital Expenditure,Capital Other
MDS JOINERY & BUILDING LTD,11163234,02/08/2024,"9,360.00",Capital Grants,Capital Expenditure,Capital Other
PEART ACCESS RAMPS LTD,11163409,22/08/2024,"1,646.00",Capital Grants,Capital Expenditure,Capital Other
PEART ACCESS RAMPS LTD,11163404,22/08/2024,"1,131.00",Capital Grants,Capital Expenditure,Capital Other
TK ACCESS SOLUTION LTD,11163405,22/08/2024,"23,106.01",Capital Grants,Capital Expenditure,Capital Other
TK ACCESS SOLUTION LTD,11163381,20/08/2024,"7,982.80",Capital Grants,Capital Expenditure,Capital Other
TK ACCESS SOLUTION LTD,11163241,02/08/2024,"2,778.28",Capital Grants,Capital Expenditure,Capital Other
NORTH EAST TRUCK & VAN LTD,55576750,25/07/2024,"27,813.50",Vehicles,Capital Expenditure,Capital Equipment
NORTH EAST TRUCK & VAN LTD,55576751,24/06/2024,"27,813.50",Vehicles,Capital Expenditure,Capital Equipment
ALBANY OFFICE FURNITURE SOLUTIONS,55576949,03/07/2024,"2,715.00",Furniture Equipment,Capital Expenditure,Capital Equipment
ALBANY OFFICE FURNITURE SOLUTIONS,55577516,11/07/2024,"5,115.00",Furniture Equipment,Capital Expenditure,Capital Equipment
ALBANY OFFICE FURNITURE SOLUTIONS,55577667,10/07/2024,"1,190.00",Furniture Equipment,Capital Expenditure,Capital Equipment
ALBANY OFFICE FURNITURE SOLUTIONS,55578779,25/07/2024,"1,590.00",Furniture Equipment,Capital Expenditure,Capital Equipment
