,Expenditure over £500,,,,,,,,,
,<<For the period from 01 April 2023 to 30 June 2023>>,,,,,,,,,
,,,,,,,,,,
Client,Service Area,Expenditure Catergory,,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
Oxford City Council,General Fund,Difference A/c,,Z910198,27/06/2023,1092374 - 3,0.01,Revenue,,
Oxford City Council,General Fund,Difference A/c,,Z910198,27/06/2023,1092594 - 13,-0.01,Revenue,,
Oxford City Council,General Fund,Compensation,,D3805,02/02/2001,40000548 - 1,"4,860.67",Revenue,20007826,ZURICH MUNICIPAL
Oxford City Council,General Fund,Leasing Charges - Vehicles & Computers,,H7201,02/02/2001,40000550 - 2,"28,914.96",Revenue,20007885,LOMBARD NORTH CENTRAL PLC
Oxford City Council,General Fund,Hire of Rooms & Buildings,,K9540,01/02/2001,40000553 - 1,36.9,Revenue,20000000,GENERAL EXPENSES
Oxford City Council,General Fund,Temporary Bureau Staffing,,A0108,02/02/2001,40000562 - 2,297.3,Revenue,20007867,DRIVER HIRE
Oxford City Council,General Fund,Postage & Carriage,,D3501,01/02/2001,40000564 - 2,21,Revenue,20000005,OXFORD DIRECT SERVICES LTD - (QL ONLY)
Oxford City Council,General Fund,Temporary Bureau Staffing,,A0108,02/02/2001,40000581 - 2,18.6,Revenue,20000200,Gill Cooke Personnel Ltd T A The Recruitment Group
Oxford City Council,General Fund,Temporary Bureau Staffing,,A0108,02/02/2001,40000583 - 2,18.6,Revenue,20000200,Gill Cooke Personnel Ltd T A The Recruitment Group
Oxford City Council,General Fund,Stamp Duty & Other Legal Fees,,D3415,02/02/2001,40000589 - 2,"11,334.64",Revenue,20007872,WRAGGE & CO
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),,Z400404,25/04/2023,46361156 - 0,835.2,Revenue,20000007,SUNDRY/PERIODIC DEBTOR REFUNDS
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),,Z400404,25/04/2023,46361157 - 1,"1,215.33",Revenue,20000007,SUNDRY/PERIODIC DEBTOR REFUNDS
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),,Z400404,16/05/2023,46361419 - 0,"4,301.02",Revenue,20000007,SUNDRY/PERIODIC DEBTOR REFUNDS
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),,Z400404,16/05/2023,46361420 - 1,"1,750.00",Revenue,20000007,SUNDRY/PERIODIC DEBTOR REFUNDS
