Organisation Name,Organisation Code,Directorate / Service where expenditure Incurred,Supplier Name,Supplier ID,Payment Date,Transaction Number,Net Amount,Expenditure Proclass Code,Expenditure Proclass Category Level 1,Expenditure Proclass Category Level 2,Expenditure Proclass Category Level 3,Card Transaction Yes / No,Capital / Revenue,Service Division Label,Account Code,Account Code Description,Cost Centre Code,Cost Centre Description,Invoice Date,MCC Code,MCC Category,Ledger Year,Ledger Period,LA Short Name,BVACOP Group
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,HENSHAWS SOCIETY FOR BLIND PEOPLE,62539,03/12/2024,10642742,14827.75,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,4037,"Professional, Consultancy and Hired Services",30433,CIOC-EXTERNAL RESIDENTIAL,06/02/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,HENSHAWS SOCIETY FOR BLIND PEOPLE,62539,03/12/2024,10642745,14827.75,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,4037,"Professional, Consultancy and Hired Services",30433,CIOC-EXTERNAL RESIDENTIAL,15/04/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",BLOOM PROCUREMENT SERVICES LTD,63038,03/12/2024,10643971,7800.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOUSING & FAIRER STOCKTON,4037,"Professional, Consultancy and Hired Services",50944,STRATEGIC HOUSING TEAM,17/10/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,THIRTEEN,35838,03/12/2024,10644576,559.88,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,4037,"Professional, Consultancy and Hired Services",21153,SUPPORTED ACCOMMODATION,01/10/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",STOCKTON & DISTRICT ADVICE & INFO SERVICE,35682,04/12/2024,10645342,30000.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,ENVIRONMENT & LEISURE,4037,"Professional, Consultancy and Hired Services",59059,WARM HOMES HEALTHY PEOPLE FUND,14/10/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",CLEVELAND FIRE AUTHORITY,33972,10/12/2024,10645615,13000.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,ENVIRONMENT & LEISURE,4037,"Professional, Consultancy and Hired Services",59059,WARM HOMES HEALTHY PEOPLE FUND,18/10/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,REACH PUBLISHING SERVICES LTD,61873,10/12/2024,10645800,529.92,191000,Facilities & Management Services,Advertising,Not Classified,no,REVENUE,COMMUNICATIONS,4030,Advertising / Publicity,60064,PLANNING NOTICES,20/10/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,FR365 LTD,78201,03/12/2024,10646161,1000.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,PROCUREMENT & GOVERNANCE,4037,"Professional, Consultancy and Hired Services",40021,PROCUREMENT & GOVERNANCE TEAM,25/10/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",FOOL'S PARADISE LTD,34284,24/12/2024,10646281,1765.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"CULTURE, LIBRARIES & EVENTS",4037,"Professional, Consultancy and Hired Services",11290,STOCKTON SPARKLES,28/11/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",MCCARTHY PUBLISHING LIMITED,35247,05/12/2024,10646390,980.00,191000,Facilities & Management Services,Advertising,Not Classified,no,REVENUE,"CULTURE, LIBRARIES & EVENTS",4037,"Professional, Consultancy and Hired Services",20154,MUSEUMS MANAGEMENT & PRESTON HALL,14/10/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",BLOOM PROCUREMENT SERVICES LTD,63038,03/12/2024,10646459,1300.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOUSING & FAIRER STOCKTON,4037,"Professional, Consultancy and Hired Services",50944,STRATEGIC HOUSING TEAM,12/11/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,XENTRALL,UNIT4 BUSINESS SOFTWARE LIMITED,36550,10/12/2024,10646479,77193.61,271501,Information Communication Technology,,,no,REVENUE,TRANSACTIONAL FINANCE & HR,4021,ICT Costs,90045,TRANSACTIONAL FINANCE,13/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,XENTRALL,CANON (UK) LTD,33052,04/12/2024,10646483,643.33,192000,Facilities & Management Services,Reprographics,Not Classified,no,REVENUE,ICT AND DESIGN & PRINT,4009,"Equipment, Furniture & Materials",90042,D&P COPYING,06/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH CAPITAL,IDENTITY CONSULT LTD,66530,06/12/2024,10646583,1710.00,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,TOWN CENTRE INVESTMENT,C210,PROFESSIONAL & CONSULTANCY,C2178,PRESTON PARK (LUF),31/10/2024,0,0,2024,202409,SBC,
