Organisation Name,Organisation Code,Directorate / Service where expenditure Incurred,Supplier Name,Supplier ID,Payment Date,Transaction Number,Net Amount,Expenditure Proclass Code,Expenditure Proclass Category Level 1,Expenditure Proclass Category Level 2,Expenditure Proclass Category Level 3,Card Transaction Yes / No,Capital / Revenue,Service Division Label,Account Code,Account Code Description,Cost Centre Code,Cost Centre Description,Invoice Date,MCC Code,MCC Category,Ledger Year,Ledger Period,LA Short Name
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,REDWORTH HALL HOTEL,35408,02/07/2024,8203681,3912.50,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4018,Room/Facility Hire,20332,PRIM HEAD CONSULTATION,28/06/2024,0,0,2024,202403,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,STAFF WELL BEING LTD T/A STILL HUMAN,77892,03/07/2024,8203764,600.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4037,"Professional, Consultancy and Hired Services",20332,PRIM HEAD CONSULTATION,02/07/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,PETER SHEAHAN,65082,09/07/2024,8203856,3280.50,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,02/07/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,DARAN CROFTS,76144,09/07/2024,8203859,1800.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,02/07/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,LISA YATES,60050,05/07/2024,8203862,2126.18,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,01/07/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,PD LEADERSHIP CONSULTING LTD,79157,17/07/2024,8204459,2000.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4037,"Professional, Consultancy and Hired Services",20332,PRIM HEAD CONSULTATION,16/07/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,PETER SHEAHAN,65082,19/07/2024,8204698,3038.05,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,16/07/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,DARAN CROFTS,76144,19/07/2024,8204705,1260.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,16/07/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,LISA YATES,60050,19/07/2024,8204708,1627.75,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,16/07/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",NHS NORTH OF ENGLAND  COMMISSIONING SUPPORT UNIT,78321,31/07/2024,10625557,6400.41,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,PUBLIC HEALTH,4037,"Professional, Consultancy and Hired Services",30859,ASST DIRECTOR OF PUBLIC HEALTH & TEAM,07/03/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH,PROUDREED REAL ESTATE LTD,71240,09/07/2024,10628468,-22863.46,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,INCLUSIVE GROWTH & DEVELOPMENT,4037,"Professional, Consultancy and Hired Services",10449,THORNABY TOWN CENTRE,08/04/2024,0,0,2024,202401,SBC
