Organisation Name,Organisation Code,Directorate / Service where expenditure Incurred,Supplier Name,Supplier ID,Payment Date,Transaction Number,Net Amount,Expenditure Proclass Code,Expenditure Proclass Category Level 1,Expenditure Proclass Category Level 2,Expenditure Proclass Category Level 3,Card Transaction Yes / No,Capital / Revenue,Service Division Label,Account Code,Account Code Description,Cost Centre Code,Cost Centre Description,Invoice Date,MCC Code,MCC Category,Ledger Year,Ledger Period,LA Short Name
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,PETER SHEAHAN,65082,10/09/2024,8205315,2410.50,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,03/09/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,MOTIF 8 EMBROIDERY & PRINT LTD,38502,06/09/2024,8205317,2312.50,140000,Clothing,Not Classified,Not Classified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,02/08/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,MOTIF 8 EMBROIDERY & PRINT LTD,38502,06/09/2024,8205317,2108.40,140000,Clothing,Not Classified,Not Classified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,02/08/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,LISA YATES,60050,06/09/2024,8205318,700.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,02/09/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,XENONEX LTD,53392,26/09/2024,8206234,1772.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4037,"Professional, Consultancy and Hired Services",20332,PRIM HEAD CONSULTATION,19/09/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,06/09/2024,10634403,7122.33,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,16/06/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,06/09/2024,10634934,6131.87,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,1140,Pay - Agency Staff & External Salary Contributions,30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,23/06/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH CAPITAL,ECO SURV LTD,61479,06/09/2024,10635313,1370.00,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,TOWN CENTRE INVESTMENT,C210,PROFESSIONAL & CONSULTANCY,C2178,PRESTON PARK (LUF),20/06/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH CAPITAL,ESH CONSTRUCTION LIMITED,34802,19/09/2024,10635999,17666.22,391100,"Works - Construction, Repair & Maintenance",Buildings,Not Classified,no,CAPITAL,TOWN CENTRE INVESTMENT,C201,CONTRACTOR PAYMENTS,C2177,YARM PUBLIC REALM (LUF),30/06/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",KILLGERM CHEMICALS LTD,34716,20/09/2024,10636050,637.06,180000,Environmental Services,Not Classified,Not Classified,no,REVENUE,COMMUNITY SAFETY & REGULATED SERVICES,4009,"Equipment, Furniture & Materials",50021,"EH - ANIMAL HEALTH, WELFARE & PEST CONTROL",28/06/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,06/09/2024,10636200,6353.71,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,1140,Pay - Agency Staff & External Salary Contributions,30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,30/06/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,06/09/2024,10636241,5900.38,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,28/06/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,AD ASTRA ACADEMY TRUST,68814,12/09/2024,10636723,2584.50,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"EDUCATION, INCLUSION AND ACHEIVEMENT",4037,"Professional, Consultancy and Hired Services",20077,SCITT,08/07/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,06/09/2024,10636950,5712.81,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,14/07/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SANCTUARY HOUSING ASSOCIATION,62350,06/09/2024,10637083,-507.26,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"SAFEGUARDING, EARLY HELP & CIOC",5014,Private Contractors,21153,SUPPORTED ACCOMMODATION,08/07/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,THIRTEEN,35838,04/09/2024,10637377,559.88,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"SAFEGUARDING, EARLY HELP & CIOC",4037,"Professional, Consultancy and Hired Services",21153,SUPPORTED ACCOMMODATION,16/07/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH,PICTO SIGN SOLUTIONS LTD,71850,04/09/2024,10637414,980.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,TOWN CENTRE INVESTMENT,4037,"Professional, Consultancy and Hired Services",10087,TOWN CENTRE DEVELOPMENT TEAM,16/07/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"FINANCE, DEVELOPMENT & REGEN",CIVICA UK LIMITED,33979,18/09/2024,10637640,-2143.48,271501,Information Communication Technology,,,no,REVENUE,"REVS, BENS & ADMIN",4021,ICT Costs,40356,STOCKTON COLLECTIONS,30/07/2024,0,0,2024,202405,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH CAPITAL,LUCION ENVIRONMENTAL LLP,36731,03/09/2024,10637774,810.00,391100,"Works - Construction, Repair & Maintenance",Buildings,Not Classified,no,CAPITAL,TOWN CENTRE INVESTMENT,C201,CONTRACTOR PAYMENTS,C2178,PRESTON PARK (LUF),22/07/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,06/09/2024,10637963,5401.60,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,21/07/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,NORTH EAST REGIONAL EMPLOYERS ORGANISATION,35052,24/09/2024,10638089,516.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HR,4037,"Professional, Consultancy and Hired Services",40226,DBS CHECKS,05/08/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,NORTH EAST REGIONAL EMPLOYERS ORGANISATION,35052,24/09/2024,10638089,4750.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HR,4037,"Professional, Consultancy and Hired Services",40226,DBS CHECKS,05/08/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,HARTLEPOOL BOROUGH COUNCIL,33131,03/09/2024,10638096,23000.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"SAFEGUARDING, EARLY HELP & CIOC",4037,"Professional, Consultancy and Hired Services",30188,CHILDREN'S HUB,18/07/2024,0,0,2024,202406,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH CAPITAL,STAINTON LIGHTING DESIGN SERVICES,63093,03/09/2024,10638196,1170.01,391400,"Works - Construction, Repair & Maintenance",Roads,Not Classified,no,CAPITAL,TOWN CENTRE INVESTMENT,C210,PROFESSIONAL & CONSULTANCY,C2176,YARM CYCLE WAYS (LUF),24/07/2024,0,0,2024,202406,SBC
