Organisation Name,Organisation Code,Directorate / Service where expenditure Incurred,Supplier Name,Supplier ID,Payment Date,Transaction Number,Net Amount,Expenditure Proclass Code,Expenditure Proclass Category Level 1,Expenditure Proclass Category Level 2,Expenditure Proclass Category Level 3,Card Transaction Yes / No,Capital / Revenue,Service Division Label,Account Code,Account Code Description,Cost Centre Code,Cost Centre Description,Invoice Date,MCC Code,MCC Category,Ledger Year,Ledger Period,LA Short Name
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,COMMUNITY SERVICES & TRANSPORT CAPITAL,CLEVELAND TIMBER SUPPLIES LTD,33723,06/08/2024,10576401,632.19,100000,Building Construction Materials,Not Classified,Not Classified,no,CAPITAL,TRANSPORTATION,C300,EQUIPMENT,C1059,PUBLIC RIGHT OF WAY IMPROVEMENTS,11/08/2022,0,0,2022,202206,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,COMMUNITY SERVICES & TRANSPORT CAPITAL,CLEVELAND TIMBER SUPPLIES LTD,33723,06/08/2024,10586186,-804.96,100000,Building Construction Materials,Not Classified,Not Classified,no,CAPITAL,TRANSPORTATION,C300,EQUIPMENT,C1059,PUBLIC RIGHT OF WAY IMPROVEMENTS,30/11/2022,0,0,2022,202209,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",NHS NORTH OF ENGLAND  COMMISSIONING SUPPORT UNIT,78321,01/08/2024,10622240,6400.41,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,PUBLIC HEALTH,4037,"Professional, Consultancy and Hired Services",30859,ASST DIRECTOR OF PUBLIC HEALTH & TEAM,27/01/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",CAJA LTD,78085,21/08/2024,10622600,7200,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,PUBLIC HEALTH,4037,"Professional, Consultancy and Hired Services",30858,SEXUAL HEALTH,31/01/2024,0,0,2024,202405,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",NUMATIC INTERNATIONAL LIMITED,47374,30/08/2024,10628459,-2140.19,131000,Cleaning & Janitorial,Cleaning Materials,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4009,"Equipment, Furniture & Materials",50052,BUILDING CLEANING MANAGEMENT,10/04/2024,0,0,2024,202402,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",CLEVELAND TIMBER SUPPLIES LTD,33723,06/08/2024,10629424,942,100000,Building Construction Materials,Not Classified,Not Classified,no,REVENUE,"CULTURE, LIBRARIES & EVENTS",2033,Grounds Maintenance,20154,MUSEUMS MANAGEMENT & PRESTON HALL,17/04/2024,0,0,2024,202402,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,ROYAL MAIL GROUP PLC,38863,16/08/2024,10630515,2245.18,300000,Mail Services ,Not Classified,Not Classified,no,REVENUE,DEMOCRATIC SERVICES,4050,Mail Services,70008,MAYOR & PCC ELECTIONS,06/05/2024,0,0,2024,202405,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",NHS NORTH OF ENGLAND  COMMISSIONING SUPPORT UNIT,78321,01/08/2024,10630795,4266.94,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,PUBLIC HEALTH,4037,"Professional, Consultancy and Hired Services",30859,ASST DIRECTOR OF PUBLIC HEALTH & TEAM,29/12/2023,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,AUTISM INITIATIVES,59255,06/08/2024,10633460,2205.48,321000,Social Community Care Supplies & Services,Adult,Not Classified,no,REVENUE,"SAFEGUARDING, EARLY HELP & CIOC",4037,"Professional, Consultancy and Hired Services",30080,PROFESSIONAL SERVICES,21/06/2024,0,0,2024,202405,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,INTEGRATE FAMILIES,66125,06/08/2024,10633586,621,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"SAFEGUARDING, EARLY HELP & CIOC",5014,Private Contractors,30080,PROFESSIONAL SERVICES,03/06/2024,0,0,2024,202405,SBC
