Organisation Name,Organisation Code,Directorate / Service where expenditure Incurred,Supplier Name,Supplier ID,Payment Date,Transaction Number,Net Amount,Expenditure Proclass Code,Expenditure Proclass Category Level 1,Expenditure Proclass Category Level 2,Expenditure Proclass Category Level 3,Card Transaction Yes / No,Capital / Revenue,Service Division Label,Account Code,Account Code Description,Cost Centre Code,Cost Centre Description,Invoice Date,MCC Code,MCC Category,Ledger Year,Ledger Period,LA Short Name
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,TRINITY CHAMBERS CROSS PAYMENT ACCOUNT,34860,02/04/2024,10625346,720.00,280000,Legal Services,Not Classified,Not Classified,no,REVENUE,LEGAL SERVICES,4037,"Professional, Consultancy and Hired Services",30067,CHILDRENS IN-HOUSE CASES - EXTERNAL COSTS,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",AGROVISTA UK LTD,51268,02/04/2024,10625348,822.15,240000,Horticultural,Not Classified,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4009,"Equipment, Furniture & Materials",50236,GROUNDS - GENERAL,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH,UNIVERSITY OF NEWCASTLE UPON TYNE,35993,02/04/2024,10625409,1303.66,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,INCLUSIVE GROWTH & DEVELOPMENT,4037,"Professional, Consultancy and Hired Services",11501,HEALTHY STREETS,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH,W D SMURTHWAITE & SONS,33264,02/04/2024,10625414,542.00,391100,"Works - Construction, Repair & Maintenance",Buildings,Not Classified,no,REVENUE,INCLUSIVE GROWTH & DEVELOPMENT,2021,Repairs and Maintenance,10540,COMMERCIAL PROPERTIES,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,SHAW & SONS LTD,35750,02/04/2024,10625416,3062.40,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,DEMOCRATIC SERVICES,4009,"Equipment, Furniture & Materials",70008,MAYOR & PCC ELECTIONS,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",ALANALANALAN lTD,72739,02/04/2024,10625437,800.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"CULTURE, LIBRARIES & EVENTS",4009,"Equipment, Furniture & Materials",50933,TEES VALLEY MUSEUM GROUP - NPO GRANT,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,YMCA WEARSIDE LTD,72461,02/04/2024,10625440,800.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC & CARE EXPERIENCED,5014,Private Contractors,21153,SUPPORTED ACCOMMODATION,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,YMCA WEARSIDE LTD,72461,02/04/2024,10625441,800.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC & CARE EXPERIENCED,5014,Private Contractors,21153,SUPPORTED ACCOMMODATION,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,YMCA WEARSIDE LTD,72461,02/04/2024,10625442,800.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC & CARE EXPERIENCED,5014,Private Contractors,21153,SUPPORTED ACCOMMODATION,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",RNF COOLING SOLUTIONS LTD,77813,02/04/2024,10625444,675.39,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",50149,HARTBURN PRIMARY,05/03/2024,0,0,2023,202312,SBC
