Organisation Name,Organisation Code,Directorate / Service where expenditure Incurred,Supplier Name,Supplier ID,Payment Date,Transaction Number,Net Amount,Expenditure Proclass Code,Expenditure Proclass Category Level 1,Expenditure Proclass Category Level 2,Expenditure Proclass Category Level 3,Card Transaction Yes / No,Capital / Revenue,Service Division Label,Account Code,Account Code Description,Cost Centre Code,Cost Centre Description,Invoice Date,MCC Code,MCC Category,Ledger Year,Ledger Period,LA Short Name,BVACOP Group
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,JENNIFER BARRON,78311,05/02/2025,8210625,630.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,01/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,LISA YATES,60050,07/02/2025,8210626,1709.99,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,31/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,ROBBIE GRATTON,79518,06/02/2025,8210627,520.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,30/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,DARAN CROFTS,76144,07/02/2025,8210737,1600.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,28/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,DURHAM UNIVERSITY,33280,13/02/2025,8210809,800.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,06/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,WARRIOR'S GYM,76012,18/02/2025,8211019,600.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,11/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,PETER SHEAHAN,65082,19/02/2025,8211142,3210.50,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,01/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TRUSTMARQUE SOLUTIONS LTD,35823,18/02/2025,10645269,45167.50,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CUSTOMER SERVICES,4037,"Professional, Consultancy and Hired Services",40296,DIGITAL SERVICES,04/10/2024,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",LUCION SURVEY (LANDFORM) LIMITED,55655,05/02/2025,10646424,1200.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"CULTURE, LIBRARIES & EVENTS",4009,"Equipment, Furniture & Materials",20193,THIS HOUSE SPARKS JOY NLHF GRANT,30/10/2024,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",UNIVERSITY OF NEWCASTLE UPON TYNE,35993,12/02/2025,10648619,600.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,PUBLIC HEALTH,4037,"Professional, Consultancy and Hired Services",30843,ADULT INTERVENTION PH PROGRAMMES,20/11/2024,0,0,2024,202411,SBC,
