Organisation Name,Organisation Code,Directorate / Service where expenditure Incurred,Supplier Name,Supplier ID,Payment Date,Transaction Number,Net Amount,Expenditure Proclass Code,Expenditure Proclass Category Level 1,Expenditure Proclass Category Level 2,Expenditure Proclass Category Level 3,Card Transaction Yes / No,Capital / Revenue,Service Division Label,Account Code,Account Code Description,Cost Centre Code,Cost Centre Description,Invoice Date,MCC Code,MCC Category,Ledger Year,Ledger Period,LA Short Name,BVACOP Group
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,LISA YATES,60050,14/01/2025,8209794,900.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,06/01/2025,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,TEES ACTIVE LTD,38311,15/01/2025,8209936,600.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,06/12/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,PENDRAGON COMMUNITY TRUST,69367,09/01/2025,10576514,-3056.28,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,14/08/2022,0,0,2022,202205,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",TEES ESK AND WEAR VALLEYS NHS  TRUST,35921,02/01/2025,10623598,-12875.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,ADULT SERVICES,4037,"Professional, Consultancy and Hired Services",30883,MENTAL HEALTH ASSESSMENT TEAM,09/02/2024,0,0,2023,202311,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",TEES ESK AND WEAR VALLEYS NHS  TRUST,35921,02/01/2025,10623599,-12875.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,ADULT SERVICES,4037,"Professional, Consultancy and Hired Services",30883,MENTAL HEALTH ASSESSMENT TEAM,09/02/2024,0,0,2023,202311,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,TEES ESK AND WEAR VALLEYS NHS  TRUST,35921,02/01/2025,10625302,7750.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"EDUCATION, INCLUSION AND ACHEIVEMENT",5014,Private Contractors,21132,EARLY SUPPORT & PROJECTS,01/03/2024,0,0,2023,202312,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,TEES ESK AND WEAR VALLEYS NHS  TRUST,35921,02/01/2025,10643163,7750.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"EARLY HELP, YOUTH JUSTICE AND YOUTH SUPPORT",4037,"Professional, Consultancy and Hired Services",21138,YOUTH JUSTICE & YOUTH SUPPORT,18/09/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,TEES ESK AND WEAR VALLEYS NHS  TRUST,35921,02/01/2025,10643164,7750.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"EARLY HELP, YOUTH JUSTICE AND YOUTH SUPPORT",4037,"Professional, Consultancy and Hired Services",21138,YOUTH JUSTICE & YOUTH SUPPORT,18/09/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",DFP SERVICES LTD,73880,10/01/2025,10645590,935.20,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,2021,Repairs and Maintenance,40338,FM RESPONSIVE REPAIRS & DANGEROUS BUILDINGS,18/10/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",RENTOKIL INITIAL UK LTD,46517,14/01/2025,10646098,1219.26,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"CULTURE, LIBRARIES & EVENTS",5014,Private Contractors,20154,MUSEUMS MANAGEMENT & PRESTON HALL,24/10/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,PEARTREE PROJECTS LTD,35306,09/01/2025,10647052,-668.46,321100,Social Community Care Supplies & Services,Children,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,01/10/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",C G ROBINSON LTD,35476,15/01/2025,10647613,14196.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4009,"Equipment, Furniture & Materials",50236,GROUNDS - GENERAL,10/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647829,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647830,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647831,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,27/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647832,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,27/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647833,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,27/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647834,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,27/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647835,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,27/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647836,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647837,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647838,-15859.59,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647839,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647840,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
