,,LOCAL GOVERNMENT TRANSPARENCY CODE,,,,,,,,,,
,,EXPENDITURE AND GOVERNMENT PROCUREMENT CARD EXPENDITURE OVER £500 ,,,,,,,,,,
,,QUARTER 4 - 2024/2025,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Organisation Name,Transaction Number,Service Label,Organisation Unit,Expenditure Category,Payment Date,Net Value,Non Recoverable VAT,Capital or Revenue,Supplier,Card Transaction,Procurement Classification / Merchant Category - Proclass Code,Procurement Classification / Merchant Category - Proclass Description
Hartlepool Borough Council,0086606615,Adult & Community Based Services,Adult Education,Purchase-Buildng/Constrctn Mat,45727,882,0,Revenue,Florcraft Prof Contract,No,391100,"Works - Construction, Repair & Maintenance - Buildings "
Hartlepool Borough Council,0086606133,Adult & Community Based Services,Adult Education,Purchase-Computer/Audio/Visual,45714,518,0,Revenue,NEC Software Solutions Uk Ltd,No,279999,Information Communication Technology - Not Elsewhere Classified 
Hartlepool Borough Council,0086604594,Adult & Community Based Services,Adult Education,Room Hire/Hall Hire,45693,789,0,Revenue,Hartlepool Peoples Centre,No,261000,Human Resources - Accommodation 
Hartlepool Borough Council,0086608188,Adult & Community Based Services,Adult Education,Room Hire/Hall Hire,45727,1171.8,0,Revenue,Hartlepool Peoples Centre,No,261000,Human Resources - Accommodation 
Hartlepool Borough Council,0086605872,Adult & Community Based Services,Adult Education,Room Hire/Hall Hire,45706,1269,0,Revenue,Hartlepool Peoples Centre,No,261000,Human Resources - Accommodation 
Hartlepool Borough Council,0086604066,Adult & Community Based Services,Adult Education,Software Maintenance Agreement,45693,1265,0,Revenue,Tribal Education Limited,No,271600,Information Communication Technology - Software - Customised & Bespoke
Hartlepool Borough Council,0086607840,Adult & Community Based Services,Adult Education,Software User Fee,45742,600,0,Revenue,Quals Direct Limited,No,279999,Information Communication Technology - Not Elsewhere Classified 
Hartlepool Borough Council,0086604115,Adult & Community Based Services,Adult Education,Subscriptions,45674,825,0,Revenue,The Association of Employment & Learning,No,171010,Education - Adult & Further Education Services 
Hartlepool Borough Council,0086604168,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45674,1560,0,Revenue,Actes Trust,No,192100,Facilities & Management Services - Retail 
Hartlepool Borough Council,0086605891,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45700,1260,0,Revenue,Darlington Borough Council,No,999999,Financial Services - Other Local Authority
Hartlepool Borough Council,0086605891,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45700,1800,0,Revenue,Darlington Borough Council,No,999999,Financial Services - Other Local Authority
Hartlepool Borough Council,0086607097,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45735,3420,0,Revenue,Darlington Borough Council,No,999999,Financial Services - Other Local Authority
Hartlepool Borough Council,0086607097,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45735,3600,0,Revenue,Darlington Borough Council,No,999999,Financial Services - Other Local Authority
Hartlepool Borough Council,0086606921,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45728,2280,0,Revenue,Eastbourne Park Community Hub,No,170000,Education
Hartlepool Borough Council,0086603940,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45672,840,0,Revenue,Family Help Darlington CIO,No,191900,Facilities & Management Services - Removals 
Hartlepool Borough Council,0086604095,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45693,2400,0,Revenue,Groundwork North East,No,391111,"Works - Construction, Repair & Maintenance - Buildings - Repair & Maintenance"
Hartlepool Borough Council,0086608548,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45730,600,0,Revenue,Let's Connect (Eng) Ltd,No,201700,Financial Services - Grants 
Hartlepool Borough Council,0086608551,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45730,600,0,Revenue,Let's Connect (Eng) Ltd,No,201700,Financial Services - Grants 
Hartlepool Borough Council,0086604649,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45681,840,0,Revenue,Let's Connect (Eng) Ltd,No,201700,Financial Services - Grants 
Hartlepool Borough Council,0086608549,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45730,840,0,Revenue,Let's Connect (Eng) Ltd,No,201700,Financial Services - Grants 
Hartlepool Borough Council,0086604209,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45678,2400,0,Revenue,Link Project CIC,No,201799,Financial Services - Grants - Not Elsewhere Classified
