DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Communities & Place,City Sustainability,Traffic & Transportation,Traffic and Transport other,BT PLC S98 1BT,01/02/2024,75419,309046,"2,137.00",Central Traffic Management,10 - Company,Company
Communities & Place,City Sustainability,Traffic & Transportation,Traffic and Transport other,G2V RECRUITMENT GROUP LIMITED,01/02/2024,75602,309053,"7,750.00",Transforming Cities Programme,40 - SME,SME
Chief Executives,Finance & Business Support,Business Support & Information Governance,Business Support,ROYAL MAIL GROUP PLC.,01/02/2024,75408,309635,"8,560.37",Business Support,10 - Company,Company
Chief Executives,Finance & Business Support,Business Support & Information Governance,Business Support,ROYAL MAIL GROUP PLC.,01/02/2024,75408,309652,"8,415.46",Business Support,10 - Company,Company
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,REDACTED,01/02/2024,75522,309922,-711.24,Central/East MH Support OP (over 65) - DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,REDACTED,01/02/2024,75522,310824,711.24,Central/East MH Support OP (over 65) - DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,TURNER & TOWNSEND PROJECT MANAGEMENT LIMITED,01/02/2024,75663,311395,"4,200.00",Pre-Development Costs,10 - Company,Company
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,TURNER & TOWNSEND PROJECT MANAGEMENT LIMITED,01/02/2024,75663,311408,"6,077.00",Pre-Development Costs: Rosehill Street (Butterfly),10 - Company,Company
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,SENAD COMMUNITY LTD,01/02/2024,75553,311510,"5,420.97",Central OP (over 65) Physical - DP/Mgd,40 - SME,SME
Housing Rents,Housing Rents,Housing Rents,Housing Rents,REDACTED,01/02/2024,75719,311728,696.78,Rent Refunds HRA (DHL Use),20 - Public/Government Agency,Public/Government Agency
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AMA SUPPLIES LTD,01/02/2024,75445,311730,557.44,Highways Maintenance Reactionary Works,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AMA SUPPLIES LTD,01/02/2024,75445,311737,721.12,Highways Maintenance Reactionary Works,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Residential Children's Homes,SILLY SIDS,01/02/2024,75414,311769,654.16,Transition Homes,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,311774,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,311827,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,311843,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,311875,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,311878,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,311882,"1,680.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,311888,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,311893,"1,680.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,311896,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,311900,"1,680.00",Housing Options (Private),60 - Sole Trader,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,TRENT MOTOR TRACTION CO LTD. TRENTBARTON,01/02/2024,75585,311907,"47,360.00",Home To School Transport - SEN,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,ENVA ENGLAND SPECIALIST WASTE LIMITED,01/02/2024,75608,311952,"2,921.50",Vehicle Maintenance,40 - SME,SME
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,Estates & Property Review,Strategic Asset Management,EMS SECURITY SERVICES LTD,01/02/2024,75575,311959,613.83,Surplus Properties,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,311992,"1,120.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,TECH TONIC VEHICLE REPAIR LIMITED,01/02/2024,75652,312002,591.54,Vehicle Maintenance,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312005,"1,120.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312007,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312009,840,Housing Options (Private),60 - Sole Trader,Sole Trader
