DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,Customer Engagement & Registration Services,Customer Management,PAYPOINT PAYMENT SERVICES LTD,02/01/2024,64587,279552,"24,330.81",Local Assistance,40 - SME,SME
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,Customer Engagement & Registration Services,Customer Management,PAYPOINT PAYMENT SERVICES LTD,02/01/2024,64587,279568,"12,889.63",Local Assistance,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,AFFINITY SUPPORTING PEOPLE,04/01/2024,67341,112752,"2,728.44",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
Chief Executives,Human Resources and Organisational Devel,Human Resources and Workforce Development,Human Resources,COMMERCIAL SERVICES KENT LTD,04/01/2024,63650,123649,"4,117.00",HR Shared Services,40 - SME,SME
Chief Executives,Human Resources and Organisational Devel,Human Resources and Workforce Development,Human Resources,COMMERCIAL SERVICES KENT LTD,04/01/2024,63650,123658,"1,947.50",HR Shared Services,40 - SME,SME
Chief Executives,Human Resources and Organisational Devel,Human Resources and Workforce Development,Human Resources,COMMERCIAL SERVICES KENT LTD,04/01/2024,63650,123671,"2,468.00",HR Shared Services,40 - SME,SME
Chief Executives,Human Resources and Organisational Devel,Human Resources and Workforce Development,Human Resources,COMMERCIAL SERVICES KENT LTD,04/01/2024,63650,136655,"2,756.00",HR Shared Services,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,04/01/2024,67540,159586,560,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,City Sustainability,Climate & Environment,Parks & Outdoor Recreation,MARK HARROD LTD.,04/01/2024,62562,165142,"1,398.18",Alvaston Park,40 - SME,SME
Chief Executives,Human Resources and Organisational Devel,Human Resources and Workforce Development,Human Resources,WEIGHTMANS LLP,04/01/2024,62691,165805,"16,444.00",Job Evaluation Reserve Project,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Services Locality 1/5,TTS.,04/01/2024,67239,182582,677.82,Family Hubs,10 - Company,Company
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,BURO HAPPOLD LIMITED,04/01/2024,63501,189436,"43,701.00",Assemble Learning Theatre,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,Leisure,EMS SECURITY SERVICES LTD,04/01/2024,66917,193829,660,Springwood Centre DSO,40 - SME,SME
Chief Executives,Human Resources and Organisational Devel,Human Resources and Workforce Development,Human Resources,COMMERCIAL SERVICES KENT LTD,04/01/2024,63650,195956,"4,153.50",HR Shared Services,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Waste Disposal,DERBYSHIRE COUNTY COUNCIL,04/01/2024,66257,196278,"134,337.62",Waste Disposal,20 - Public/Government Agency,Public/Government Agency
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Leisure - Management,Sales, Marketing &",GCC FACILITIES MANAGEMENT PLC,04/01/2024,63711,204180,514.91,Derby Live Catering - Alvaston Park,10 - Company,Company
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,YUNEX LIMITED,04/01/2024,63448,210067,990,TCF Tranche 2 - Bus & Rapid Transit Links: Partnership Corri,40 - SME,SME
Communities & Place,City Sustainability,Highways Assest and Engineering,Engineering,WATERMAN ASPEN LTD,04/01/2024,66245,216149,"8,018.85",Engineering Section,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,AFFINITY SUPPORTING PEOPLE,04/01/2024,63283,217345,"2,728.44",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,AFFINITY SUPPORTING PEOPLE,04/01/2024,63283,217347,"2,728.44",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
