DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,SMIRTHWAITE LTD,3/10/2023,00040684,080903,"1,330.41",REFCUS - Disabled Facilities Grant 96 Act,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Sensory Support,Transitions and Ordinary Lives - Sensory,RNIB ENTERPRISES LTD RNIB,3/10/2023,00040645,117931,509.94,Technical Aids,,SME
People Services - Adults and Health,Home First,Social Care Activities,Home First - Social Care Activities,HOLDSWORTH FOODS,3/10/2023,00041223,161417,616.32,Home First: Community & Perth House,,SME
Corporate Resources,Financial Services,Financial Services,Business Support,PREMIER PAPER GROUP LTD,3/10/2023,00040872,165289,752.10,Transactional Services,,Company
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,EUROVIA INFRASTRUCTURE LTD,3/10/2023,00040880,165502,"370,609.62",TCF Tranche 2 - Public Realm: Public Transport (Public Realm,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,EAST MIDLANDS VENDING LTD,3/10/2023,00041602,165562,630.00,Stores Road Depot,,SME
People Services - Adults and Health,Public Health,Public Health,Sexual Health,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,3/10/2023,00040797,167261,"249,500.00",Genitourinary Medicine Services (GUM),,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REHABILITY UK COMMUNITY LTD,3/10/2023,00041703,172720,"1,944.32",West/South MH Support Adults (under 65) - R/N,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,CURTINS CONSULTING LIMITED,3/10/2023,00041659,172854,"6,709.15",Warkwick House - HRA,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,HOWARTH TIMBER AND BUILDING SUPPLIES.,3/10/2023,00040831,173005,520.00,Highways Maintenance Reactionary Works,,Company
Communities & Place,Planning & Transportation,Planning,Development Control,PORTALPLANQUEST LTD,3/10/2023,00041136,173418,924.00,Development Control,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,3/10/2023,00041804,174378,832.18,Central OP (Over 65) Physical - R/N,,Public/Government Agency
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,J & K DEVELOPMENTS LTD,3/10/2023,00040715,174657,"10,220.00",REFCUS - Disabled Facilities Grant 96 Act,,SME
People Services - Adults and Health,Home First,Social Care Activities,Home First - Social Care Activities,DORO CARE UK LIMITED,3/10/2023,00041463,176350,"2,980.00",Carelink,,SME
Communities & Place,Planning & Transportation,Traffic & Transportation,Parking Services,INTEGRITY PRINT LIMITED T/A PARKING AND SECURE DOCUMENTS,3/10/2023,00041081,176441,"1,626.00",Parking Services,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,EUROVIA INFRASTRUCTURE LTD,3/10/2023,00040880,176511,"44,081.16",TCF Tranche 2 - Public Realm: Public Transport (Public Realm,,SME
Corporate Resources,Property,Strategic Asset Management,Strategic Asset Management,HAYS SPECIALIST RECRUITMENT LTD,3/10/2023,00040625,178773,"3,824.73",Valuation,,SME
People Services - Adults and Health,Home First,Social Care Activities,Home First - Social Care Activities,DORO CARE UK LIMITED,3/10/2023,00041463,179101,"2,920.00",Carelink,,SME
People Services - Adults and Health,Home First,Social Care Activities,Home First - Social Care Activities,DORO CARE UK LIMITED,3/10/2023,00041463,179103,"2,770.00",Carelink,,SME
People Services - Adults and Health,Home First,Social Care Activities,Home First - Social Care Activities,DORO CARE UK LIMITED,3/10/2023,00041463,179105,"2,710.00",Carelink,,SME
Corporate Resources,Financial Services,Financial Services,Business Support,ANTALIS LIMITED,3/10/2023,00041204,179229,"1,358.59",Transactional Services,,Company
People Services - Adults and Health,Community Support,Social Care Activities,Community Support - Social Care Activiti,FLINT BISHOP LLP,3/10/2023,00040668,179456,595.07,Charging Income Holding Account,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,JC BALLS AND SONS,3/10/2023,00040863,180299,550.00,Highways Maintenance Reactionary Works,,SME
Communities & Place,"Leisure, Culture and Tourism",Leisure,"Leisure - Management,Sales, Marketing &",ST PETERS PARISH BELPER,3/10/2023,000717,180328,848.00,Derby Live - Sales and Information Centre,,SME
People Services - Adults and Health,People Services - Adults and Health,People Services - Adults and Health,People Services - Adults and Health,THE WORKSHOP DERBY LIMITED,3/10/2023,00041064,180672,839.97,Gash Account (SSGA0088),,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Grounds Maintenance,GREG LONG TREE CARE,3/10/2023,00041458,182765,"6,940.00",Grounds Maintenance Derby Homes,,Sole Trader
Corporate Resources,Financial Services,Financial Services,Business Support,ANTALIS LIMITED,3/10/2023,00041204,182820,"1,998.66",Transactional Services,,Company
People Services - Children & Young People,Non-Schools,Integrated Services,Youth Offending Service,SHARED SERVICES CONNECTED LTD HM PRISON & PROBATION SERVICE - NOMS,3/10/2023,00041101,182899,"3,936.00",Police Escorts,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Cleansing,EWS TRAINING LIMITED,3/10/2023,00041699,182971,616.90,Street Cleaning,,SME
Communities & Place,"Leisure, Culture and Tourism","Culture, Business Development & Tourism","Culture, Business Development & Tourism",SECURISCAPE LTD,3/10/2023,00041332,182973,900.00,Derby Live - Outdoor Events,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Workforce Learning & Development,NOTTINGHAM CITY COUNCIL,3/10/2023,00040642,182974,"1,272.00",Step Up to Social Work - Lead Authority,,Public/Government Agency
Corporate Resources,Property,Strategic Asset Management,Strategic Asset Management,HAYS SPECIALIST RECRUITMENT LTD,3/10/2023,00040625,183016,861.94,Valuation,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,JAY FOSTERING,3/10/2023,00040654,183024,501.60,Haddon Team,,Company
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,MIDDLEMARCH ENVIRONMENTAL LIMITED,3/10/2023,00041575,183025,900.00,Mackworth Park,,SME
Communities & Place,Planning & Transportation,Traffic & Transportation,Traffic and Transport other,DERBYSHIRE COMMUNITY TRANSPORT,3/10/2023,00041525,183067,"4,596.20",Passenger Transport Procurement & Operations,,SME
Corporate Resources,Coroprate Core,"Policy, Insight and Commuications","Policy, Insight and Commuications",EMBRACENT LTD,3/10/2023,00041795,183082,"7,200.00",Strategic Planning & Performance,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,DERBYSHIRE CARE SERVICES,3/10/2023,00040657,183116,846.95,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,DERBYSHIRE CARE SERVICES,3/10/2023,00040657,183121,710.94,Central Adults (under 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,DERBYSHIRE CARE SERVICES,3/10/2023,00040657,183131,"1,478.32",West/South MH Support OP (over 65) - DP/Mgd,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Fostering,REDACTED,3/10/2023,00041792,183143,935.00,Fostering Allowances,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Integrated Services,Fostering,REDACTED,3/10/2023,00040667,183192,725.69,Fostering Allowances,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,3/10/2023,00040657,183471,707.50,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,REDACTED,3/10/2023,00041287,183608,836.54,Adoption,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,REDACTED,3/10/2023,00040825,183645,866.27,Adoption,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,3/10/2023,00041600,184293,513.38,Special Guardianship,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,3/10/2023,00041085,184300,626.83,Special Guardianship,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,3/10/2023,00041634,184319,688.00,Special Guardianship,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,3/10/2023,00041686,184325,698.00,Special Guardianship,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,3/10/2023,00041257,184414,545.54,Special Guardianship,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,3/10/2023,00041302,184424,634.48,Special Guardianship,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,3/10/2023,00041420,184465,639.00,Special Guardianship,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,3/10/2023,00041465,184466,"2,000.00",Special Guardianship,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,DERBYSHIRE CARE SERVICES,3/10/2023,00040657,184474,"1,478.32",West/South MH Support OP (over 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,DIMENSIONS UK LTD,3/10/2023,00040713,184484,"1,206.24",Central Adults (under 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,DERBYSHIRE CARE SERVICES,3/10/2023,00040657,184487,"1,300.02",West OP (over 65) Mental Health - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Sensory Support,Community Support - Sensory Support,DERBYSHIRE CARE SERVICES,3/10/2023,00040657,184488,836.48,South Adults (under 65) Sensory - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,NATIONWIDE CARE SERVICES,3/10/2023,00041002,184495,918.88,Central OP (over 65) Physical - DP/Mgd,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,NATIONWIDE CARE SERVICES,3/10/2023,00041002,184503,729.08,Central OP (over 65) Physical - DP/Mgd,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,NATIONWIDE CARE SERVICES,3/10/2023,00041002,184504,"1,188.42",Central OP (over 65) Physical - DP/Mgd,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,NATIONWIDE CARE SERVICES,3/10/2023,00041002,184508,"1,096.60",Central OP (over 65) Physical - DP/Mgd,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,NATIONWIDE CARE SERVICES,3/10/2023,00041002,184511,960.47,Central OP (over 65) Physical - DP/Mgd,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,NATIONWIDE CARE SERVICES,3/10/2023,00041002,184512,807.84,Central OP (over 65) Physical - DP/Mgd,,Company
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,NATIONWIDE CARE SERVICES,3/10/2023,00041002,184517,501.13,South OP (over 65) Mental Health - DP/Mgd,,Company
