DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Communities & Place,Planning & Transportation,Traffic & Transportation,Parking Services,NPOWER LTD,01/06/2023,10926,1838,"1,153.25",Parking Services,,Company
People Services - Children & Young People,Non-Schools,Integrated Services,Youth Offending Service,THE COPYRIGHT LICENSING AGENCY,01/06/2023,10910,6399,"20,148.00",Y.O.S. - CYP,,SME
Corporate Resources,Property,Strategic Asset Management,Strategic Asset Management,G2V RECRUITMENT GROUP LIMITED VIVID RESOURCING,01/06/2023,11033,15375,"1,850.00",Valuation,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,DAYS RENTAL LTD,01/06/2023,10962,15791,524.62,Fleet Hire,,Company
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,DAYS RENTAL LTD,01/06/2023,10962,17332,675.03,Fleet Hire,,Company
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,DAYS RENTAL LTD,01/06/2023,10962,17462,675.03,Fleet Hire,,Company
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,DAYS RENTAL LTD,01/06/2023,10962,17572,524.62,Fleet Hire,,Company
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,DAYS RENTAL LTD,01/06/2023,10962,17633,601.73,Fleet Hire,,Company
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11107,41387,"2,050.00",Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,WILCOX PSYCHOLOGICAL ASSOCIATES LTD,01/06/2023,10977,41539,"1,345.29",Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11024,41588,650,Legal Fees,,SME
People Services - Adults and Health,Direct Services,Learning Disability Support,Direct Services - Learning Disability Su,SHARED LIVES PLUS LTD,01/06/2023,10972,41822,525,Shared Lives,,SME
Communities & Place,"Leisure, Culture and Tourism",Parks & Healthy Living,Parks & Outdoor Recreation,ATLOW CONTRACTING LIMITED.,01/06/2023,11022,42306,"3,839.50",Outdoor Amenities,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11016,42890,800,Legal Fees,,Sole Trader
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11127,42893,540,Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11128,42894,540,Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11079,42895,760,Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11131,42897,750,Legal Fees,,Company
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11036,42898,550,Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11093,42899,600,Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,10946,42900,"1,000.00",Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11101,42902,850,Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,10942,42903,650,Legal Fees,,Sole Trader
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11042,42905,660,Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11052,42906,850,Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11004,42908,850,Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11107,42916,725,Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11085,42917,"3,600.00",Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11019,42918,510,Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11104,42920,"4,250.00",Legal Fees,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,TECH TONIC VEHICLE REPAIR LIMITED,01/06/2023,11082,48031,530.5,Vehicle Maintenance,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,01/06/2023,10980,49250,"4,459.72",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business)
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,ARCADIS UK LTD,01/06/2023,11027,49547,"1,000.00",Cuttlebrook Flood Alleviation Scheme,,Company
Corporate,Corporate,Corporate,Corporate Resources Other,MATRIX SCM LTD,01/06/2023,10969,50226,"154,641.50",Transformation - Workflow and Digital,,Company
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11024,50678,675,Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11024,50697,650,Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11024,50698,850,Legal Fees,,SME
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,01/06/2023,11044,51772,"2,480.00",Housing Options (Private),,SME
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,01/06/2023,11044,51781,"2,400.00",Housing Options (Private),,SME
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,01/06/2023,11045,51812,630,Housing Options (Private),,SME
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,01/06/2023,11045,51822,560,Housing Options (Private),,SME
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,01/06/2023,11045,51829,560,Housing Options (Private),,SME
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,01/06/2023,11045,51832,560,Housing Options (Private),,SME
People Services - Adults and Health,Community Support,Social Care Activities,Community Support - Social Care Activiti,REDACTED,01/06/2023,11159,52071,928.64,Charging Income Holding Account,,Public/Government Agency
People Services - Adults and Health,Community Support,Social Care Activities,Community Support - Social Care Activiti,REDACTED,01/06/2023,11154,52116,"6,167.95",Charging Income Holding Account,,Public/Government Agency
People Services - Adults and Health,Community Support,Social Care Activities,Community Support - Social Care Activiti,REDACTED,01/06/2023,11148,52159,708.56,Charging Income Holding Account,,Public/Government Agency
People Services - Adults and Health,Community Support,Social Care Activities,Community Support - Social Care Activiti,REDACTED,01/06/2023,11146,52166,779.7,Charging Income Holding Account,,Public/Government Agency
People Services - Adults and Health,Community Support,Social Care Activities,Community Support - Social Care Activiti,REDACTED,01/06/2023,11164,52172,777.09,Charging Income Holding Account,,Public/Government Agency
People Services - Adults and Health,Community Support,Social Care Activities,Community Support - Social Care Activiti,REDACTED,01/06/2023,11144,52189,595.07,Charging Income Holding Account,,Public/Government Agency
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,01/06/2023,11045,52289,560,Housing Options (Private),,SME
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,01/06/2023,11045,52306,630,Housing Options (Private),,SME
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,01/06/2023,11045,52307,560,Housing Options (Private),,SME
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,01/06/2023,11045,52308,560,Housing Options (Private),,SME
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,01/06/2023,11045,52309,560,Housing Options (Private),,SME
Corporate Resources,Coroprate Core,"Policy, Insight and Commuications","Policy, Insight and Commuications",NOTTINGHAM CITY COUNCIL,01/06/2023,10915,52378,"1,750.00","Policy, Performance and Communication Administration",,Public/Government Agency
People Services - Adults and Health,Public Health,Public Health,Staff Costs & Overheads,LINCOLNSHIRE COUNTY COUNCIL,01/06/2023,10932,52414,"6,232.00",Staff costs & overheads,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,01/06/2023,11096,52465,601.02,Home To School Transport - SEN,,Individual (Non Business)
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,REDACTED,01/06/2023,11135,52536,"11,020.00",Personal Budgets,,Individual (Non Business)
Communities & Place,"Leisure, Culture and Tourism","Culture, Business Development & Tourism",Museums,DERBY MUSEUMS,01/06/2023,10975,56767,"610,000.00",Museums Trust Payments,,SME
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,01/06/2023,11045,56934,560,Housing Options (Private),,SME
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,01/06/2023,11045,56936,560,Housing Options (Private),,SME
Communities & Place,City Development & Growth,Economic Development,DEGF,UMI COMMERCIAL LIMITED,01/06/2023,11041,56945,"4,800.00",Ascend Revenue,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Commissioned Providers,CATHARSIS CREATIVE ARTS THERAPY LTD,01/06/2023,11030,56967,720,Supporting Families,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,QUESTECH RECRUITMENT LIMITED,01/06/2023,11105,57011,"2,772.50",Stores Road Depot,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,QUESTECH RECRUITMENT LIMITED,01/06/2023,11105,57015,"1,888.00",Stores Road Depot,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,QUESTECH RECRUITMENT LIMITED,01/06/2023,11105,57017,"2,772.50",Stores Road Depot,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,QUESTECH RECRUITMENT LIMITED,01/06/2023,11105,57025,"2,231.30",Stores Road Depot,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,QUESTECH RECRUITMENT LIMITED,01/06/2023,11105,57037,"2,231.30",Stores Road Depot,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,A M PROPERTY SERVICES LTD,01/06/2023,10924,57041,"1,344.00",REFCUS - Healthy Housing Assistance,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,A M PROPERTY SERVICES LTD,01/06/2023,10924,57049,"3,561.00",REFCUS - Healthy Housing Assistance,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,AARON SERVICES LTD,01/06/2023,11089,57054,"2,591.40",REFCUS - Healthy Housing Assistance,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,A M PROPERTY SERVICES LTD,01/06/2023,10924,57060,"2,880.00",REFCUS - Healthy Housing Assistance,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,RAPID SCAFFOLDING LIMITED,01/06/2023,11037,57092,"7,020.00",REFCUS - Community Energy Savings Project (CESP),,SME
Corporate Resources,Financial Services,Financial Services,Accountancy,EMA TRAINING LIMITED,01/06/2023,11073,57100,675,Finance Department - Accountancy,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,L B CONSTRUCTION DERBY LIMITED,01/06/2023,11115,57108,"10,000.00",REFCUS - Disabled Facilities Grant 96 Act,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,TECHNOLOGY ONE UK LTD,01/06/2023,11098,57595,"11,294.02",Green Home Grant - Local Authority Delivery - Phase 1B,,SME
Chief Executives,Chief Executives,Chief Executives,Chief Executives,ARCADIS UK LTD,01/06/2023,11027,57605,"2,624.50",UPRN 10150 - Our City Our River,,Company
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,J & K DEVELOPMENTS LTD,01/06/2023,10936,57612,"1,964.00",REFCUS - Disabled Facilities Grant 96 Act,,SME
Corporate Resources,"Legal, Procurement and Democratic Servic","Legal, Procurement and Democratic Servic",Democracy - Electoral Services/ Land Cha,ROYAL MAIL GROUP PLC.,01/06/2023,10902,57613,"3,637.38",Conduct Of Elections,,Company
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,HIGHFIELD JOINERY AND BUILD SERVS LTD,01/06/2023,10937,57614,"13,561.88",REFCUS - Disabled Facilities Grant 96 Act,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,J & K DEVELOPMENTS LTD,01/06/2023,10936,57625,"11,660.20",REFCUS - Disabled Facilities Grant 96 Act,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,GREENSTAFF MEDICAL LIMITED,01/06/2023,11094,57700,"15,555.00",Shelton Team,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,GREENSTAFF MEDICAL LIMITED,01/06/2023,11094,57702,"15,576.00",Shelton Team,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,FREETHS LLP,01/06/2023,11010,57710,"2,184.00",Castleward Enhancement of Public Square,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,FREETHS LLP,01/06/2023,11009,57731,"2,083.30",Castleward Enhancement of Public Square,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,GREENSTAFF MEDICAL LIMITED,01/06/2023,11094,57734,"15,696.00",Shelton Team,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,GREENSTAFF MEDICAL LIMITED,01/06/2023,11094,57737,"2,892.00",Shelton Team,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,GREENSTAFF MEDICAL LIMITED,01/06/2023,11094,57739,"9,300.00",Shelton Team,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,GREENSTAFF MEDICAL LIMITED,01/06/2023,11094,57742,"16,516.00",Shelton Team,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,TCLARKE CONTRACTING LIMITED.,01/06/2023,11038,57746,"7,708.00",REFCUS - Disabled Facilities Grant 96 Act,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,GREENSTAFF MEDICAL LIMITED,01/06/2023,11094,57752,"1,500.00",Shelton Team,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,J & K DEVELOPMENTS LTD,01/06/2023,10936,57753,"2,290.00",REFCUS - Disabled Facilities Grant 96 Act,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,W & S LONG EATON,01/06/2023,11133,57762,"592,700.00",Castleward Enhancement of Public Square,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,ALPHA HEATING CHESTERFIELD LTD,01/06/2023,10933,57765,"2,962.80",REFCUS - Disabled Facilities Grant 96 Act,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,ALPHA HEATING CHESTERFIELD LTD,01/06/2023,10933,57773,502.85,REFCUS - Disabled Facilities Grant 96 Act,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,J & K DEVELOPMENTS LTD,01/06/2023,10936,57782,"6,266.22",REFCUS - Disabled Facilities Grant 96 Act,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,A M PROPERTY SERVICES LTD,01/06/2023,10924,57786,"8,570.00",REFCUS - Disabled Facilities Grant 96 Act,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,TETRA TECH LIMITED,01/06/2023,11119,57820,731.62,UPRN 10110 - Asset Management - ITS Network Management Maint,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,IMPOWER CONSULTING LTD,01/06/2023,10985,57854,"88,867.87",High Needs Contingency,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,01/06/2023,10968,57861,"1,900.89",Highways Maintenance Works,,SME
Communities & Place,City Development & Growth,Economic Development,DEGF,ALERTIVE LIMITED,01/06/2023,11123,57862,736.17,Ascend Revenue,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,IMPOWER CONSULTING LTD,01/06/2023,10985,57865,"102,873.98",High Needs Contingency,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,TERBERG MATEC UK,01/06/2023,11034,57880,948.67,Vehicle Maintenance,,SME
Corporate Resources,Coroprate Core,Communication and Consultation,Communication,HICKLING AND SQUIRES LTD,01/06/2023,10952,57882,"1,026.00",Corporate Communications,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/06/2023,11126,57886,866.67,Sinfin Team,,Sole Trader
Communities & Place,"Leisure, Culture and Tourism","Culture, Business Development & Tourism","Culture, Business Development & Tourism",SOUND OF MUSIC LTD,01/06/2023,11011,57897,"2,258.00",Derby Live - Head Quarters,,SME
Communities & Place,"Leisure, Culture and Tourism","Culture, Business Development & Tourism","Culture, Business Development & Tourism",SOUND OF MUSIC LTD,01/06/2023,11011,57899,500.5,Derby Live - Head Quarters,,SME
Communities & Place,"Leisure, Culture and Tourism","Culture, Business Development & Tourism","Culture, Business Development & Tourism",SOUND OF MUSIC LTD,01/06/2023,11011,57901,"2,396.00",Derby Live - Presented,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,DENNIS EAGLE LTD,01/06/2023,10920,57904,"1,013.93",Vehicle Maintenance,,Company
