DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Corporate Resources,"Legal, Procurement and Democratic Servic","Legal, Procurement and Democratic Servic",Democracy - Electoral Services/ Land Cha,SHAW & SONS LTD,01/08/2023,25388,15200,710.2,Conduct Of Elections,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,PEOPLE POTENTIAL POSSIBILITIES,01/08/2023,25581,88067,664.64,West/South MH Support Adults (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,PEOPLE POTENTIAL POSSIBILITIES,01/08/2023,25581,88069,664.64,West/South MH Support Adults (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,THERA EAST MIDLANDS,01/08/2023,25480,93293,"2,494.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,THERA EAST MIDLANDS,01/08/2023,25480,93294,"2,566.08",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,THERA EAST MIDLANDS,01/08/2023,25480,93295,810,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
Communities & Place,Planning & Transportation,Traffic & Transportation,Parking Services,SYSTEMS ENGINEERING AND ASSESSMENT LTD,01/08/2023,26237,96564,"10,245.34",Parking Services,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,DATABAC GROUP LTD,01/08/2023,25440,117548,698.5,Home To School Transport - SEN,,SME
Corporate Resources,Digital Services & Customer Management,Digital Services & Customer Management,Digital Services,ATKINS LTD,01/08/2023,25515,117645,"8,706.00",Information Systems,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,FREETHS LLP,01/08/2023,25768,119232,"3,072.00",Castleward Enhancement of Public Square,,SME
