DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Communities & Place,Communities,Streetpride,Cleansing,SELECTA UK LIMITED,05/12/2023,58459,9283,882.2,Street Cleaning,,SME
Communities & Place,Communities,Streetpride,Cleansing,SELECTA UK LIMITED,05/12/2023,58459,9290,580.46,Street Cleaning,,SME
Communities & Place,Communities,Streetpride,Cleansing,SELECTA UK LIMITED,05/12/2023,58459,9292,513.56,Street Cleaning,,SME
Communities & Place,Communities,Streetpride,Cleansing,**WARD RECYCLING.,05/12/2023,57557,89870,"17,426.10",Waste Transfer Station - London Road Depot,,SME
Communities & Place,City Sustainability,Highways Assest and Engineering,Engineering,NETWORK RAIL INFRASTRUCTURE LTD,05/12/2023,57451,125852,"3,191.96",Engineering Section,,Company
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,DERBY CITY SUNDRY PAYMENTS (GENERAL) GENERAL,05/12/2023,59433,139894,"1,000.00",Residents Fund Client (FINP0003),,Public/Government Agency
Communities & Place,Communities,Regulatory Services,Bereavement Services,EMS SECURITY SERVICES LTD,05/12/2023,58219,164861,570.8,Cemeteries,,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Culture, Business Development & Tourism",SANTA CLAUS,05/12/2023,59653,225888,"1,100.00",Derby Live - Outdoor Events,,Sole Trader
Corporate,Corporate,Corporate,Corporate Resources Other,DERBYSHIRE COUNTY COUNCIL,05/12/2023,57395,227070,"37,489.98",Compensatory Added Years,,Public/Government Agency
Communities & Place,City Sustainability,Traffic & Transportation,Parking Services,PATROL,05/12/2023,58495,227674,"1,481.40",Parking Services,,Public/Government Agency
Chief Executives,Finance & Business Support,Finance,Benefits and Exchequer Services,LIBERATA UK LTD,05/12/2023,57558,235277,"22,917.03",Housing Benefits & C Tax Support Admin,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,REDACTED,05/12/2023,59473,238617,"3,536.40",Personal Budgets,,Individual (Non Business)
Communities & Place,Communities,Regulatory Services,Bereavement Services,EMS SECURITY SERVICES LTD,05/12/2023,58219,239152,784.34,Crematorium,,SME
