DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Communities & Place,"Leisure, Culture and Tourism",Parks & Healthy Living,Parks & Outdoor Recreation,UNIVAR SOLUTIONS BV,01/09/2023,92814886,138563,785.00,Markeaton Park & Mundy Play Centre,,Company
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,TARGETED PROVISION LTD,05/09/2023,34804,102095,"9,587.50",Out of Authority Education Placements,,SME
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,TARGETED PROVISION LTD,05/09/2023,34804,102096,"14,235.00",Out of Authority Education Placements,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,AVERY WEIGH TRONIX,05/09/2023,34029,109866,"1,255.20",Highways - Winter Maintenance,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,MACKWORTH SUPPORTED HOUSING,05/09/2023,34019,118110,"1,674.40",Central OP (over 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENAD COMMUNITY LTD,05/09/2023,34247,124430,"4,811.44",Central OP (over 65) Physical - DP/Mgd,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,HATTON TRAFFIC MANAGEMENT LTD,05/09/2023,34417,129183,"12,492.62",UPRN 10110 - Asset Management - Highways Maintenance,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,QUESTECH RECRUITMENT LIMITED,05/09/2023,34935,133171,"2,613.50",Vehicle Maintenance,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,DERBYSHIRE COMMUNITY TRANSPORT,05/09/2023,34828,138491,"1,915.09",Home To School Transport - SEN,,SME
Corporate Resources,Property,Strategic Asset Management,Strategic Asset Management,HAYS SPECIALIST RECRUITMENT LTD,05/09/2023,33954,138986,"6,068.00",Valuation,,SME
Communities & Place,Planning & Transportation,Highways Assest and Engineering,Engineering,MATCHTECH GROUP PLC,05/09/2023,34020,139042,"1,749.38",Projects Water & Flood Risk Management,,SME
Corporate Resources,Property,Facilities Management,Accommodation Buildings,TOTALENERGIES GAS AND POWER LIMITED.,05/09/2023,34792,139278,"267,336.51",Corporate Utilities Gas & Electricity,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,05/09/2023,34118,140084,"1,238.63",Highways Maintenance Works,,SME
Communities & Place,Public Protection and Streetride,"Trading Standards, Food and Safety, Bere",Bereavement Services,LES HALMAN NURSERIES LTD,05/09/2023,34108,143136,538.50,Crematorium,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Grounds Maintenance,SHARROCKS,05/09/2023,34764,143991,"1,211.42",Grounds Maintenance,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,ARCADIS CONSULTING UK LTD,05/09/2023,34578,146139,"3,256.50",Our City Our River - Munio,,SME
Corporate Resources,Coroprate Core,Communication and Consultation,Communication,SCHOOLS PUBLISHING LTD,05/09/2023,34242,146477,"1,300.00",Corporate Communications,,SME
Communities & Place,Planning & Transportation,Traffic & Transportation,Transport Planning,SYSTRA LTD,05/09/2023,34186,148656,"40,235.00",Transport Planning,,Company
Chief Executives,Chief Executives,Chief Executives,Chief Executives,ARCADIS CONSULTING UK LTD,05/09/2023,34578,148911,"4,919.18",UPRN 10150 - Our City Our River,,SME
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,DERBYSHIRE COUNTY COUNCIL,05/09/2023,33968,148916,"2,850.00",Out of Authority Education Placements,,Public/Government Agency
Chief Executives,Chief Executives,Chief Executives,Chief Executives,ARCADIS UK LTD,05/09/2023,34423,148919,"3,984.50",UPRN 10150 - Our City Our River,,Company
Chief Executives,Chief Executives,Chief Executives,Chief Executives,ARCADIS UK LTD,05/09/2023,34423,148923,"3,971.00",UPRN 10150 - Our City Our River,,Company
Chief Executives,Chief Executives,Chief Executives,Chief Executives,ARCADIS UK LTD,05/09/2023,34423,148928,"5,239.00",UPRN 10150 - Our City Our River,,Company
Chief Executives,Chief Executives,Chief Executives,Chief Executives,ARCADIS UK LTD,05/09/2023,34423,148929,"8,879.50",UPRN 10150 - Our City Our River,,Company
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,DENNIS EAGLE LTD,05/09/2023,33969,151859,"1,515.00",Vehicle Maintenance,,Company
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,WHITEHOUSE CONSTRUCTION CO LTD,05/09/2023,33944,151950,"15,000.00",Kingsway Retail Park Signals,,SME
Communities & Place,"Leisure, Culture and Tourism","Culture, Business Development & Tourism",Libraries,NEWS TEAM GROUP LTD,05/09/2023,34274,152027,568.75,City Book Fund,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Grounds Maintenance,B & B TRACTORS,05/09/2023,34053,152037,707.82,Grounds Maintenance,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Grounds Maintenance,B & B TRACTORS,05/09/2023,34053,152039,636.13,Grounds Maintenance,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Grounds Maintenance,B & B TRACTORS,05/09/2023,34053,152040,568,Grounds Maintenance,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,WHALE TANKERS LTD,05/09/2023,33989,152043,989.67,Vehicle Maintenance,,SME
Corporate Resources,Financial Services,Financial Services,TSC & Revenue Collection,ST PETERS QUARTER DERBY LTD,05/09/2023,34137,152052,"46,628.86",Non Domestic Rates Billing & Recovery,,SME
Communities & Place,Planning & Transportation,Highways Assest and Engineering,Engineering,MATCHTECH GROUP PLC,05/09/2023,34020,152194,"1,586.10",Projects Water & Flood Risk Management,,SME
