DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,Revised Report Amount,Revised Report Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Corporate Resources,Digital Services & Customer Management,Digital Services & Customer Management,Digital Services,INTERTEK NTA,02/05/2023,4006,600,600,IT Infrastructure,,SME
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/05/2023,4052,560,560,Housing Options (Private),,SME
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/05/2023,4052,560,560,Housing Options (Private),,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,02/05/2023,3697,711.24,711.24,Central/East MH Support OP (over 65) - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,PSS UK,02/05/2023,4472,"1,938.12","1,938.12",Preparing for adulthood 18-24 LD ? DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,PSS UK,02/05/2023,4472,"1,938.12","1,938.12",Preparing for adulthood 18-24 LD ? DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,PSS UK,02/05/2023,4472,"1,759.64","1,759.64",Preparing for adulthood 18-24 LD ? DP/Mgd,,SME
Communities & Place,"Leisure, Culture and Tourism",Leisure,Leisure,SIEMENS FINANCIAL SERVICES LIMITED,02/05/2023,3971,"1,014.41","1,014.41",Springwood Centre DSO,,Company
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,AHS CARS LTD,02/05/2023,4193,966,966,Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,SAYMEZ CARS,02/05/2023,4216,"2,024.00","2,024.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Adult Learning - SFA,CITY AND GUILDS,02/05/2023,3489,605.75,605.75,English Curriculum,,Company
Communities & Place,Planning & Transportation,Planning,Development Control,DERBYSHIRE COUNTY COUNCIL,02/05/2023,3492,"14,246.35","14,246.35",Development Control,,Public/Government Agency
People Services - Adults and Health,Home First,Social Care Activities,Home First - Social Care Activities,ALERT IT CARE ALARMS,02/05/2023,3734,969.66,969.66,Home First: Perth House Facilities,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Integrated Commissioning,GLOBAL TRANSLATION SERVICES,02/05/2023,4090,"1,203.81","1,203.81",Interpreting and Translation,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,STACEY ASPHALT LIMITED,02/05/2023,4053,"2,286.51","2,286.51",Highways Maintenance Works,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,STACEY ASPHALT LIMITED,02/05/2023,4053,"2,686.18","2,686.18",Highways Maintenance Works,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,STACEY ASPHALT LIMITED,02/05/2023,4053,"1,382.24","1,382.24",Highways Maintenance Works,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,STACEY ASPHALT LIMITED,02/05/2023,4053,"1,368.00","1,368.00",Highways Maintenance Works,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,02/05/2023,3668,"1,599.48","1,599.48",Highways Maintenance Works,,SME
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,MEDILINE HOME CARE LIMITED,02/05/2023,4102,876.14,876.14,West OP (under 65) Mental Health - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MEDILINE HOME CARE LIMITED,02/05/2023,4102,"1,919.19","1,919.19",East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,MEDILINE HOME CARE LIMITED,02/05/2023,4102,835.84,835.84,West OP (over 65) Memory - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MEDILINE HOME CARE LIMITED,02/05/2023,4102,"1,033.28","1,033.28",West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MEDILINE HOME CARE LIMITED,02/05/2023,4102,"1,033.28","1,033.28",West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MEDILINE HOME CARE LIMITED,02/05/2023,4102,"1,285.23","1,285.23",East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MEDILINE HOME CARE LIMITED,02/05/2023,4102,612.82,612.82,West OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENTRICARE EAST MIDS LTD,02/05/2023,3598,549.04,549.04,Central OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENTRICARE EAST MIDS LTD,02/05/2023,3598,598.72,598.72,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENTRICARE EAST MIDS LTD,02/05/2023,3598,598.72,598.72,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENTRICARE EAST MIDS LTD,02/05/2023,3598,660.48,660.48,West Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENTRICARE EAST MIDS LTD,02/05/2023,3598,771.38,771.38,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENTRICARE EAST MIDS LTD,02/05/2023,3598,771.38,771.38,South OP (over 65) Physical - DP/Mgd,,SME
