DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Communities & Place,City Sustainability,Traffic & Transportation,Parking Services,PARKSAFE,2/11/2023,00049559,052036,"1,352.48",Parking Services,,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,TERBERG MATEC UK,2/11/2023,00049754,136590,"1,150.74",Vehicle Maintenance,,SME
People Services - Adults and Health,Integration & Prevention,Home First,Social Care Activities,BUNZL CLEANING AND HYGIENE SUPPLIES,2/11/2023,00049549,148607,661.73,Home First: Community & Perth House,,SME
Corporate Resources,Property,Strategic Asset Management,Strategic Asset Management,ATKINSRÉALIS PPS LIMITED,2/11/2023,00049756,149091,"25,506.32",Property Rationalisation Costs,,Company
People Services - Adults and Health,Integration & Prevention,Home First,Social Care Activities,HOLDSWORTH FOODS,2/11/2023,00049766,160107,794.45,Home First: Community & Perth House,,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,TERBERG MATEC UK,2/11/2023,00049754,173738,822.40,Vehicle Maintenance,,SME
People Services - Adults and Health,Integration & Prevention,Home First,Social Care Activities,IMPERIAL,2/11/2023,00049552,178744,973.74,Home First: Community & Perth House,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,MURRAY PARK COMMUNITY SCHOOL.,2/11/2023,00049542,185347,"1,059.44",Element 3 Funding,,Public/Government Agency
People Services - Adults and Health,Integration & Prevention,Home First,Social Care Activities,IMPERIAL,2/11/2023,00049552,187779,912.07,Home First: Community & Perth House,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,2/11/2023,00049807,201450,"2,124.00",Home To School Transport - SEN,,Individual (Non Business)
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,MURRAY PARK COMMUNITY SCHOOL.,2/11/2023,00049542,202994,"7,973.44",General Primary Costs,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,RIDGEWAY INFANT SCHOOL,2/11/2023,00049689,203006,787.50,General Primary Costs,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,ARCADIS UK LTD,2/11/2023,00049748,203336,"6,038.46",TCF Tranche 2 - Public Realm: Public Transport (Public Realm,,Company
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,TERBERG MATEC UK,2/11/2023,00049754,203590,514.17,Vehicle Maintenance,,SME
People Services - Adults and Health,Integration & Prevention,Home First,Social Care Activities,MELTEMI LTD,2/11/2023,00049735,205111,"1,020.78",Home First: Community & Perth House,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,MURRAY PARK COMMUNITY SCHOOL.,2/11/2023,00049542,205463,"1,840.00",Pupil Premium Grant,,Public/Government Agency
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,2/11/2023,00049767,205522,560.00,Housing Options (Private),,SME
People Services - Children & Young People,Schools Block,Learning & Inclusion - Schools Block,Learning & Inclusion - Schools Block,MURRAY PARK COMMUNITY SCHOOL.,2/11/2023,00049542,210091,"1,500.00",Secondary FAP,,Public/Government Agency
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Leisure - Management,Sales, Marketing &",BOOKER,2/11/2023,00049594,210202,556.70,Derby Live Catering - Markeaton Park,,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,ICE HOTELS LTD T/A TYGER INN,2/11/2023,00049874,210233,"2,640.00",Housing Options (Private),,Company
Communities & Place,Communities,Community Safety & Localities,Libraries,SSE,2/11/2023,00049778,211197,"1,008.05",Spondon Community Managed Library,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,MURRAY PARK COMMUNITY SCHOOL.,2/11/2023,00049542,213208,992.00,Pupil Premium Grant,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,MURRAY PARK COMMUNITY SCHOOL.,2/11/2023,00049542,215352,"1,059.44",Element 3 Funding,,Public/Government Agency
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,MAPMATIC LTD,2/11/2023,00049705,216213,"1,310.00",Structural Asset Improvement Works,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,TRADE WINDOWS DERBY LIMITED,2/11/2023,00049818,216336,"1,181.83",REFCUS - Disabled Facilities Grant 96 Act,,SME
