DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Communities & Place,Public Protection and Streetride,"Trading Standards, Food and Safety, Bere",Trading Standards,LINCOLNSHIRE COUNTY COUNCIL,04/07/2023,18258,52418,"4,564.75",Trading Standards,,SME
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,ROYAL SCHOOL FOR THE DEAF DERBY,04/07/2023,19120,66028,"42,439.69",Out of Authority Education Placements,,Public/Government Agency
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,ROYAL SCHOOL FOR THE DEAF DERBY,04/07/2023,19120,66032,"24,933.68",Out of Authority Education Placements,,Public/Government Agency
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,ROYAL SCHOOL FOR THE DEAF DERBY,04/07/2023,19120,66035,"47,429.35",Out of Authority Education Placements,,Public/Government Agency
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,ROYAL SCHOOL FOR THE DEAF DERBY,04/07/2023,19120,66037,"29,475.02",Out of Authority Education Placements,,Public/Government Agency
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,ROYAL SCHOOL FOR THE DEAF DERBY,04/07/2023,19120,66039,"59,579.35",Out of Authority Education Placements,,Public/Government Agency
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,ROYAL SCHOOL FOR THE DEAF DERBY,04/07/2023,19120,66210,"44,938.68",Out of Authority Education Placements,,Public/Government Agency
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,ROYAL SCHOOL FOR THE DEAF DERBY,04/07/2023,19120,66230,"25,739.67",Out of Authority Education Placements,,Public/Government Agency
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,ROYAL SCHOOL FOR THE DEAF DERBY,04/07/2023,19120,66232,"37,437.35",Out of Authority Education Placements,,Public/Government Agency
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,ROYAL SCHOOL FOR THE DEAF DERBY,04/07/2023,19120,66233,"51,431.36",Out of Authority Education Placements,,Public/Government Agency
Communities & Place,Public Protection and Streetride,Community Safety,Partnerships,** DERBY HOMES LTD,04/07/2023,18269,66234,"41,574.41",Neighbourhood Working,,Company
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,ROYAL SCHOOL FOR THE DEAF DERBY,04/07/2023,19120,66236,"41,877.00",Out of Authority Education Placements,,Public/Government Agency
