Period,Account,Account(T),Amount,Supplier
202406,1800,Training Fees,2320,Independent Advocacy North East
202406,4000,General Equipment,732.18,Insight Direct (UK) Ltd
202406,4000,General Equipment,500,NGM Advertising Ltd T/A Next-Gen Media
202406,4010,Safer Streets engagement,1285,Solon Security Ltd
202406,4010,Publications and Multi Media,1640,Engagement Purchases
202406,4010,Publication Document,795,WHW Print Limited t/a Whites
202406,4010,Promotional Purchases Victim Care (Quality Mark),773.5,Extravaganza Promotional Merchandise (Nivart Ltd)
202406,4011,News Outlet Communication,6397.44,South West Durham News CIC
202406,4011,Documentation and Content,1950,Better Times Ltd
202406,4303,ICT Software - Maintenance,750,Dove Design
202406,5101,Community Safety and Prevention,7840,Robiquity Limited
202406,5101,Community Safety and Prevention,5000,Redeeming Our Communities
202406,5101,Community Safety and Prevention,31176.67,Martin Gray Football Academy Ltd
202406,5101,Community Safety and Prevention,25000,Darlington Borough Council
202406,5101,Community Safety and Prevention,8797.5,Robiquity Limited
202406,5101,Community Safety and Prevention,4469.9,Pelton Community Assocation
202406,5101,Community Safety and Prevention,15000,Durham & D'ton Fire & Rescue
202406,5101,Community Safety and Prevention,28522.5,Darlington Borough Council
202406,5106,Victim Services,5512.5,Aspire Learning Support & Wellbeing CIC
202406,5106,Victim Services,5625,Redacted-Victim Services
202406,5106,Victim Services,5512.5,Aspire Learning Support & Wellbeing CIC
202406,5106,Victim Services,5500,Tees Valley Inclusion Project CIC
202406,5106,Victim Services,22756.25,Changing Lives
202406,5106,Victim Services,2000,Brake
202406,5106,Victim Services,30387,NHS England
202406,5109,PCC Priorities,500,Woodshed Workshop CIC (Community Interest Company)
202406,5201,Financial Services,16500,Durham County Council
,,,,
Note: these purchases are for operational police fixed assets. They are included here because the PCC owns all fixed assets.,,,,
202406,8001,Land and buildings additions in year,25000,Wallace Fabrications Ltd
202406,8001,Land and buildings additions in year,1774.16,Maval Electrical Eng Co Ltd
202406,8001,Land and buildings additions in year,1404.59,Maval Electrical Eng Co Ltd
202406,8001,Land and buildings additions in year,16000.88,Turner & Townsend
202406,8001,Land and buildings additions in year,2750,Cundall Johnston & Partners LLP
202406,8001,Land and buildings additions in year,1315.5,Ward Hadaway
202406,8001,Land and buildings additions in year,1010,Ward Hadaway
202406,8001,Land and buildings additions in year,2066.94,Currys Group Ltd T/A Currys Business
202406,8001,Land and buildings additions in year,847.16,Currys Group Ltd T/A Currys Business
202406,8001,Land and buildings additions in year,6678,North East Fire Safety Services
202406,8001,Land and buildings additions in year,17083.22,Tilbury Douglas Construction Limited
202406,8001,Land and buildings additions in year,2096,JH Partners Consulting Engineers Ltd
202406,8201,"Fixtures, fittings & equip addition in year",3100,Lupton Fawcett LLP
202406,8201,"Fixtures, fittings & equip addition in year",1803.5,Zetron Ltd
202406,8201,"Fixtures, fittings & equip addition in year",3168.97,Insight Direct (UK) Ltd
202406,8201,"Fixtures, fittings & equip addition in year",1079.12,Insight Direct (UK) Ltd
202406,8201,"Fixtures, fittings & equip addition in year",33928,BT Global
202406,8201,"Fixtures, fittings & equip addition in year",39306.72,Phoenix Software Limited
202406,8201,"Fixtures, fittings & equip addition in year",595.11,Phoenix Software Limited
202406,8201,"Fixtures, fittings & equip addition in year",3337.49,Aquila Heywood
202406,8201,"Fixtures, fittings & equip addition in year",692,Radio Structures Ltd
202406,8201,"Fixtures, fittings & equip addition in year",12025.3,Insight Direct (UK) Ltd
202406,8201,"Fixtures, fittings & equip addition in year",6178.88,Axon Public Safety UK Ltd
202406,8201,"Fixtures, fittings & equip addition in year",884.45,Standby RSG Uk Limited
202406,8201,"Fixtures, fittings & equip addition in year",90277.07,Softcat Ltd
202406,8201,"Fixtures, fittings & equip addition in year",66802.94,Softcat Ltd
202406,8201,"Fixtures, fittings & equip addition in year",21660.02,Softcat Ltd
202406,8201,"Fixtures, fittings & equip addition in year",6924.44,Softcat Ltd
202406,8201,"Fixtures, fittings & equip addition in year",16500,Softcat Ltd
202406,8201,"Fixtures, fittings & equip addition in year",5937.5,Softcat Ltd
202406,8201,"Fixtures, fittings & equip addition in year",100000,Softcat Ltd
202406,8201,"Fixtures, fittings & equip addition in year",38500,Softcat Ltd
202406,8201,"Fixtures, fittings & equip addition in year",14530,Softcat Ltd
202406,8201,"Fixtures, fittings & equip addition in year",1377,Iken Business Ltd
